Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,,Tag11,75693,575233,,16044,341.0,83.0,2237.0,47,28007.0,258.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.57947,16044,341.0,83.0,2237.0,47,28007.0,258.0,2.57947,17407,2901.0,220.0,15577.0,6,28007.0,258.0,17611,2935.0,268.0,15587.0,6,27958.0,307.0,0,,,0,,,36,27958.0,28265.0,331.27,209.27,,,5,まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,Sentence,1.0,258.0,258.0,14902.0,1.0,16044.0,16897.0,16639.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,わたしは囲いの外からクイズの問題文を大声で読み上げる。,,Tag12,75693,575233,,13052,384.0,78.0,1234.0,34,46745.0,165.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.58753,12863,390.0,78.0,1234.0,33,46745.0,165.0,2.58648,13882,2776.0,214.0,5335.0,5,46745.0,3207.0,14027,2805.0,233.0,5383.0,5,46729.0,3222.0,0,,,0,,,27,46729.0,49951.0,57.5,248.32,,,6,わたしは囲いの外からクイズの問題文を大声で読み上げる。,Sentence,1.0,165.0,3108.0,8326.0,1.0,13052.0,8832.0,5723.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,チンパンジーが最初に選んだバナナの文字が答えというわけだ。,,Tag13,75693,575233,,9568,290.0,92.0,937.0,33,55936.0,351.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.63565,9568,290.0,92.0,937.0,33,55936.0,351.0,2.63565,10852,2713.0,249.0,3736.0,4,55936.0,3335.0,10925,2731.0,263.0,3781.0,4,55929.0,3342.0,0,,,0,,,27,63939.0,59271.0,67.49,54.13,,,7,チンパンジーが最初に選んだバナナの文字が答えというわけだ。,Sentence,1.0,351.0,3154.0,5827.0,1.0,9568.0,6041.0,2887.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,もちろん実際にはやらないが、想像してみてほしい。,,Tag14,75693,575233,,2507,279.0,206.0,434.0,9,63103.0,434.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.6123,2507,279.0,206.0,434.0,9,63103.0,434.0,2.6123,2605,1302.0,837.0,1768.0,2,63103.0,837.0,2648,1324.0,869.0,1778.0,2,63070.0,869.0,0,,,0,,,7,63070.0,63939.0,252.31,67.49,,,8,もちろん実際にはやらないが、想像してみてほしい。,Sentence,1.0,434.0,824.0,2507.0,1.0,2507.0,11397.0,10572.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,チンパンジーの正解率は33%に近くなる。,,Tag15,62755,650926,,2452,272.0,101.0,458.0,9,206.0,220.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.74936,2452,272.0,101.0,458.0,9,206.0,220.0,2.74936,2566,2566.0,2566.0,2566.0,1,206.0,2566.0,2609,2609.0,2609.0,2609.0,1,163.0,2609.0,0,,,0,,,8,163.0,2772.0,193.44,258.21,,,1,チンパンジーの正解率は33%に近くなる。,Sentence,1.0,0.0,0.0,0.0,,2452.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,つまり12問中、だいたい4問正解する。,,Tag16,62755,650926,,4709,392.0,145.0,1089.0,12,2809.0,304.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.67137,4709,392.0,145.0,1089.0,12,2809.0,304.0,2.67137,4958,1653.0,229.0,3829.0,3,2809.0,3829.0,5056,1685.0,262.0,3867.0,3,2772.0,3867.0,0,,,0,,,8,2772.0,6638.0,258.21,290.74,,,2,つまり12問中、だいたい4問正解する。,Sentence,1.0,0.0,0.0,0.0,,4709.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,先ほど書いた通り、人間の平均点は12問中2問正解だった。,,Tag17,62755,650926,,10545,422.0,82.0,1301.0,25,6681.0,291.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.57196,10545,422.0,82.0,1301.0,25,6681.0,291.0,2.57196,11366,3789.0,82.0,10766.0,3,6681.0,10766.0,11474,3825.0,127.0,10808.0,3,6638.0,10808.0,0,,,0,,,19,6638.0,17447.0,290.74,161.28,,,3,先ほど書いた通り、人間の平均点は12問中2問正解だった。,Sentence,1.0,0.0,0.0,0.0,,10545.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,チンパンジーは適当にバナナを拾うだけで、高学歴の人たちに勝てる。,,Tag18,62755,650926,,6956,535.0,163.0,1383.0,13,0.0,163.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.61813,6793,566.0,211.0,1383.0,12,19433.0,266.0,2.61491,7149,3575.0,163.0,6987.0,2,0.0,163.0,7169,3585.0,163.0,7007.0,2,0.0,163.0,0,,,0,,,11,19413.0,163.0,89.29,193.44,,,4,チンパンジーは適当にバナナを拾うだけで、高学歴の人たちに勝てる。,Sentence,1.0,163.0,163.0,6956.0,1.0,6956.0,24662.0,24499.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,また、それぞれの3択問題には不正解の選択肢が2つあるが、チンパンジーはどちらも同じ確率で選ぶ。,,Tag19,62755,650926,,11737,405.0,136.0,1254.0,29,26684.0,157.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.5452,11737,405.0,136.0,1254.0,29,26684.0,157.0,2.5452,12413,3103.0,200.0,11372.0,4,26684.0,587.0,12470,3117.0,206.0,11392.0,4,26667.0,604.0,0,,,0,,,23,26667.0,27272.0,62.2,41.56,,,5,また、それぞれの3択問題には不正解の選択肢が2つあるが、チンパンジーはどちらも同じ確率で選ぶ。,Sentence,1.0,157.0,11482.0,11482.0,0.0,11737.0,11482.0,0.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,かたや人間はというと、不正解の2つのうち、よりドラマチックなほうを選ぶ傾向が見られた。,,Tag20,62755,650926,,10991,458.0,98.0,1288.0,24,39656.0,379.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.55057,10991,458.0,98.0,1288.0,24,39656.0,379.0,2.55057,11533,5767.0,2304.0,9229.0,2,39656.0,2304.0,11600,5800.0,2354.0,9246.0,2,39606.0,2354.0,0,,,0,,,21,39606.0,41960.0,340.31,39.57,,,6,かたや人間はというと、不正解の2つのうち、よりドラマチックなほうを選ぶ傾向が見られた。,Sentence,1.0,379.0,2253.0,10991.0,1.0,10991.0,11245.0,8992.0
Recording1,Kaidhil,Version1,TOI_Text3,1,文章46_3,,SV_Text_画面3,ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,,Tag21,62755,650926,,10444,418.0,131.0,1013.0,25,51523.0,131.0,"ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。","ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,。",2.58417,10277,428.0,131.0,1013.0,24,51523.0,131.0,2.58435,11232,11232.0,11232.0,11232.0,1,51523.0,11232.0,11281,11281.0,11281.0,11281.0,1,51474.0,11281.0,0,,,0,,,22,51474.0,,300.26,,,,7,ほとんどの人が、世界は実際よりも怖く、暴力的で、残酷だと考えているようだ。,Sentence,1.0,131.0,10444.0,10444.0,,10444.0,10444.0,0.0
