Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,D5Y3UA,Version1,TOI_Text2,1,文章10_2,,SV_Text_画面2,非常な暑さや寒さに適応するものもあれば、高圧に適応するもの、そしてディノコッカス・ラディオデュランスのように放射線環境に適応する少数もある。,,,59309,427610,,5495,239.0,66.0,426.0,23,44306.0,153.0,"米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ","米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ",3.17577,5495,239.0,66.0,426.0,23,44306.0,153.0,3.17577,7156,7156.0,7156.0,7156.0,1,44306.0,7156.0,7230,7230.0,7230.0,7230.0,1,44232.0,7230.0,0,,,0,,,19,44232.0,51462.0,392.94,368.67,,,5,非常な暑さや寒さに適応するものもあれば、高圧に適応するもの、そしてディノコッカス・ラディオデュランスのように放射線環境に適応する少数もある。,Sentence,1.0,0.0,0.0,0.0,,5495.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text2,1,文章10_2,,SV_Text_画面2,微生物はまた、すべての多細胞生物の内部および表面に見られる微生物叢を構成している。,,,59309,427610,,6776,339.0,148.0,1567.0,20,0.0,227.0,"米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ","米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ",3.18189,6549,345.0,148.0,1567.0,19,51530.0,148.0,3.16768,7898,3949.0,227.0,7672.0,2,0.0,227.0,7967,3983.0,227.0,7740.0,2,0.0,227.0,0,,,0,,,15,51462.0,227.0,368.67,360.93,,,6,微生物はまた、すべての多細胞生物の内部および表面に見られる微生物叢を構成している。,Sentence,1.0,227.0,227.0,6776.0,1.0,6776.0,48255.0,48029.0
Recording1,D5Y3UA,Version1,TOI_Text3,1,文章10_3,,SV_Text_画面3,"34億5,000万年前のオーストラリアの岩石に、かつて微生物が存在していた証拠があり、これは地球上に生命が存在したことを示す最古の直接的証拠である。",,,46371,486918,,5663,270.0,76.0,576.0,21,0.0,161.0,"多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,も",,3.08752,5502,275.0,76.0,576.0,20,218.0,202.0,3.08584,6318,2106.0,76.0,4248.0,3,0.0,4248.0,6382,2127.0,116.0,4248.0,3,0.0,4248.0,0,,,0,,,17,5303.0,7321.0,91.24,450.56,,,1,"34億5,000万年前のオーストラリアの岩石に、かつて微生物が存在していた証拠があり、これは地球上に生命が存在したことを示す最古の直接的証拠である。",Sentence,1.0,161.0,5587.0,5587.0,0.0,5663.0,5587.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text3,1,文章10_3,,SV_Text_画面3,微生物は、食品を発酵させたり、汚水を処理したり、燃料や酵素やその他の生理活性物質を生産したりと、さまざまな形で人間の文化や健康に重要な役割を果たしている。,,,46371,486918,,8165,263.0,61.0,1127.0,31,7402.0,174.0,"多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,も",,3.15182,8165,263.0,61.0,1127.0,31,7402.0,174.0,3.15182,10057,3352.0,174.0,9413.0,3,7402.0,174.0,10170,3390.0,255.0,9432.0,3,7321.0,255.0,0,,,0,,,23,7321.0,18614.0,450.56,407.07,,,2,微生物は、食品を発酵させたり、汚水を処理したり、燃料や酵素やその他の生理活性物質を生産したりと、さまざまな形で人間の文化や健康に重要な役割を果たしている。,Sentence,1.0,174.0,619.0,8165.0,1.0,8165.0,8241.0,7622.0
Recording1,D5Y3UA,Version1,TOI_Text3,1,文章10_3,,SV_Text_画面3,微生物はモデル生物として生物学に不可欠な道具であり、生物戦争やバイオテロリズムにも使われてきた。,,,46371,486918,,8247,284.0,77.0,889.0,29,18687.0,356.0,"多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,も",,3.19052,8247,284.0,77.0,889.0,29,18687.0,356.0,3.19052,10562,10562.0,10562.0,10562.0,1,18687.0,10562.0,10634,10634.0,10634.0,10634.0,1,18614.0,10634.0,0,,,0,,,22,18614.0,29248.0,407.07,260.31,,,3,微生物はモデル生物として生物学に不可欠な道具であり、生物戦争やバイオテロリズムにも使われてきた。,Sentence,1.0,356.0,8247.0,8247.0,0.0,8247.0,8247.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text3,1,文章10_3,,SV_Text_画面3,微生物は肥沃な土壌に不可欠な構成要素でもある。,,,46371,486918,,1433,239.0,100.0,387.0,6,29302.0,387.0,"多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,も",,3.11963,1433,239.0,100.0,387.0,6,29302.0,387.0,3.11963,1859,930.0,231.0,1628.0,2,29302.0,1628.0,1936,968.0,253.0,1682.0,2,29248.0,1682.0,0,,,0,,,3,29248.0,34152.0,260.31,85.05,,,4,微生物は肥沃な土壌に不可欠な構成要素でもある。,Sentence,1.0,387.0,1202.0,1202.0,0.0,1433.0,1202.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text3,1,文章10_3,,SV_Text_画面3,人体では不可欠な腸内細菌叢を含め、微生物がヒト微生物叢を構成している。,,,46371,486918,,10172,391.0,93.0,1076.0,26,31112.0,180.0,"多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,も",,3.18639,10172,391.0,93.0,1076.0,26,31112.0,180.0,3.18639,11764,5882.0,2787.0,8977.0,2,31112.0,2787.0,11790,5895.0,2790.0,9000.0,2,31109.0,2790.0,0,,,0,,,19,34152.0,33899.0,85.05,73.38,,,5,人体では不可欠な腸内細菌叢を含め、微生物がヒト微生物叢を構成している。,Sentence,1.0,180.0,2477.0,10172.0,1.0,10172.0,10402.0,7926.0
Recording1,D5Y3UA,Version1,TOI_Text3,1,文章10_3,,SV_Text_画面3,多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,,,46371,486918,,2462,224.0,110.0,457.0,11,43209.0,209.0,"多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,も",,3.1947,2462,224.0,110.0,457.0,11,43209.0,209.0,3.1947,3119,3119.0,3119.0,3119.0,1,43209.0,3119.0,3176,3176.0,3176.0,3176.0,1,43152.0,3176.0,0,,,0,,,8,43152.0,,291.07,,,,6,多くの感染症の原因となる病原体は微生物であり、衛生手段の対象でもある。,Sentence,1.0,209.0,2462.0,2462.0,,2462.0,2462.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,微,,,47969,379640,,836,418.0,354.0,482.0,2,638.0,354.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",2.92767,836,418.0,354.0,482.0,2,638.0,354.0,2.92767,836,418.0,354.0,482.0,2,638.0,354.0,881,440.0,376.0,505.0,2,616.0,376.0,0,,,0,,,0,616.0,992.0,59.78,45.73,1.0,1.0,1,微,Character,,0.0,0.0,0.0,,836.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,生,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,2.0,1.0,1,生,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
