Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。,,Tag11,28455,424175,Space,1110,159,77,204,7,15801,204,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.52888,1110,159,77,204,7,15801,204,2.52888,1272,636,519,752,2,15801,752,1352,676,592,760,2,15794,760,0,,,0,,,5,17234,16554,316.28,300.51,,,3,風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。,Sentence,1,204,645,645,0,1110,645,0
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,8月7日前後の立秋の頃が最も暑くなる。,,Tag12,28455,424175,Space,662,165,128,197,4,16601,185,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.49936,662,165,128,197,4,16601,185,2.49936,713,357,185,528,2,16601,185,807,403,232,575,2,16554,232,0,,,0,,,2,16554,18401,300.51,371.31,,,4,8月7日前後の立秋の頃が最も暑くなる。,Sentence,1,185,185,185,0,662,185,0
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,,Tag13,28455,424175,Space,2526,194,117,341,13,16899,161,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.5345,2526,194,117,341,13,16899,161,2.5345,3039,1520,161,2878,2,16899,161,3105,1552,207,2897,2,16852,207,0,,,0,,,10,,17060,,149.97,,,5,一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,Sentence,2,161,161,2526,1,2526,3467,3307
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。,,Tag14,28455,424175,Space,702,176,77,257,4,21756,257,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.45656,702,176,77,257,4,21756,257,2.45656,791,791,791,791,1,21756,791,832,832,832,832,1,21714,832,0,,,0,,,3,21714,22546,251.75,335.94,,,6,そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。,Sentence,1,257,702,702,0,702,702,0
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,また、主に7月から9月には、台風が日本に接近することがある。,,Tag15,28455,424175,Space,600,150,75,222,4,22592,192,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.53155,600,150,75,222,4,22592,192,2.53155,667,667,667,667,1,22592,667,713,713,713,713,1,22546,713,0,,,0,,,3,22546,23260,335.94,225.66,,,7,また、主に7月から9月には、台風が日本に接近することがある。,Sentence,1,192,600,600,0,600,600,0
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,詳しくは#台風を参照のこと。,,Tag16,28455,424175,Space,417,139,90,185,3,23297,90,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.60158,417,139,90,185,3,23297,90,2.60158,662,662,662,662,1,23297,662,699,699,699,699,1,23260,699,0,,,0,,,1,23260,23959,225.66,288.2,,,8,詳しくは#台風を参照のこと。,Sentence,1,90,417,417,1,417,644,227
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,梅,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,1,1,1,梅,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,雨,,,52032,372143,Space,514,257,177,337,2,1176,337,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.16479,514,257,177,337,2,1176,337,2.16479,514,257,177,337,2,1176,337,563,282,207,356,2,1157,356,0,,,0,,,0,1157,1512,55.78,38.77,2,1,1,雨,Character,,0,0,0,,514,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,明,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,3,1,1,明,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,け,,,52032,372143,Space,352,176,157,195,2,1000,157,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.0746,352,176,157,195,2,1000,157,2.0746,352,176,157,195,2,1000,157,386,193,177,209,2,980,177,0,,,0,,,0,1512,1157,38.77,55.78,4,1,1,け,Character,,0,0,0,,352,0,0
