Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,そのため、生成的要約によって作成された要約には元の文書に含まれていない表現が含まれることもありうる。,,,175112,373387,,2727,210.0,87.0,454.0,13,150487.0,156.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.43616,2727,210.0,87.0,454.0,13,150487.0,156.0,2.43616,3047,1524.0,1095.0,1952.0,2,150487.0,1952.0,3105,1552.0,1122.0,1982.0,2,150457.0,1982.0,0,,,0,,,11,150457.0,172804.0,175.17,254.0,,,4,そのため、生成的要約によって作成された要約には元の文書に含まれていない表現が含まれることもありうる。,Sentence,1.0,0.0,0.0,0.0,,2727.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,単一文書要約は、単一の文書を要約の対象とするものである。,,,175112,373387,,7891,343.0,92.0,1458.0,23,98447.0,145.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.49466,6982,332.0,92.0,1458.0,21,98447.0,145.0,2.49628,9177,4589.0,214.0,8963.0,2,98447.0,8963.0,9237,4619.0,227.0,9011.0,2,98399.0,9011.0,0,,,0,,,16,98399.0,107410.0,353.72,208.91,,,4,単一文書要約は、単一の文書を要約の対象とするものである。,Sentence,1.0,145.0,7677.0,7677.0,0.0,7891.0,7677.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,例えば、1つの新聞記事を要約する作業は単一文書要約である。,,,175112,373387,,8207,274.0,113.0,887.0,30,107447.0,113.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.62524,8207,274.0,113.0,887.0,30,107447.0,113.0,2.62524,9862,1972.0,357.0,4042.0,5,107447.0,3121.0,10011,2002.0,385.0,4060.0,5,107410.0,3157.0,0,,,0,,,20,107410.0,119007.0,208.91,302.83,,,5,例えば、1つの新聞記事を要約する作業は単一文書要約である。,Sentence,1.0,113.0,2221.0,5874.0,1.0,8207.0,6088.0,3867.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,自動要約は、要約の目的や要約の対象とする文書の数、要約の方法などによっていくつかの種類に分類することができる。,,Tag5,175112,373387,,16939,253.0,86.0,765.0,67,0.0,422.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.45111,16517,250.0,86.0,765.0,66,31218.0,240.0,2.45507,19741,4935.0,117.0,9813.0,4,0.0,422.0,19868,4967.0,148.0,9882.0,4,0.0,422.0,0,,,0,,,53,31150.0,41031.0,443.84,377.88,,,5,自動要約は、要約の目的や要約の対象とする文書の数、要約の方法などによっていくつかの種類に分類することができる。,Sentence,1.0,422.0,422.0,8791.0,1.0,16939.0,34750.0,34327.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,生成的要約には、文書を中間表現に正確に変換すること（すなわち、精度の高い自然言語理解を実現すること）、そこから要約を生成するための自然言語生成器が,,,175112,373387,,8830,232.0,78.0,581.0,38,152612.0,124.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.49904,8830,232.0,78.0,581.0,38,152612.0,124.0,2.49904,9987,4994.0,206.0,9782.0,2,152612.0,9782.0,10045,5022.0,252.0,9793.0,2,152600.0,9793.0,0,,,0,,,32,172804.0,162394.0,254.0,423.99,,,5,生成的要約には、文書を中間表現に正確に変換すること（すなわち、精度の高い自然言語理解を実現すること）、そこから要約を生成するための自然言語生成器が,Sentence,1.0,0.0,0.0,0.0,,8830.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,複数文書要約は、複数の文書を要約の対象として、それらから単一の要約を作成するものである。,,,175112,373387,,6204,188.0,94.0,393.0,33,115198.0,153.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.63263,5859,189.0,94.0,393.0,31,115198.0,153.0,2.63513,7343,1836.0,380.0,2755.0,4,115198.0,2001.0,7506,1877.0,424.0,2807.0,4,115183.0,2016.0,0,,,0,,,27,119007.0,117199.0,302.83,72.17,,,6,複数文書要約は、複数の文書を要約の対象として、それらから単一の要約を作成するものである。,Sentence,1.0,153.0,1663.0,6204.0,1.0,6204.0,8932.0,7269.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,指示的要約は、要約の元となった文書を読むべきか否かという情報を提供する。,,Tag6,175112,373387,,21047,376.0,82.0,1861.0,56,41089.0,542.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.55542,20442,379.0,82.0,1861.0,54,41089.0,542.0,2.55679,24069,8023.0,514.0,14100.0,3,41089.0,14100.0,24216,8072.0,537.0,14157.0,3,41031.0,14157.0,0,,,0,,,41,41031.0,,377.88,,,,6,指示的要約は、要約の元となった文書を読むべきか否かという情報を提供する。,Sentence,1.0,542.0,12232.0,21047.0,1.0,21047.0,29720.0,17488.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,必要になるといった問題が存在するため、もっぱら研究の焦点は抽出的要約にあてられている。,,,175112,373387,,2515,229.0,125.0,562.0,11,126493.0,135.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.47665,2380,238.0,125.0,562.0,10,162618.0,172.0,2.47805,2693,898.0,135.0,2173.0,3,126493.0,135.0,2764,921.0,135.0,2193.0,3,126493.0,135.0,0,,,0,,,8,162598.0,,73.6,,,,6,必要になるといった問題が存在するため、もっぱら研究の焦点は抽出的要約にあてられている。,Sentence,1.0,135.0,135.0,2515.0,1.0,2515.0,41221.0,41086.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,例,,,175112,373387,,0,,,,0,,,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,1.0,1.0,1,例,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,典,,,175112,373387,,155,155.0,155.0,155.0,1,127513.0,155.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.47813,155,155.0,155.0,155.0,1,127513.0,155.0,2.47813,155,155.0,155.0,155.0,1,127513.0,155.0,187,187.0,187.0,187.0,1,127481.0,187.0,0,,,0,,,0,127481.0,127668.0,194.34,172.9,1.0,1.0,1,典,Character,,0.0,0.0,0.0,,155.0,0.0,0.0
