Actual,Predicted,Error
8.782,15.255795121957158,-6.473795121957158
56.09,20.945642300331954,35.14435769966805
9.808,12.24610329556942,-2.4381032955694195
9.679,19.679076620189377,-10.000076620189377
7.756,24.033663893406157,-16.277663893406157
3.654,14.488370500204336,-10.834370500204336
2.5,14.482754745110018,-11.982754745110018
4.679,13.636957777286494,-8.957957777286493
20.321,15.98191509659889,4.339084903401112
5.064,13.386370096319663,-8.322370096319663
5.192,15.192275275893921,-10.000275275893921
3.397,13.397223783138578,-10.000223783138578
6.474,14.876701069760927,-8.402701069760926
6.218,14.575092339263856,-8.357092339263856
26.218,30.222689554846255,-4.004689554846255
26.731,13.22807706813774,13.502922931862262
61.346,51.34620613710206,9.999793862897938
62.372,48.72426372517729,13.647736274822712
46.731,14.240570513713383,32.490429486286615
6.218,10.855508116365751,-4.637508116365751
25.962,15.86673677864372,10.09526322135628
4.551,16.108715814446825,-11.557715814446825
6.859,16.35859975663184,-9.49959975663184
7.628,17.56475632712138,-9.93675632712138
20.064,12.79524391753494,7.26875608246506
64.679,14.836926262340812,49.84207373765919
7.756,17.756058832823467,-10.000058832823466
4.808,14.614132843700464,-9.806132843700464
36.474,16.3447608829018,20.129239117098198
0.962,10.961672307942052,-9.999672307942053
9.038,10.520095206621857,-1.4820952066218567
39.936,12.887837319215258,27.048162680784742
54.423,14.976886574085611,39.44611342591439
2.115,14.822972232434822,-12.707972232434821
7.628,17.627975144062432,-9.999975144062432
22.115,25.937303212870333,-3.8223032128703345
6.987,14.481103869957684,-7.494103869957684
32.885,22.88529268878147,9.999707311218529
7.628,12.382040979570768,-4.754040979570767
71.09,61.089546589802794,10.00045341019721
50.0,40.00012083200137,9.999879167998628
61.09,62.01218104588004,-0.9221810458800377
24.295,24.408408401374288,-0.11340840137428643
2.885,12.88528624425025,-10.00028624425025
34.551,24.55132717139571,9.999672828604293
8.013,18.689959619390212,-10.676959619390212
65.449,55.44925020021907,9.999749799780929
4.551,14.883946329571591,-10.332946329571591
50.0,32.52168519712776,17.47831480287224
24.423,25.548089406505,-1.1250894065050012
24.423,24.227909172409042,0.1950908275909562
2.885,12.884999716509896,-9.999999716509896
1.859,11.859004476273462,-10.000004476273462
2.5,14.98885675464369,-12.48885675464369
3.013,13.013251212213987,-10.000251212213987
45.192,41.62881612840464,3.5631838715953634
1.987,11.75074037612423,-9.76374037612423
1.859,11.582575974521333,-9.723575974521333
4.679,14.678855900492982,-9.999855900492982
5.321,22.52337295124061,-17.202372951240612
5.577,11.858378671834569,-6.2813786718345686
4.167,14.915946182609437,-10.748946182609437
11.603,10.210154338926866,1.3928456610731335
6.346,17.379373335697913,-11.033373335697913
6.603,10.193899932441454,-3.590899932441454
3.782,13.781777289533359,-9.999777289533359
4.551,11.91616442514929,-7.36516442514929
5.449,15.448713652029925,-9.999713652029925
5.064,13.329312439338072,-8.265312439338071
4.808,19.191281953809618,-14.383281953809618
35.192,27.666255600226652,7.525744399773348
60.449,60.34757299077467,0.10142700922532555
72.885,53.32504079718531,19.559959202814696
14.808,33.45617399322697,-18.64817399322697
61.731,47.4439178612204,14.287082138779603
53.782,43.781785270831264,10.000214729168732
15.064,30.600024903080172,-15.536024903080172
13.013,23.012942508480524,-9.999942508480524
10.833,20.35504285455368,-9.52204285455368
12.885,15.516722407977788,-2.6317224079777883
12.372,19.139653765490134,-6.7676537654901345
10.962,23.293893922688497,-12.331893922688497
11.346,19.592063811522067,-8.246063811522067
11.859,17.7855116705755,-5.926511670575499
14.423,23.93151499718334,-9.508514997183338
30.192,20.069010361328626,10.122989638671374
9.808,23.810939632279016,-14.002939632279016
10.705,22.576879760258937,-11.871879760258937
9.936,11.478912741174092,-1.5429127411740922
3.397,13.397026625701912,-10.000026625701912
54.423,35.34431726977491,19.07868273022509
11.474,22.317120094698858,-10.843120094698858
5.833,18.14611485337036,-12.31311485337036
6.603,15.796526447924936,-9.193526447924937
3.91,25.441793059854877,-21.531793059854877
5.192,20.317822854247225,-15.125822854247225
5.962,14.217860407278799,-8.2558604072788
8.526,14.131599589578592,-5.605599589578592
9.038,17.07468434297448,-8.036684342974478
34.679,14.728383493500468,19.950616506499536
7.5,16.121085070136814,-8.621085070136814
9.936,32.34691720446658,-22.41091720446658
7.5,15.256174325107285,-7.756174325107285
9.679,21.69916285200878,-12.020162852008779
10.064,17.68392705991851,-7.61992705991851
10.064,21.213436723862877,-11.149436723862877
33.782,43.78182876376496,-9.999828763764967
17.244,13.755865694417288,3.4881343055827116
34.295,32.05596635073566,2.239033649264343
16.859,14.007278468622417,2.851721531377585
13.654,21.359606027602453,-7.705606027602453
8.269,22.663951689066252,-14.394951689066252
9.038,11.948507265004007,-2.910507265004007
7.885,17.35298241808811,-9.467982418088111
18.91,13.25992581595597,5.65007418404403
6.474,13.544693749096584,-7.070693749096584
26.731,16.60266212069609,10.128337879303913
6.987,13.212668794366547,-6.2256687943665465
58.141,36.7906358750821,21.350364124917895
70.705,18.68305481201359,52.021945187986404
9.808,19.80784285551853,-9.99984285551853
21.218,22.920717571383268,-1.7027175713832676
20.192,15.717722377645167,4.474277622354833
8.91,17.73910603564608,-8.829106035646081
7.885,13.089220890293198,-5.204220890293199
8.013,16.072154588714085,-8.059154588714085
39.551,15.051141326993637,24.499858673006365
26.987,35.038525811610455,-8.051525811610457
10.705,17.04180924408742,-6.336809244087421
11.346,16.12058335101461,-4.774583351014609
64.038,26.926208679871337,37.11179132012866
90.833,47.88964193157367,42.94335806842633
72.244,28.682828762464524,43.561171237535476
9.423,19.423059070306806,-10.000059070306806
19.808,24.664193362077416,-4.856193362077416
10.705,13.144593058035909,-2.439593058035909
10.705,13.477103242034264,-2.772103242034264
20.833,20.328912222610306,0.5040877773896923
2.885,22.641927823407546,-19.756927823407544
5.064,21.734440963250112,-16.670440963250112
5.962,15.961853143577896,-9.999853143577896
6.731,26.460333846365977,-19.729333846365975
85.962,54.07546452848228,31.886535471517725
50.0,22.899942398549733,27.100057601450267
17.115,20.196693029423688,-3.0816930294236897
13.141,16.334665316367147,-3.193665316367147
18.269,22.585936403342387,-4.316936403342389
19.936,32.296946132278876,-12.360946132278876
17.244,24.96017942662958,-7.71617942662958
12.115,22.114741729603587,-9.999741729603587
21.218,27.671689656633337,-6.453689656633337
15.962,23.046945958942867,-7.084945958942868
13.397,22.236732344346834,-8.839732344346833
74.038,34.36417646837439,39.67382353162561
59.936,44.390631430240674,15.545368569759326
18.526,28.568090010933126,-10.042090010933126
66.09,13.085728480396067,53.00427151960393
10.449,20.449077371545542,-10.000077371545542
12.5,24.161931167739176,-11.661931167739176
74.167,15.605198401092931,58.56180159890707
9.679,12.091125004384406,-2.4121250043844054
18.141,9.551284615467917,8.58971538453208
17.885,27.884808197814188,-9.999808197814186
15.064,14.677926527354424,0.3860734726455757
11.859,11.375297590754101,0.4837024092458986
72.244,26.67995799524226,45.56404200475774
18.526,13.265650472039013,5.260349527960987
30.962,14.69628249902318,16.26571750097682
17.5,17.990694397612934,-0.4906943976129341
15.192,13.629226280397528,1.5627737196024718
14.936,16.15459485889444,-1.2185948588944413
17.244,10.779016959794241,6.464983040205759
