iter	MultiClass
0	1.562154067
1	1.508972597
2	1.473190118
3	1.432729467
4	1.40292609
5	1.371006148
6	1.342590793
7	1.311223473
8	1.277173368
9	1.252306723
10	1.227085678
11	1.210014887
12	1.190271576
13	1.167698188
14	1.150950647
15	1.133442686
16	1.11653059
17	1.101938717
18	1.08779154
19	1.074344636
20	1.057555297
21	1.046137716
22	1.033392119
23	1.021426798
24	1.010626959
25	0.9996013257
26	0.9878542488
27	0.9767369927
28	0.9674851672
29	0.9584252288
30	0.9486680097
31	0.937923117
32	0.9302977964
33	0.9227340311
34	0.9154809492
35	0.9084025804
36	0.9022710408
37	0.8951210801
38	0.8881243159
39	0.8815800694
40	0.8753407028
41	0.8685666466
42	0.8601925426
43	0.8522452081
44	0.8450122123
45	0.8403596017
46	0.8346482953
47	0.8283954597
48	0.8240749627
49	0.8174779469
50	0.8104344033
51	0.8027824718
52	0.795359742
53	0.7868316429
54	0.7803277009
55	0.7757095984
56	0.7707396188
57	0.7667215803
58	0.7610277477
59	0.7577694036
60	0.750708348
61	0.7461679964
62	0.7427500926
63	0.7362271809
64	0.7322573782
65	0.7266123146
66	0.7226019891
67	0.716856048
68	0.7128196217
69	0.7080265628
70	0.7039667606
71	0.6991778943
72	0.6930147545
73	0.688521675
74	0.6842008245
75	0.6785190893
76	0.6742944292
77	0.6685558121
78	0.6642935826
79	0.6596309921
80	0.654228331
81	0.6494766395
82	0.6437751082
83	0.6396103816
84	0.6337250158
85	0.6294365203
86	0.6251742337
87	0.6201709595
88	0.6150487087
89	0.6097833957
90	0.604731742
91	0.5993687084
92	0.5958854854
93	0.5908632874
94	0.5862966363
95	0.5824364753
96	0.5778311276
97	0.5728696303
98	0.5678590514
99	0.5635583255
100	0.5598409646
101	0.5548844972
102	0.5499708321
103	0.5469741939
104	0.5444545005
105	0.5401880656
106	0.5351148782
107	0.5305602411
108	0.5280627685
109	0.5230915852
110	0.5191945074
111	0.5149940979
112	0.5115747954
113	0.5063860188
114	0.5043010129
115	0.5001098706
116	0.495218308
117	0.4902498704
118	0.4871384366
119	0.4840459949
120	0.4809848245
121	0.477582558
122	0.4737995981
123	0.469575892
124	0.4663259169
125	0.4622138955
126	0.4581420297
127	0.4539270344
128	0.4495193624
129	0.4474745591
130	0.4435587591
131	0.4394206698
132	0.4362578748
133	0.4331302575
134	0.4290867511
135	0.426369563
136	0.4238633989
137	0.4205285801
138	0.4173374225
139	0.4141040113
140	0.4113522796
141	0.4081936303
142	0.4050302937
143	0.4010635833
144	0.3984564133
145	0.3970853388
146	0.3945736766
147	0.3916836472
148	0.3885521943
149	0.385484423
150	0.3831373342
151	0.3826163822
152	0.3808388922
153	0.3784006745
154	0.3769845318
155	0.3742259228
156	0.3718706565
157	0.3691793957
158	0.367080604
159	0.3652161397
160	0.3639401416
161	0.3616113579
162	0.3595242788
163	0.3561956574
164	0.3541135258
165	0.3528218239
166	0.3498534102
167	0.3477488193
168	0.3452047507
169	0.34391119
170	0.3409772398
171	0.3388291018
172	0.3366107141
173	0.3341658804
174	0.3316060665
175	0.3294314482
176	0.3284824989
177	0.3271750554
178	0.3253285238
179	0.3225864921
180	0.3206817201
181	0.3187413428
182	0.3168140701
183	0.3148334225
184	0.3125078258
185	0.3106718562
186	0.3090560748
187	0.3068027037
188	0.3052936061
189	0.3033198179
190	0.3018787543
191	0.2990619326
192	0.298233781
193	0.2963579671
194	0.2952463439
195	0.2939328954
196	0.2922424432
197	0.2911295282
198	0.2897290043
199	0.2882598588
200	0.2864483312
201	0.2844539154
202	0.2834749203
203	0.2822554572
204	0.2812072844
205	0.2791962629
206	0.2771831183
207	0.2762593488
208	0.274754605
209	0.272759152
210	0.2706500309
211	0.2686852167
212	0.267066404
213	0.2656424376
214	0.2641168095
215	0.2625285685
216	0.2606086566
217	0.2590870079
218	0.2573951764
219	0.2553562639
220	0.2543155831
221	0.2528301219
222	0.2516131977
223	0.2496345506
224	0.2481532219
225	0.2475641336
226	0.247109409
227	0.2456363497
228	0.2447403139
229	0.2437455757
230	0.2421561568
231	0.2402087985
232	0.2385658732
233	0.2373090805
234	0.2361835631
235	0.234763804
236	0.233500207
237	0.2322782355
238	0.2313837006
239	0.2305269287
240	0.2294317377
241	0.2275311248
242	0.2263914269
243	0.2252708044
244	0.2239856334
245	0.2232824944
246	0.221471844
247	0.2201838139
248	0.2193083539
249	0.2184755392
250	0.2173843691
251	0.216527888
252	0.2157013827
253	0.2144093285
254	0.2133751872
255	0.2122602411
256	0.2109575112
257	0.2099005229
258	0.2091314589
259	0.2078843696
260	0.2069503789
261	0.2060126946
262	0.2047041187
263	0.2038606485
264	0.2025743229
265	0.2014404995
266	0.2004338292
267	0.1995088508
268	0.1988779363
269	0.1980181744
270	0.1971289973
271	0.1964351978
272	0.1953902714
273	0.194530273
274	0.193618928
275	0.1930515415
276	0.1924666581
277	0.1913613088
278	0.1903320212
279	0.1899192827
280	0.1892610848
281	0.1884909067
282	0.1880358087
283	0.1871023079
284	0.1866552342
285	0.1858269692
286	0.1848680954
287	0.1837964871
288	0.1830295574
289	0.1818932588
290	0.1812068228
291	0.1804227186
292	0.1799252428
293	0.1790625754
294	0.178226992
295	0.1778184849
296	0.1771496064
297	0.1765024359
298	0.1756980998
299	0.1749546475
300	0.1743546326
301	0.1736217035
302	0.1729831959
303	0.1724199001
304	0.1714476756
305	0.1706915636
306	0.169830306
307	0.1690188497
308	0.1683411042
309	0.1677382613
310	0.166711433
311	0.1659051847
312	0.1652586208
313	0.1644766229
314	0.1635955479
315	0.1631204551
316	0.1626298918
317	0.1619808676
318	0.1613656878
319	0.1604014999
320	0.1600744427
321	0.1592417592
322	0.1581495018
323	0.1574807871
324	0.1565272284
325	0.156131804
326	0.1556486516
327	0.1550661578
328	0.1542764076
329	0.1537369546
330	0.1533973986
331	0.1527250101
332	0.1521086214
333	0.1511296106
334	0.1503605565
335	0.1501831553
336	0.1495557328
337	0.1490814876
338	0.1485958327
339	0.1480413534
340	0.1477379114
341	0.1472898143
342	0.1464455191
343	0.1458228854
344	0.1453018346
345	0.1450280102
346	0.1445280114
347	0.1438198962
348	0.1433287232
349	0.1427174226
350	0.1421442655
351	0.141513669
352	0.1407727256
353	0.1400775118
354	0.1396952843
355	0.139364714
356	0.1388469206
357	0.1381258835
358	0.1377070312
359	0.1372639562
360	0.1367002401
361	0.1361769443
362	0.1358045374
363	0.1352869958
364	0.1345563847
365	0.1342060735
366	0.1337150665
367	0.1334083079
368	0.1329581307
369	0.1324143896
370	0.1318174826
371	0.1313386364
372	0.1309155404
373	0.1303636343
374	0.1298114294
375	0.1293718194
376	0.1288018284
377	0.1284336355
378	0.1278343437
379	0.1272023778
380	0.1265424836
381	0.12599807
382	0.125595235
383	0.1250836317
384	0.1246682601
385	0.123994886
386	0.1236726526
387	0.1232128579
388	0.1227556305
389	0.1222730251
390	0.1217547839
391	0.1211785188
392	0.1205619659
393	0.1199336887
394	0.119460823
395	0.1189720075
396	0.1186806165
397	0.1184233152
398	0.1180086342
399	0.1175004627
400	0.1170453035
401	0.1167294314
402	0.1162709836
403	0.1158517715
404	0.1154895188
405	0.1151160242
406	0.1146676026
407	0.1141566494
408	0.1135724854
409	0.1132269529
410	0.1127404192
411	0.1123458435
412	0.1120586834
413	0.1116005862
414	0.1111382072
415	0.110741116
416	0.1104088312
417	0.1099736975
418	0.1095696687
419	0.1092275966
420	0.1088560392
421	0.1083748182
422	0.107929195
423	0.1077603773
424	0.1075466312
425	0.1071259411
426	0.1068007475
427	0.1063045544
428	0.1061089473
429	0.1057771161
430	0.1053377737
431	0.1049329461
432	0.1045858865
433	0.1041445773
434	0.1038374948
435	0.1035675412
436	0.1032534722
437	0.1029482776
438	0.102661509
439	0.1023446547
440	0.1020085872
441	0.1017989078
442	0.1013786389
443	0.1011718237
444	0.1006989514
445	0.1005839519
446	0.1001744076
447	0.09979821502
448	0.09962628395
449	0.09931657459
450	0.09896529398
451	0.09862602909
452	0.09823629102
453	0.09796071095
454	0.09765309022
455	0.09724588445
456	0.09689203337
457	0.09655591566
458	0.09621411996
459	0.09588660372
460	0.09559450761
461	0.09525406902
462	0.09509264891
463	0.09477289757
464	0.09446495741
465	0.09424947704
466	0.09392516061
467	0.09371813321
468	0.09353387091
469	0.09333501298
470	0.09299689081
471	0.09271830209
472	0.09234954619
473	0.09217437945
474	0.09206076448
475	0.09179620333
476	0.09159655503
477	0.09133946394
478	0.0910364414
479	0.0908377491
480	0.09048320827
481	0.0902084566
482	0.09001178925
483	0.08976931162
484	0.08949199431
485	0.08914003497
486	0.08889006219
487	0.0886598377
488	0.08838671728
489	0.08808958322
490	0.08776969166
491	0.0875803122
492	0.08722985338
493	0.08702887776
494	0.08688113296
495	0.08666770899
496	0.08645569626
497	0.08615982994
498	0.08597608356
499	0.08578619257
500	0.08556145823
501	0.0854527642
502	0.08519372356
503	0.08505958968
504	0.08476981845
505	0.08459533727
506	0.08432878811
507	0.08408692686
508	0.08391573589
509	0.08352744444
510	0.08333050661
511	0.08308804458
512	0.08290154135
513	0.08269961367
514	0.08240438693
515	0.08220948903
516	0.082030028
517	0.08185806981
518	0.08160091109
519	0.0814363117
520	0.08120480714
521	0.08099133853
522	0.08077475352
523	0.08059368941
524	0.08043487181
525	0.08028031663
526	0.0800336636
527	0.07977580291
528	0.07956382202
529	0.07931109211
530	0.07906054537
531	0.07868688078
532	0.07852226213
533	0.078330323
534	0.07808799284
535	0.07793262376
536	0.07766039137
537	0.07737295019
538	0.07716183437
539	0.07689086852
540	0.07666249256
541	0.07642407344
542	0.07619290344
543	0.07603752234
544	0.07584861164
545	0.07564518954
546	0.07552002338
547	0.07531255281
548	0.07506973767
549	0.0748582807
550	0.07456484912
551	0.07430363689
552	0.07413890585
553	0.07395478592
554	0.07376980085
555	0.07370913713
556	0.07353623915
557	0.07327623158
558	0.07310394791
559	0.07286794726
560	0.07257692283
561	0.07244337563
562	0.07226729225
563	0.07211969279
564	0.07187753123
565	0.07169458112
566	0.07144891586
567	0.07126029883
568	0.07113387541
569	0.07094067935
570	0.07071786739
571	0.07045401891
572	0.07023873682
573	0.0700457269
574	0.06990736259
575	0.06975388998
576	0.06956825164
577	0.06943212285
578	0.06934726762
579	0.06921161889
580	0.06906140737
581	0.06895702661
582	0.0688012811
583	0.0686828071
584	0.06857355493
585	0.06836505611
586	0.06822134505
587	0.06805933276
588	0.067863009
589	0.06764884692
590	0.06749263563
591	0.06736282886
592	0.06713484333
593	0.06696722687
594	0.06681092105
595	0.0667188425
596	0.06658441345
597	0.06643620898
598	0.06634362358
599	0.0661418373
600	0.06593839046
601	0.06581745985
602	0.06571140133
603	0.06558073392
604	0.0653526231
605	0.06531231669
606	0.06515075368
607	0.06491595204
608	0.06477196488
609	0.06462392173
610	0.06455461619
611	0.06438513792
612	0.06423070118
613	0.06419532643
614	0.0640414042
615	0.06392284893
616	0.06374314176
617	0.06362017862
618	0.06348392425
619	0.06341426903
620	0.06335443598
621	0.06316400951
622	0.06296939239
623	0.06284988026
624	0.06272679809
625	0.06257676612
626	0.06252325767
627	0.06236842313
628	0.0622135039
629	0.06205417037
630	0.06190522099
631	0.06174824658
632	0.0616668962
633	0.0614701437
634	0.06132604649
635	0.06119044146
636	0.06097382414
637	0.06087040853
638	0.06072038264
639	0.06053535712
640	0.06036741856
641	0.06022454476
642	0.06019008833
643	0.06007755939
644	0.05998607443
645	0.05983763318
646	0.05974013519
647	0.05958724102
648	0.0594251926
649	0.05926942186
650	0.05906941532
