Actual,Predicted,Error
8.782,17.921431178350026,-9.139431178350026
56.09,24.628168401203776,31.461831598796227
9.808,19.767928840215554,-9.959928840215554
9.679,18.405776615033243,-8.726776615033243
7.756,19.664063915900172,-11.908063915900172
3.654,15.13169265656508,-11.47769265656508
2.5,31.6937894844218,-29.1937894844218
4.679,15.545695220369177,-10.866695220369177
20.321,22.097259446714325,-1.7762594467143238
5.064,14.952773195823601,-9.888773195823601
5.192,15.191917339890086,-9.999917339890086
3.397,16.032351719753056,-12.635351719753055
6.474,28.265420308784897,-21.791420308784897
6.218,20.893453637373003,-14.675453637373003
26.218,23.444777706394028,2.773222293605972
26.731,19.280767429385698,7.450232570614304
61.346,51.34635805229604,9.999641947703957
62.372,16.40097860079943,45.971021399200566
46.731,15.940796452763706,30.790203547236295
6.218,15.758018839235955,-9.540018839235955
25.962,16.271114898371216,9.690885101628783
4.551,17.664603404879657,-13.113603404879656
6.859,15.008140229372419,-8.149140229372419
7.628,15.913367322980493,-8.285367322980493
20.064,16.028030583835317,4.035969416164683
64.679,18.27375739736828,46.40524260263172
7.756,17.756052064723015,-10.000052064723015
4.808,14.72942577080109,-9.92142577080109
36.474,17.623645238161096,18.8503547618389
0.962,11.102907224227696,-10.140907224227696
9.038,16.27282891795085,-7.23482891795085
39.936,21.796753687161257,18.139246312838743
54.423,16.15325234504489,38.26974765495511
2.115,15.237470609729044,-13.122470609729044
7.628,22.313353283563977,-14.685353283563977
22.115,18.993839211029638,3.1211607889703608
6.987,17.309764202172907,-10.322764202172907
32.885,27.645258260591817,5.239741739408181
7.628,22.46646846517246,-14.838468465172461
71.09,15.436916615255313,55.65308338474469
50.0,14.601045736738259,35.39895426326174
61.09,25.802470175600874,35.28752982439913
24.295,24.000899941137597,0.294100058862405
2.885,15.822721652848859,-12.93772165284886
34.551,23.087235356155546,11.463764643844456
8.013,22.01410455446844,-14.001104554468439
65.449,37.81623259324605,27.63276740675395
4.551,16.02964406185031,-11.478644061850309
50.0,25.03410627006752,24.96589372993248
24.423,14.42327009283969,9.999729907160308
24.423,11.718133175687285,12.704866824312713
2.885,12.710519645662938,-9.825519645662938
1.859,10.318289542568888,-8.459289542568888
2.5,13.539470854938283,-11.039470854938283
3.013,10.318289542568888,-7.305289542568888
45.192,16.0122593657817,29.1797406342183
1.987,12.616589676034618,-10.629589676034618
1.859,10.85949553071157,-9.00049553071157
4.679,15.319015797344568,-10.640015797344567
5.321,15.781196055762953,-10.460196055762953
5.577,13.443098034913287,-7.866098034913287
4.167,20.01871340209521,-15.851713402095209
11.603,13.28997509361908,-1.6869750936190808
6.346,21.89097343261168,-15.54497343261168
6.603,16.41977545225994,-9.816775452259941
3.782,13.948734695123399,-10.166734695123399
