sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.65192664,0.9511387,0.96168274,0.97341406,0.9587613,0.95553255
0.7043478,0.9423299,0.9539325,0.96987695,0.9401458,0.948926
0.57825434,0.953641,0.9583402,0.9704278,0.9496793,0.9487832
0.48960024,0.9519194,0.9519797,0.96913886,0.9483997,0.932365
0.46527693,0.9504419,0.9576677,0.96829283,0.94682676,0.9387093
0.46959484,0.9374669,0.9355336,0.9574036,0.92716175,0.920962
0.6342844,0.95504886,0.9669113,0.97307706,0.957752,0.95784116
0.7328976,0.936998,0.9395087,0.9655986,0.9451573,0.94097567
0.6443037,0.96276176,0.9604585,0.97773165,0.95688146,0.94465023
0.7828493,0.95695794,0.96206874,0.9763912,0.95563257,0.96015793
0.7587668,0.957271,0.95823884,0.9735695,0.9559364,0.9462185
0.8079031,0.9727599,0.9807809,0.970933,0.9731574,0.9754851
0.7702301,0.9070257,0.9451179,0.95677537,0.93564844,0.93991756
0.4331937,0.8868914,0.92679626,0.92872703,0.92149484,0.91250384
0.3885244,0.9263096,0.90941495,0.92993677,0.90422726,0.86861
0.54877925,0.95067066,0.9608072,0.96763694,0.95807767,0.9485614
0.37890437,0.91353637,0.9488427,0.9629669,0.9271508,0.9432009
0.71613324,0.9370256,0.9457515,0.9742668,0.9390197,0.95223665
0.7518195,0.9653255,0.97014666,0.97908205,0.96822155,0.9627057
0.65522134,0.9121737,0.92382395,0.93986416,0.89324003,0.92539954
