sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.8521721,0.96764594,0.97151196,0.97155625,0.96518546,0.9741572
0.8223767,0.9436528,0.9556166,0.96044815,0.961886,0.962532
0.8611145,0.97162336,0.9791677,0.98189193,0.9748464,0.9766316
0.9149632,0.98091495,0.9863682,0.9878294,0.9863635,0.9833096
0.83869374,0.9510758,0.96426266,0.9734329,0.9593705,0.9701138
0.7983282,0.9578987,0.970044,0.9710662,0.967352,0.96763796
0.90652895,0.9580432,0.972098,0.9732786,0.96289384,0.9604423
0.9059226,0.97929436,0.9809277,0.9781994,0.97710055,0.9776758
0.8817339,0.94525397,0.9674319,0.9734257,0.9648618,0.97223747
0.8294392,0.96874034,0.9727073,0.9784796,0.9705918,0.9702947
