sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.78805524,0.9353519,0.95799565,0.97076553,0.96120596,0.96334964
0.8655708,0.95771563,0.9702906,0.9799868,0.96606934,0.9699837
0.58965796,0.9205277,0.94052976,0.96443623,0.9438207,0.94683164
0.71452206,0.96420723,0.9693953,0.9762244,0.96371466,0.9610626
0.7219697,0.9278402,0.9575162,0.9661555,0.9493065,0.94181
0.75206614,0.9499719,0.96401465,0.97570586,0.9634562,0.96135956
0.7618121,0.91665196,0.9442283,0.9579288,0.9352563,0.92978454
0.76258874,0.96743304,0.97527695,0.9704206,0.97415423,0.9647585
0.62855744,0.93413925,0.9631084,0.96682936,0.9547278,0.9576984
0.74806917,0.9404006,0.9456092,0.96250576,0.9549539,0.9434275
0.4549728,0.92918134,0.9453328,0.9504058,0.93444943,0.93259186
0.8419644,0.96414495,0.97326803,0.9766425,0.9671621,0.96722347
0.6114637,0.9281249,0.93108094,0.9472704,0.9158473,0.914721
0.7671891,0.94343424,0.94909537,0.9632844,0.95178485,0.9410282
0.74368304,0.94384605,0.95993245,0.9692534,0.9539628,0.9480239
0.7292695,0.9279885,0.9479604,0.9620171,0.92957145,0.9228567
0.7689649,0.9432647,0.9504759,0.96926486,0.9296868,0.9470777
0.75335664,0.9392603,0.9549474,0.9647885,0.9368002,0.92630994
