,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
81,0.57140183,0.8956094,0.9278559,0.9534356,0.9254992,0.91803217
82,0.46157542,0.89818436,0.9347495,0.92765903,0.9008823,0.9091552
83,0.5563324,0.9039213,0.9416585,0.95153075,0.9243713,0.934254
84,0.39321733,0.89413905,0.90595627,0.92971015,0.88238335,0.89669955
85,0.510672,0.8904251,0.91349655,0.9245398,0.8592412,0.90128344
86,0.63585514,0.8937137,0.9267161,0.94044924,0.910639,0.9335592
87,0.5913521,0.91648644,0.9354698,0.9472417,0.92270154,0.93070704
88,0.6747474,0.92697114,0.92883164,0.96000504,0.92247504,0.9317763
89,0.35219708,0.8530915,0.88436127,0.88645256,0.8179106,0.8736859
90,0.26117554,0.8755569,0.9104963,0.89901745,0.87081295,0.874497
91,0.53771394,0.9213562,0.9386862,0.95138705,0.9095282,0.9281744
92,0.5925406,0.9033874,0.92849785,0.9461584,0.8983237,0.9041063
93,0.63167685,0.93926233,0.94616556,0.9622521,0.92481977,0.937158
94,0.5401967,0.893411,0.91991246,0.9324745,0.92793375,0.9220266
95,0.6279525,0.8791081,0.90594757,0.92831177,0.91253734,0.90152943
96,0.6665664,0.8936983,0.91422164,0.94449866,0.91497594,0.9219498
97,0.54377216,0.88294613,0.91165733,0.94874686,0.9086553,0.92262393
98,0.54873675,0.91330606,0.93541294,0.933596,0.93170244,0.92651683
99,0.70925474,0.918964,0.94761467,0.9528819,0.9235862,0.9471306
100,0.51650345,0.91610587,0.9443833,0.95129246,0.93077767,0.92147475
101,0.5840369,0.90969974,0.9216196,0.93236613,0.89053434,0.89732325
102,0.5634816,0.88941145,0.91387403,0.93075716,0.87302506,0.89912987
103,0.6622926,0.9024771,0.9213387,0.9333319,0.87185216,0.9054067
104,0.762956,0.94043887,0.95788085,0.9535949,0.9240774,0.93552
105,0.62609524,0.89839107,0.92759156,0.9394884,0.8870009,0.8990823
106,0.46526018,0.89783937,0.925486,0.95311755,0.9122002,0.92120236
107,0.72961175,0.9444147,0.9606943,0.972948,0.9565095,0.9608711
108,0.7585904,0.94847697,0.95197576,0.96370035,0.9497636,0.95229566
109,0.34873694,0.84442407,0.8807382,0.9089304,0.84836745,0.8604016
110,0.42727605,0.85711604,0.906923,0.9017023,0.87515885,0.8862541
111,0.16837229,0.8640729,0.8940833,0.9348779,0.87683237,0.88605267
112,0.38477105,0.8608539,0.901285,0.92083883,0.87812996,0.90321064
113,0.38464022,0.8747689,0.9004105,0.91033906,0.88298917,0.8736872
114,0.3538955,0.8854738,0.9161908,0.92503,0.90759236,0.9074407
115,0.49283683,0.8721763,0.9091655,0.92072695,0.8966203,0.91688406
116,0.57636786,0.87477976,0.9225184,0.92349505,0.9096059,0.9248214
117,0.15459289,0.83598506,0.86841595,0.92274976,0.8688738,0.8672834
118,0.15683931,0.8667766,0.8798016,0.8924757,0.86420035,0.84576666
119,0.11440949,0.88349473,0.90648115,0.9171375,0.88312894,0.874934
120,0.1791077,0.8765243,0.90867233,0.9365393,0.89715177,0.9107991
121,0.14376855,0.8383243,0.86146474,0.90001625,0.8406087,0.84422547
122,0.037446395,0.7967023,0.84901506,0.881508,0.81564915,0.81827044
123,0.17029421,0.8501014,0.915759,0.9304667,0.8882783,0.9159043
124,0.61471915,0.90234154,0.94477963,0.9460216,0.9166285,0.93401206
125,0.09253983,0.8627385,0.91377735,0.9112358,0.89343894,0.8824901
126,0.33060807,0.8683579,0.91860026,0.94311315,0.8954766,0.9026816
127,0.42710298,0.8989902,0.91687065,0.9509535,0.90643775,0.931045
128,0.24011777,0.8572507,0.8716039,0.9043309,0.85674113,0.8958595
129,0.24916469,0.8838233,0.90091985,0.9352555,0.8785661,0.91008484
130,0.17476907,0.91987425,0.922817,0.9361073,0.92296153,0.91225725
131,0.22624657,0.8458756,0.8918783,0.9087163,0.88122016,0.8657505
132,0.2886611,0.8587514,0.8804686,0.91739184,0.8333282,0.88611174
133,0.27271318,0.8193478,0.86923206,0.8908416,0.8476038,0.84644896
134,0.15860818,0.8361245,0.89233196,0.8645646,0.8755928,0.8360658
135,0.108385764,0.7766597,0.85684735,0.8846113,0.79544973,0.8389048
136,0.2680131,0.88138276,0.90235037,0.91849124,0.85148287,0.90208185
137,0.046111446,0.7967579,0.8534303,0.7720653,0.75900924,0.82632667
138,-0.0010801081,0.74776137,0.8208951,0.7530652,0.7336855,0.8064143
139,0.3879947,0.84236336,0.88745236,0.91477317,0.8885722,0.8944104
140,0.22338901,0.8297604,0.83560836,0.89471763,0.8263713,0.8645854
141,0.09399923,0.5111218,0.18528864,0.445763,0.6517224,0.6361916
142,0.56685376,0.48974785,0.28152868,0.55589277,0.54865164,0.74379313
143,0.00021152402,0.6133325,0.6305226,0.57883173,0.58343685,0.59351104
144,0.17318803,0.8879594,0.90753764,0.9415506,0.91502833,0.9171341
145,0.35914254,0.90856624,0.9153847,0.93510014,0.8908074,0.89953995
146,0.5431729,0.93528146,0.94700503,0.9553313,0.91271627,0.9292117
147,0.35328722,0.9054108,0.94091547,0.94025815,0.91839427,0.9011014
148,0.4004804,0.88626844,0.91440225,0.93523026,0.90222764,0.9070461
149,0.48678535,0.8844929,0.92508614,0.92727005,0.90062517,0.9240557
150,0.22841577,0.84286124,0.8684996,0.9012321,0.7954162,0.8879692
151,0.33698502,0.85666335,0.8754868,0.89392287,0.8044837,0.87115747
152,0.4772273,0.9220786,0.93209314,0.93220174,0.9305427,0.93399334
153,0.69459945,0.9543072,0.9584524,0.9770313,0.9552064,0.9610688
154,0.6085392,0.90960646,0.92842937,0.945594,0.92182076,0.92644763
155,0.4693161,0.8917763,0.9224675,0.9457225,0.8982354,0.92798954
156,0.72607076,0.9145119,0.9375563,0.94109243,0.9289249,0.928966
157,0.45504287,0.9330331,0.9485991,0.94933426,0.9348857,0.92746127
158,0.4081801,0.8616322,0.89827365,0.9055319,0.86412084,0.88453794
159,0.07750423,0.8813022,0.8921484,0.91469926,0.8669222,0.87933826
160,0.45799595,0.91428536,0.9230082,0.9171126,0.9286791,0.9215401
161,0.67138296,0.9291338,0.9400608,0.9500591,0.93436575,0.93729496
162,0.6132365,0.91599315,0.9292377,0.95353746,0.91569185,0.9265057
163,0.63229334,0.9011995,0.9247782,0.9411342,0.91265714,0.9126928
164,0.44368246,0.89615107,0.9130921,0.94166213,0.89435863,0.9032693
165,0.6826103,0.8900006,0.916535,0.91832995,0.91787744,0.907263
166,0.4243068,0.90243727,0.93136686,0.9325086,0.9126461,0.8934775
167,0.36474484,0.83136135,0.8990974,0.88808095,0.86877656,0.8794593
168,0.3514839,0.8211661,0.88213646,0.8484667,0.8416814,0.849844
169,0.30434716,0.91739374,0.9350589,0.93417734,0.9189479,0.9036813
170,0.42716652,0.9162424,0.9370263,0.9311862,0.93912643,0.9249442
171,0.5472262,0.9337273,0.9389054,0.9535767,0.92094,0.92674077
172,0.5587427,0.92676294,0.92203224,0.9433382,0.90102905,0.9057151
