,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
81,0.78343856,0.9590686,0.9700061,0.9717854,0.9669515,0.9600647
82,0.760491,0.9571216,0.9639119,0.9779568,0.96354586,0.96407706
83,0.34794036,0.9579052,0.9611323,0.9597253,0.95687217,0.93089163
84,0.42128024,0.9318651,0.94492143,0.9611202,0.93285924,0.934293
85,0.7273081,0.96108824,0.9698664,0.9771938,0.97226065,0.9718327
86,0.7233363,0.9381674,0.94665587,0.9731982,0.94479305,0.95794475
87,0.5558765,0.9568809,0.965412,0.96982366,0.95685756,0.9538496
88,0.24965832,0.89965916,0.94121,0.9258107,0.93626463,0.89724123
89,0.42866576,0.8620712,0.9131088,0.9106288,0.8834614,0.9051302
90,0.5237234,0.94401604,0.95587057,0.97182804,0.95332927,0.9505597
91,0.5703593,0.9637577,0.96651495,0.96879125,0.95967126,0.9581665
92,0.5890044,0.951843,0.9540762,0.9687556,0.95853,0.94818765
93,0.3987332,0.9270297,0.9425178,0.944781,0.933134,0.929857
94,0.70498955,0.9621366,0.96876836,0.9778991,0.96925,0.96245617
95,0.5861854,0.95058477,0.9504197,0.96213657,0.9477374,0.94561404
96,0.61156034,0.94475853,0.96567947,0.97311324,0.95925987,0.9618964
97,0.5048408,0.9418861,0.95051086,0.9624466,0.9523746,0.94829
98,0.6263312,0.94830364,0.9534283,0.96796906,0.94964063,0.94517714
99,0.48899278,0.93884015,0.9476139,0.9713524,0.9147257,0.9384289
100,0.6041559,0.94852775,0.96192026,0.9724522,0.9521899,0.9469704
101,0.7319163,0.97261393,0.979272,0.9804857,0.9768872,0.9703188
102,0.64857805,0.94912404,0.9615618,0.97898704,0.95602375,0.9595092
103,0.58085805,0.9532022,0.96082366,0.96873826,0.94248563,0.94995403
104,0.5325637,0.9423863,0.92597395,0.95446825,0.9161577,0.91578686
105,0.67360795,0.9500334,0.9471777,0.9680962,0.94962543,0.94612277
106,0.59787333,0.92391217,0.93161225,0.9356781,0.9183393,0.9105903
107,0.56303626,0.92801845,0.94761,0.95605785,0.9286962,0.93437475
108,0.61624175,0.92315686,0.934135,0.91896117,0.9159609,0.9019004
109,0.50136703,0.9321788,0.95551676,0.961148,0.9456524,0.9549243
110,0.5034546,0.91165435,0.9280795,0.9398695,0.92337793,0.90603215
111,0.36535567,0.92709714,0.9463578,0.95270765,0.93460214,0.94047594
112,0.6235488,0.9123599,0.9384593,0.9519724,0.92443126,0.9400261
113,0.6230955,0.93715674,0.95896757,0.9604651,0.94750416,0.93454605
114,0.44442043,0.9389285,0.9549187,0.9557239,0.93847775,0.9432302
115,0.34191123,0.89852476,0.9062866,0.93552506,0.8552988,0.8672869
116,0.64706767,0.92858684,0.94605386,0.9536525,0.94468164,0.9395301
117,0.40382695,0.81612295,0.8891262,0.86672276,0.8794148,0.8840784
118,0.5237151,0.9269119,0.94220066,0.9585154,0.94341433,0.94965845
119,0.38003775,0.9074865,0.90406954,0.9309592,0.8878082,0.87726015
120,0.58931553,0.9246233,0.9273744,0.93721515,0.9367859,0.91495556
121,0.6523345,0.9276299,0.9339895,0.95335597,0.9324249,0.9459094
122,0.5867439,0.93432164,0.9424528,0.9507675,0.947105,0.9336598
123,0.56891245,0.91882694,0.93364024,0.9332434,0.92604023,0.92695165
124,0.54489136,0.9201474,0.8960915,0.9413384,0.89955056,0.9192728
125,0.22615308,0.8504099,0.89561915,0.88731766,0.8589014,0.85735685
126,0.16351649,0.868622,0.90114,0.89731264,0.8553104,0.84985965
127,0.373252,0.915582,0.9163622,0.9403481,0.89569885,0.89860684
128,0.74846834,0.9536171,0.96541786,0.96331406,0.9552846,0.9454684
129,0.50234485,0.9339567,0.9488792,0.9610724,0.9391582,0.95391643
130,0.7786947,0.93138343,0.93215406,0.95521474,0.8806778,0.926441
131,0.6315357,0.94159925,0.95309365,0.93879086,0.9341899,0.9412148
132,0.6000054,0.9046255,0.92630213,0.92664313,0.8931047,0.91286975
133,0.511055,0.8911698,0.9030549,0.94191337,0.9066752,0.88933927
134,0.7345929,0.95159495,0.9553891,0.9643968,0.93326783,0.95603985
135,0.6507891,0.9409507,0.95055753,0.9663864,0.94285214,0.9518513
136,0.6613009,0.94357425,0.95082104,0.9610028,0.94548094,0.94698477
137,0.65966076,0.9382679,0.96164036,0.9620151,0.95081276,0.95560837
138,0.5514289,0.93380165,0.94133645,0.9682441,0.9496294,0.9499221
139,0.55445266,0.9588659,0.9646126,0.9614859,0.9565152,0.9462708
140,0.5202517,0.884445,0.9239694,0.8874192,0.90993047,0.91892064
