sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.68328935,0.9475784,0.9593403,0.95809156,0.95311713,0.96182024
0.6665106,0.9663726,0.9654203,0.97823995,0.9646989,0.9659027
0.7540076,0.967659,0.97135377,0.98019713,0.9666447,0.97067577
0.7421318,0.94465023,0.9582281,0.96848816,0.951254,0.95517886
0.60855013,0.94619834,0.95951974,0.9698426,0.94677824,0.95932883
0.72454494,0.96131635,0.9719829,0.96923286,0.9676158,0.9549175
0.75959307,0.9649893,0.97696394,0.9763682,0.96482867,0.9688209
0.41516814,0.8943431,0.9138062,0.9139422,0.8905732,0.89728785
0.60082173,0.96545,0.9700024,0.96902215,0.96154135,0.95852107
0.81691074,0.9466245,0.9553762,0.96191,0.96776277,0.9628592
0.7469717,0.95582336,0.9662322,0.97927046,0.9463612,0.9583885
0.65823543,0.9575922,0.9565648,0.9583762,0.95750207,0.93004125
0.5923288,0.9216186,0.9351141,0.966995,0.91164136,0.93262243
0.62905765,0.9190596,0.9420798,0.9564968,0.93749195,0.9346957
0.55461895,0.93799496,0.94832194,0.95896864,0.9422477,0.94256705
0.7086254,0.9444769,0.95890504,0.9710034,0.95047605,0.9427646
0.42249367,0.8714776,0.920019,0.87563187,0.893212,0.900715
0.689175,0.96234936,0.9706795,0.9771259,0.96527815,0.9557594
0.6071015,0.95800275,0.9681644,0.9603957,0.96233803,0.9568055
0.84683937,0.960919,0.96966755,0.98004025,0.9716302,0.9692413
0.7292773,0.96840054,0.96883315,0.97462076,0.9556992,0.9611846
0.5516593,0.93291724,0.93327725,0.94803286,0.9294985,0.9081451
