sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.47318187,0.89771724,0.9282197,0.9456938,0.919156,0.91638273
0.6911613,0.9210496,0.93749076,0.9504352,0.9240304,0.9332737
0.6952081,0.9312948,0.9469237,0.9670054,0.9322952,0.9451356
0.6960519,0.95315987,0.96445704,0.9583644,0.95165026,0.95060766
0.479953,0.9311828,0.9486653,0.96117246,0.9498569,0.9355318
0.50925684,0.8617988,0.91131103,0.9401695,0.9149059,0.8918697
0.4591392,0.87934333,0.89182144,0.87360656,0.8851113,0.88407254
0.3361765,0.8992257,0.9139045,0.91899014,0.90547997,0.9144308
0.4632338,0.9430731,0.95065796,0.964873,0.9526801,0.95736516
0.577856,0.93885297,0.9433747,0.95026284,0.9303507,0.93957597
0.42238283,0.8819571,0.92145467,0.91567904,0.917022,0.9134798
0.47815648,0.89672285,0.93656874,0.9525229,0.92774934,0.92842704
0.62662756,0.9036011,0.9459791,0.95831066,0.9408401,0.9485125
0.5668175,0.9447605,0.9583786,0.9511211,0.947462,0.93789613
0.6512894,0.9285127,0.94810385,0.945883,0.9269243,0.931416
0.62057406,0.94211006,0.9546081,0.9496346,0.9305815,0.9507505
0.6726831,0.95757353,0.9660034,0.96527964,0.9676297,0.96281564
0.4979148,0.91821253,0.9287818,0.95592576,0.90940213,0.91721624
0.71536815,0.96842074,0.96260065,0.95707905,0.95322144,0.953263
0.49416724,0.9402662,0.9590338,0.96067643,0.9405646,0.93832344
0.43060523,0.9079464,0.91419554,0.9459386,0.90947586,0.9380293
0.64530545,0.9414581,0.9621568,0.9610034,0.9488092,0.9490719
0.48349607,0.92202955,0.95432454,0.9679536,0.9171909,0.95105636
0.47139972,0.8849922,0.91588616,0.85631984,0.8761455,0.8866344
0.676839,0.95687413,0.9475824,0.9503366,0.94231,0.9367469
0.40173993,0.92137855,0.9437463,0.9618695,0.92789644,0.93516
0.597085,0.9401041,0.9425453,0.96207225,0.93740284,0.9438029
0.45049986,0.9382947,0.9432813,0.9644001,0.92978233,0.94144607
0.5712416,0.95074266,0.95391107,0.95106447,0.9345246,0.9272721
0.51898646,0.92123467,0.9126436,0.9307601,0.804061,0.90190417
0.45707473,0.8603732,0.89250016,0.8306414,0.91792613,0.88645464
0.52447104,0.9161067,0.94263643,0.96886,0.9529662,0.9567321
0.5614068,0.93221074,0.95180136,0.9556487,0.9093702,0.93918544
0.58509487,0.93733394,0.9538777,0.9618523,0.9411818,0.94163793
0.3857054,0.91510916,0.93082505,0.94722843,0.9248559,0.9330178
