sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.25326294,0.8141889,0.87293947,0.8855264,0.850097,0.87542766
0.34218246,0.912494,0.92253816,0.9485609,0.91656965,0.9191375
0.50389516,0.92644936,0.9250858,0.9528406,0.9330038,0.9249432
0.2907024,0.9030978,0.89711845,0.9111283,0.89391536,0.8860103
0.28089216,0.8885164,0.9203087,0.9293198,0.917491,0.9105539
0.4835401,0.9169372,0.9350557,0.9497773,0.92789686,0.92056537
0.3473883,0.89919144,0.9333846,0.9398241,0.9300618,0.93208146
0.41028756,0.88807863,0.92509043,0.94110376,0.9211103,0.914706
0.02564423,0.87049425,0.87821394,0.9086646,0.8781947,0.85291624
0.6295194,0.8939596,0.9218004,0.94863963,0.8676619,0.9105892
0.269834,0.8956529,0.902716,0.94786036,0.8745048,0.8796882
0.44199967,0.9252386,0.94440717,0.9557553,0.92645603,0.9228038
0.41065738,0.9353294,0.945068,0.95846826,0.9242096,0.92247164
0.31164244,0.88115275,0.9072692,0.9425067,0.8864152,0.8993747
0.36250088,0.9011694,0.8935634,0.91595984,0.85172015,0.8694651
0.6817476,0.9389575,0.93561715,0.9458124,0.92008543,0.91806567
