sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.17785043,0.84430563,0.86857074,0.8871877,0.8379175,0.8211492
0.262607,0.85815614,0.8743324,0.88072634,0.85190463,0.83429253
0.41612208,0.8754271,0.9151296,0.9147322,0.88278383,0.88967353
0.437765,0.86279744,0.896933,0.9077393,0.8805222,0.86772764
0.23387673,0.8624783,0.87713796,0.9009584,0.8667749,0.85697424
0.2975609,0.88509303,0.91625005,0.93287516,0.8820565,0.91757226
0.49385604,0.86556673,0.9136365,0.9236894,0.8976422,0.8927952
0.342203,0.8794405,0.91849893,0.925703,0.87851495,0.8880001
0.035837997,0.8489112,0.8693747,0.88459,0.8254262,0.8002399
0.15238409,0.82340276,0.84159285,0.88658255,0.7996081,0.8013244
0.25761008,0.77499264,0.86551493,0.83208334,0.85310704,0.8636445
0.4092148,0.7751771,0.85635686,0.8402125,0.8528295,0.8493627
0.024276482,0.8405568,0.845802,0.90276855,0.8432602,0.8555549
0.30700287,0.88963735,0.88649416,0.9205368,0.875194,0.886805
0.39733607,0.874333,0.8688491,0.8913285,0.87690514,0.872889
0.44660288,0.86553085,0.8654893,0.8976295,0.87472826,0.86167574
0.24888113,0.8548715,0.8795122,0.8732741,0.88375634,0.87023866
0.48934066,0.8887251,0.89061344,0.9193623,0.88830626,0.89884347
0.02715598,0.79032296,0.8044003,0.84063816,0.78602856,0.80240536
0.08025618,0.79297704,0.843549,0.8772996,0.77554756,0.78714573
0.25472432,0.86299556,0.8767517,0.89119166,0.84412175,0.8315828
0.21689585,0.85555065,0.86747515,0.8800702,0.82821447,0.8161214
0.46898964,0.907675,0.9328806,0.94632757,0.9219831,0.91848373
0.40195823,0.85921705,0.877593,0.9235847,0.82530814,0.8868636
0.5875429,0.90024215,0.91697603,0.93247193,0.8883026,0.9170982
0.5786875,0.8778966,0.91401005,0.9339033,0.9110543,0.9126819
0.47474408,0.8638691,0.84834963,0.8597011,0.80338526,0.8218992
0.42578736,0.8753462,0.8617319,0.89990085,0.8077548,0.84156173
0.5555811,0.92965305,0.9224887,0.95290536,0.8874065,0.9362272
0.4357862,0.88919437,0.92224187,0.94187415,0.9057193,0.9210152
0.47137228,0.90374017,0.92894113,0.93023485,0.9081833,0.91353023
