sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.5848882,0.93140334,0.92049617,0.9512329,0.9391495,0.9454996
0.6436154,0.9240698,0.9264093,0.9528782,0.93496597,0.9352155
0.6260807,0.9069503,0.93821603,0.939187,0.9088824,0.9307276
0.5683738,0.8956076,0.9202421,0.91014844,0.8855418,0.9137904
0.83720505,0.96565884,0.9700965,0.9770454,0.9661792,0.96558124
0.6880275,0.92694473,0.95044005,0.9496375,0.9403773,0.92959195
0.6513702,0.8997793,0.9133856,0.9352271,0.9163258,0.9077285
0.7680954,0.94204634,0.9561769,0.96062917,0.95137495,0.9462023
0.45165464,0.92271805,0.9399726,0.9550635,0.92351377,0.9439319
0.4498963,0.9307398,0.95124316,0.95902926,0.94194627,0.94252
0.6135001,0.9285596,0.9463805,0.9574976,0.9327726,0.9391378
0.74223155,0.95130414,0.9675585,0.9700215,0.9505328,0.95499384
0.39443588,0.92467195,0.92499936,0.9441915,0.8980761,0.9232534
0.22812662,0.9083817,0.9085309,0.9258935,0.88084996,0.86042726
0.41913092,0.9351534,0.9406121,0.94777554,0.93252534,0.9238087
