sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.6831311,0.8863677,0.9104976,0.92406607,0.9029969,0.8971759
0.30050686,0.8446772,0.8708307,0.8663241,0.8551485,0.8561781
0.24390416,0.86854243,0.88809204,0.8632359,0.8544099,0.8426074
0.5246628,0.8873005,0.9064241,0.9156617,0.8794767,0.8698965
0.6697771,0.9070701,0.91214734,0.9293605,0.896853,0.8930424
0.47624746,0.8960409,0.917127,0.92990965,0.9091182,0.9124724
0.4423106,0.90071267,0.92492044,0.9472267,0.9026951,0.908858
0.58185387,0.8900196,0.9001333,0.9465726,0.9041079,0.90662825
0.45701444,0.8222698,0.8723024,0.9103763,0.8799523,0.84744376
0.6377674,0.8709055,0.8994472,0.9061146,0.892414,0.8905456
0.46473733,0.8927516,0.90072274,0.9217104,0.88236934,0.8781677
0.43140617,0.82783026,0.8360032,0.8563025,0.83011115,0.80720246
0.646442,0.78882587,0.83066845,0.8766857,0.8369207,0.80407035
0.4305074,0.8260611,0.87099904,0.88378805,0.84005326,0.8704373
0.41207486,0.88239545,0.89841664,0.92272216,0.8628293,0.86295396
0.6236656,0.87498426,0.91750604,0.9348451,0.9003985,0.8950055
0.73619807,0.9096741,0.9375826,0.95833445,0.9373096,0.9417045
0.49992138,0.8777768,0.91514015,0.91978997,0.91355324,0.9074908
0.50173694,0.8832444,0.892762,0.9268705,0.87978303,0.9163114
0.46553797,0.88165796,0.88457257,0.9233246,0.87258494,0.8821519
0.54275024,0.89502686,0.93590355,0.9463291,0.9189937,0.9243169
0.46324474,0.8485912,0.85409355,0.89155114,0.8024735,0.82011145
0.51600486,0.9027659,0.93040717,0.9518267,0.88510734,0.9310453
