sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.16995598,0.8554631,0.9055665,0.90556514,0.90802014,0.8948022
0.3830565,0.92815804,0.939795,0.9459471,0.93024665,0.907267
0.14293408,0.8015557,0.86106884,0.8744878,0.85581845,0.8456085
0.30913505,0.79606164,0.8583836,0.8748347,0.8521147,0.83409405
0.3644737,0.8571223,0.8916339,0.89928377,0.8841841,0.8789509
0.326916,0.8477328,0.9031498,0.90448886,0.8869152,0.8743798
0.29695186,0.86944693,0.89294624,0.90817463,0.9179054,0.8947627
0.4139302,0.9003235,0.9284174,0.9484701,0.94082314,0.92906797
0.32175905,0.85313255,0.8996019,0.9054973,0.82654345,0.8515222
0.19590797,0.8497367,0.8778287,0.87846076,0.8011054,0.85204965
0.5499939,0.9230202,0.9275337,0.9510402,0.93901044,0.9263608
0.5587442,0.8770018,0.9282665,0.9457028,0.9166947,0.90531224
0.4626956,0.8954087,0.923902,0.9225874,0.8951213,0.8983534
0.68148196,0.91169643,0.93425447,0.9467939,0.91944504,0.9192202
0.37387085,0.9080493,0.90961766,0.9391126,0.9083155,0.89631134
0.32410288,0.92695695,0.935375,0.9589188,0.916882,0.9101919
0.59293467,0.9212496,0.93737143,0.94837594,0.9178642,0.9183234
0.30826882,0.8559425,0.8819212,0.90622985,0.8183341,0.8451378
0.27670756,0.8752506,0.893609,0.9388344,0.85338134,0.90336335
