sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.4268025,0.9057865,0.9332371,0.9333334,0.9237717,0.92141587
0.65895444,0.9034113,0.93760717,0.94361955,0.929023,0.9254856
0.4447966,0.8989432,0.9210908,0.9274159,0.9195209,0.9082448
0.6310038,0.9436091,0.948851,0.96815485,0.9162006,0.9516707
0.5265304,0.9281514,0.93125993,0.9446082,0.9025221,0.9157591
0.5474633,0.89459723,0.9100046,0.91928715,0.9014427,0.9057093
0.2985809,0.8996237,0.93397886,0.93910235,0.8870651,0.8887137
0.4123942,0.8351425,0.86706865,0.8921632,0.8404477,0.86447066
0.20470713,0.8558665,0.87428457,0.8638177,0.8331325,0.84579384
0.36731455,0.90218693,0.91097605,0.94141597,0.89561445,0.8975598
0.0835015,0.84246767,0.8576547,0.8724705,0.8185432,0.86175823
0.45995492,0.9038769,0.9067204,0.8679234,0.87425363,0.87159747
0.71283174,0.9352718,0.94525164,0.951585,0.93264836,0.9393558
0.42614326,0.90767187,0.9092649,0.90709317,0.90252465,0.8936026
0.47340518,0.90633726,0.92461157,0.9278417,0.8835928,0.8797264
0.356226,0.8985867,0.90468234,0.9331116,0.8841876,0.87950706
0.41043797,0.9081057,0.92299354,0.9491078,0.9236254,0.9254677
0.24115448,0.877139,0.880044,0.91177016,0.8923717,0.89048487
0.38694572,0.9032314,0.91713214,0.9358057,0.9050881,0.9163803
0.55305,0.8509145,0.8970576,0.937352,0.8798211,0.910714
