sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.7699073,0.94095993,0.94537324,0.96068716,0.9334974,0.9417739
0.64620876,0.9316019,0.95793104,0.9641449,0.9452627,0.9513326
0.5879107,0.92700225,0.9458739,0.9526146,0.93514884,0.9394709
0.51414293,0.89886785,0.93221885,0.9265893,0.9233536,0.9077169
0.32587162,0.87865394,0.9033744,0.9293014,0.8777567,0.88187784
0.24655698,0.87166274,0.88770556,0.9064717,0.86761755,0.86424357
0.11524597,0.8883854,0.9042213,0.9139354,0.8874936,0.8824727
0.37047204,0.90219754,0.9254232,0.9324201,0.9058791,0.90228206
0.398922,0.87557346,0.9057153,0.9196144,0.8674645,0.8652514
0.5841405,0.93728375,0.9465063,0.95580053,0.925412,0.9316312
0.706297,0.9277827,0.9428987,0.94929063,0.9283354,0.9226957
0.56415015,0.932575,0.944231,0.95185566,0.93768084,0.93004113
0.04353711,0.80114967,0.8357591,0.83562493,0.8287868,0.80607337
0.050586484,0.79815537,0.8610577,0.7651159,0.81515986,0.7682041
0.5851183,0.9548835,0.95979184,0.9652684,0.95388424,0.95018286
0.60453266,0.91346717,0.9288535,0.91019666,0.914088,0.9166663
0.8075218,0.9524811,0.9599355,0.960778,0.95312583,0.95831496
0.39758086,0.91400194,0.9127231,0.9251377,0.8867798,0.89374566
0.4126687,0.8989319,0.9148515,0.921789,0.8951668,0.8935316
0.4795103,0.87022334,0.90568084,0.9006251,0.9025242,0.8886879
0.2879065,0.8438216,0.8997309,0.90452814,0.8957867,0.88118905
0.40566993,0.9002258,0.9156094,0.934715,0.908497,0.8808153
0.6036731,0.9476895,0.953148,0.96216846,0.947286,0.93769145
0.5661106,0.93112546,0.945009,0.9597239,0.93754756,0.94402623
0.46645424,0.92068523,0.9240968,0.95645547,0.9176127,0.92252815
0.24646333,0.92277616,0.9127671,0.94772565,0.9154899,0.92287105
0.20334406,0.896184,0.9193715,0.9351382,0.89911646,0.9120976
0.71732074,0.9416545,0.952873,0.96285737,0.9464035,0.9550118
0.7215526,0.9505778,0.9580666,0.9655556,0.9411265,0.9519149
0.69541395,0.9169956,0.9493219,0.9569364,0.9378896,0.9462374
0.5976538,0.900897,0.9194556,0.93176824,0.9196881,0.9109126
