sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.46683288,0.9073844,0.91093653,0.9344952,0.8884919,0.8860014
0.63189846,0.9014323,0.9324037,0.929825,0.90328264,0.8976671
0.3580367,0.8790155,0.92511994,0.93117964,0.89528143,0.8994519
0.3745401,0.90052205,0.9232117,0.9389755,0.8870213,0.9043278
0.62047035,0.9013054,0.9045155,0.92493504,0.9138359,0.917168
0.30582726,0.78714675,0.86698204,0.8939886,0.84088314,0.85410875
0.20111117,0.795521,0.8680515,0.8945963,0.8394006,0.85112953
0.30670354,0.9082915,0.9171712,0.9223752,0.90736824,0.8984644
0.47786853,0.87226903,0.8951923,0.86975783,0.86919826,0.87150633
0.22849825,0.8450678,0.8614746,0.8500473,0.8514753,0.83092403
0.2857904,0.886238,0.90219784,0.9284884,0.89074147,0.8896209
0.3689038,0.9171806,0.8980374,0.92358154,0.879795,0.89739746
0.4875072,0.8947927,0.9025588,0.9276726,0.89042014,0.89582634
0.5184155,0.86064273,0.8730361,0.8648711,0.8612838,0.83805865
0.42506954,0.8722587,0.9088411,0.90268296,0.9114762,0.87937075
0.29588056,0.8734374,0.88850284,0.88676655,0.77411467,0.8381859
0.29344824,0.8417357,0.8717609,0.89635617,0.7915991,0.85239774
0.3329893,0.8703236,0.8971538,0.91167825,0.8704333,0.85643053
0.27510038,0.8912755,0.9090395,0.9197032,0.88951564,0.89362764
0.45562226,0.9104246,0.9269227,0.9335992,0.88150984,0.90157855
0.44774562,0.8882843,0.9020788,0.9221356,0.8824855,0.8823548
0.48856863,0.88613904,0.8897022,0.91213083,0.87897396,0.86126286
0.1613705,0.9078987,0.9159379,0.9173783,0.8604461,0.88622046
0.316032,0.8577841,0.89480644,0.9182093,0.8491308,0.8798364
0.25381035,0.8236072,0.8566224,0.87471193,0.8597772,0.83539194
0.29257256,0.8881558,0.87987024,0.87111545,0.84743273,0.84129035
0.03110012,0.81839037,0.88310194,0.8352219,0.859875,0.8508156
0.15327638,0.7999401,0.8757451,0.83466905,0.85052764,0.83892065
