Recording	Participant	Timeline	TOI	Interval	Media	Condition	AOI	Sentence	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。	Tag11	87598	84868	Escape	1011	168	96	192	6	74011	180	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.53409	1011	168	96	192	6	74011	180	2.53409	1142	1142	1142	1142	1	74011	1142	1197	1197	1197	1197	1	73956	1197	0			0			5	73956	75153	356.32	323.13			11	風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。	Sentence	1	180	1011	1011	0	1011	1011	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		8月7日前後の立秋の頃が最も暑くなる。	Tag12	87598	84868	Escape	614	154	63	252	4	75199	165	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.43662	614	154	63	252	4	75199	165	2.43662	678	678	678	678	1	75199	678	724	724	724	724	1	75153	724	0			0			3	75153	75877	323.13	385.81			12	8月7日前後の立秋の頃が最も暑くなる。	Sentence	1	165	614	614	0	614	614	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。	Tag13	87598	84868	Escape	2149	179	149	213	12	75938	187	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.55154	2149	179	149	213	12	75938	187	2.55154	2405	802	213	1600	3	75938	1600	2536	845	227	1661	3	75877	1661	0			0			9	75877	77538	385.81	126.08			13	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。	Sentence	2	187	1937	1937	0	2149	1937	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。	Tag14	87598	84868	Escape	347	173	145	202	2	78913	202	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.52914	347	173	145	202	2	78913	202	2.52914	347	173	145	202	2	78913	202	394	197	168	226	2	78889	226	0			0			0	78889	79115	118.48	240.49			14	そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。	Sentence	1	202	347	347	0	347	347	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		また、主に7月から9月には、台風が日本に接近することがある。	Tag15	87598	84868	Escape	997	199	72	422	5	79652	166	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.45518	997	199	72	422	5	79652	166	2.45518	1073	537	422	651	2	79652	651	1136	568	445	691	2	79612	691	0			0			3	79612	80303	311.01	217.49			15	また、主に7月から9月には、台風が日本に接近することがある。	Sentence	1	166	575	575	0	997	575	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		詳しくは#台風を参照のこと。	Tag16	87598	84868	Escape	905	302	207	469	3	80343	207	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.45834	698	349	229	469	2	80785	469	2.44036	1158	1158	1158	1158	1	80343	1158	1198	1198	1198	1198	1	80303	1198	0			0			1	80303	81501	217.49	86.8			16	詳しくは#台風を参照のこと。	Sentence	1	207	905	905	1	905	5116	4211
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		梅		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					1	1	1	梅	Character		0	0	0		0	0	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		雨		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					2	1	1	雨	Character		0	0	0		0	0	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		明		87598	84868	Escape	93	93	93	93	1	834	93	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.33968	93	93	93	93	1	834	93	2.33968	93	93	93	93	1	834	93	109	109	109	109	1	819	109	0			0			0	819		45.03		3	1	1	明	Character		0	0	0		93	0	0
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		け		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					4	1	1	け	Character		0	0	0		0	0	0
