Actual,Predicted,Error,,X_std,Y_std,,X_100,Y_100
6.603,5.162674858,1.440325142,,-0.814044316,-1.355943406,,0.06603,0.051626749
3.782,7.861978252,-4.079978252,,-0.942113776,-1.098337198,,0.03782,0.078619783
4.551,8.097784484,-3.546784484,,-0.90720225,-1.075833188,,0.04551,0.080977845
5.449,12.57614235,-7.127142352,,-0.866434304,-0.64844411,,0.05449,0.125761424
5.064,7.177355886,-2.113355886,,-0.883912766,-1.163673674,,0.05064,0.071773559
4.808,19.42068286,-14.61268286,,-0.895534809,0.00476002,,0.04808,0.194206829
35.192,15.3822361,19.8097639,,0.483856347,-0.380646437,,0.35192,0.153822361
60.449,60.34905883,0.099941173,,1.630488865,3.910732114,,0.60449,0.603490588
72.885,52.11786243,20.76713757,,2.195065893,3.12519341,,0.72885,0.521178624
14.808,43.97538771,-29.16738771,,-0.441548778,2.348121799,,0.14808,0.439753877
61.731,36.88239096,24.84860904,,1.688689875,1.671206414,,0.61731,0.36882391
53.782,49.76954485,4.012455149,,1.327816379,2.901083298,,0.53782,0.497695449
15.064,35.79539198,-20.73139198,,-0.429926736,1.567469396,,0.15064,0.35795392
13.013,24.25224518,-11.23924518,,-0.523039271,0.465856927,,0.13013,0.242522452
10.833,13.45839148,-2.625391475,,-0.622008225,-0.564247257,,0.10833,0.134583915
12.885,10.69746137,2.187538626,,-0.528850292,-0.827734769,,0.12885,0.106974614
12.372,14.28975579,-1.917755791,,-0.552139775,-0.484906562,,0.12372,0.142897558
10.962,26.59535951,-15.63335951,,-0.616151805,0.689470471,,0.10962,0.265953595
11.346,11.2463055,0.099694501,,-0.598718742,-0.775356198,,0.11346,0.112463055
11.859,13.23681325,-1.377813253,,-0.575429258,-0.585393426,,0.11859,0.132368133
14.423,14.32312805,0.099871948,,-0.45902724,-0.481721702,,0.14423,0.143231281
30.192,24.31142048,5.880579517,,0.256863332,0.471504283,,0.30192,0.243114205
9.808,18.54451824,-8.736518235,,-0.668541793,-0.078856163,,0.09808,0.185445182
10.705,12.03934025,-1.33434025,,-0.627819246,-0.699673459,,0.10705,0.120393403
9.936,8.470759021,1.465240979,,-0.662730772,-1.040238614,,0.09936,0.08470759
3.397,11.41049306,-8.013493061,,-0.959592238,-0.759687068,,0.03397,0.114104931
54.423,48.33989034,6.083109662,,1.356916883,2.764645179,,0.54423,0.483398903
11.474,16.74280897,-5.268808966,,-0.592907721,-0.250801078,,0.11474,0.16742809
5.833,9.003676447,-3.170676447,,-0.849001241,-0.989379997,,0.05833,0.090036764
6.603,6.702896545,-0.099896545,,-0.814044316,-1.208953383,,0.06603,0.067028965
3.91,11.79331961,-7.883319607,,-0.936302754,-0.723152274,,0.0391,0.117933196
5.192,21.80891965,-16.61691965,,-0.878101745,0.232679796,,0.05192,0.218089197
5.962,8.836175598,-2.874175598,,-0.843144821,-1.005365328,,0.05962,0.088361756
8.526,8.195046979,0.330953021,,-0.726742803,-1.066551007,,0.08526,0.08195047
9.038,9.144126962,-0.106126962,,-0.703498718,-0.975976196,,0.09038,0.09144127
34.679,8.542619707,26.13638029,,0.460566864,-1.033380637,,0.34679,0.085426197
7.5,7.585003101,-0.085003101,,-0.773321769,-1.124770135,,0.075,0.075850031
9.936,31.00861254,-21.07261254,,-0.662730772,1.110646313,,0.09936,0.310086125
7.5,7.583684533,-0.083684533,,-0.773321769,-1.124895972,,0.075,0.075836845
9.679,12.96373532,-3.284735315,,-0.674398213,-0.611454436,,0.09679,0.129637353
10.064,7.463519653,2.600480347,,-0.656919751,-1.136363827,,0.10064,0.074635197
10.064,14.67972499,-4.615724991,,-0.656919751,-0.447690113,,0.10064,0.14679725
33.782,48.95625856,-15.17425856,,0.419844317,2.823467866,,0.33782,0.489562586
17.244,13.97921283,3.264787173,,-0.330957781,-0.514543021,,0.17244,0.139792128
34.295,34.3946727,-0.099672699,,0.4431338,1.433792691,,0.34295,0.343946727
16.859,12.64627286,4.212727143,,-0.348436243,-0.641751253,,0.16859,0.126462729
13.654,13.55408296,0.099917045,,-0.493938766,-0.555115005,,0.13654,0.13554083
8.269,17.89104525,-9.622045249,,-0.738410244,-0.141219919,,0.08269,0.178910453
9.038,9.400931717,-0.362931717,,-0.703498718,-0.951468207,,0.09038,0.094009317
7.885,13.00507038,-5.120070384,,-0.755843307,-0.607509651,,0.07885,0.130050704
18.91,10.32573118,8.584268818,,-0.255323708,-0.86321059,,0.1891,0.103257312
6.474,8.466694554,-1.992694554,,-0.819900736,-1.040626503,,0.06474,0.084666946
26.731,11.75089299,14.98010701,,0.099738767,-0.727201229,,0.26731,0.11750893
6.987,7.087236657,-0.100236657,,-0.796611253,-1.172274142,,0.06987,0.070872367
58.141,26.77428389,31.36671611,,1.52570889,0.706546,,0.58141,0.267742839
70.705,14.40989663,56.29510337,,2.096096939,-0.473441001,,0.70705,0.144098966
9.808,14.72612886,-4.918128859,,-0.668541793,-0.443261591,,0.09808,0.147261289
21.218,13.2277313,7.990268697,,-0.150543732,-0.586260156,,0.21218,0.132277313
20.192,9.988873871,10.20312613,,-0.197122699,-0.895358342,,0.20192,0.099888739
8.91,9.303518019,-0.393518019,,-0.709309739,-0.960764817,,0.0891,0.09303518
7.885,8.300472528,-0.415472528,,-0.755843307,-1.056489791,,0.07885,0.083004725
8.013,5.543992848,2.469007152,,-0.750032286,-1.319552579,,0.08013,0.055439928
39.551,6.952045705,32.5989543,,0.681748858,-1.185176,,0.39551,0.069520457
26.987,15.09712262,11.88987738,,0.111360809,-0.40785605,,0.26987,0.150971226
10.705,7.754817579,2.950182421,,-0.627819246,-1.108564005,,0.10705,0.077548176
11.346,10.91263491,0.433365091,,-0.598718742,-0.807199827,,0.11346,0.109126349
64.038,13.05347224,50.98452776,,1.793424452,-0.602890453,,0.64038,0.130534722
90.833,48.38726643,42.44573357,,3.009880022,2.769166484,,0.90833,0.483872664
72.244,33.80314322,38.44085678,,2.165965389,1.377340473,,0.72244,0.338031432
9.423,8.953918471,0.469081529,,-0.686020256,-0.994128616,,0.09423,0.089539185
19.808,6.978513857,12.82948614,,-0.214555763,-1.182650029,,0.19808,0.069785139
10.705,8.982201217,1.722798783,,-0.627819246,-0.991429471,,0.10705,0.089822012
10.705,10.44896891,0.256031095,,-0.627819246,-0.851449481,,0.10705,0.104489689
20.833,7.611434303,13.2215657,,-0.168022194,-1.122247691,,0.20833,0.076114343
2.885,17.42499832,-14.53999832,,-0.982836323,-0.185696795,,0.02885,0.174249983
5.064,20.79476522,-15.73076522,,-0.883912766,0.135894648,,0.05064,0.207947652
5.962,16.41673257,-10.45473257,,-0.843144821,-0.28191996,,0.05962,0.164167326
6.731,16.89248529,-10.16148529,,-0.808233295,-0.236516819,,0.06731,0.168924853
85.962,43.29460798,42.66739202,,2.788743426,2.283152043,,0.85962,0.43294608
50,16.80789499,33.19210501,,1.156118862,-0.244589637,,0.5,0.16807895
17.115,16.64731792,0.46768208,,-0.336814201,-0.259914202,,0.17115,0.166473179
13.141,16.45978779,-3.318787791,,-0.517228249,-0.277811014,,0.13141,0.164597878
