Actual,Predicted,Error
8.782,9.044733012259183,-0.2627330122591829
56.09,20.595909738338836,35.49409026166117
9.808,9.985467434509054,-0.17746743450905456
9.679,16.894960192822758,-7.215960192822758
7.756,18.91921653355508,-11.16321653355508
3.654,13.857321624344287,-10.203321624344287
2.5,15.462053048211931,-12.962053048211931
4.679,11.309377894409003,-6.630377894409003
20.321,9.07878963043903,11.242210369560972
5.064,13.115216265840957,-8.051216265840957
5.192,11.213076508583747,-6.0210765085837465
3.397,10.874953295027453,-7.4779532950274525
6.474,12.341795996761299,-5.8677959967612985
6.218,12.608115894038566,-6.390115894038566
26.218,25.218175119488354,0.9998248805116461
26.731,10.400149593311074,16.330850406688928
61.346,41.35142851499475,19.994571485005245
62.372,25.939497026119227,36.43250297388077
46.731,9.022612500975967,37.708387499024035
6.218,6.0398935710884665,0.1781064289115335
25.962,9.726502082566508,16.23549791743349
4.551,9.680800745476251,-5.129800745476251
6.859,11.296224279104987,-4.437224279104987
7.628,9.663021509501533,-2.035021509501533
20.064,8.064700944034954,11.999299055965047
64.679,7.942093381676578,56.736906618323424
7.756,6.5824350566617404,1.1735649433382598
4.808,7.80870141713525,-3.00070141713525
36.474,8.69319371440056,27.780806285599436
0.962,5.955217629397385,-4.993217629397385
9.038,7.21872874906526,1.8192712509347402
39.936,9.55660941436723,30.37939058563277
54.423,7.292053846482432,47.13094615351757
2.115,7.505508081764599,-5.390508081764599
7.628,14.037925234062559,-6.409925234062559
22.115,19.2969137186737,2.8180862813262983
6.987,6.910136456777234,0.07686354322276578
32.885,22.270069494631713,10.614930505368285
7.628,8.627772361888574,-0.9997723618885743
71.09,53.027565430765506,18.062434569234497
50.0,17.226520040336148,32.77347995966385
61.09,60.090194918918314,0.9998050810816892
24.295,24.965160688547584,-0.6701606885475826
2.885,11.318010739427208,-8.433010739427209
34.551,25.88411667168489,8.666883328315112
8.013,13.155748645850423,-5.142748645850423
65.449,49.49770101500654,15.951298984993457
4.551,11.040404568565343,-6.489404568565343
50.0,32.6004908029799,17.3995091970201
24.423,14.478075854054744,9.944924145945254
24.423,15.550862202753951,8.872137797246047
2.885,8.182826025169614,-5.2978260251696145
1.859,9.190393074886675,-7.331393074886675
2.5,8.36735400351603,-5.867354003516031
3.013,8.162225215212096,-5.1492252152120965
45.192,30.288500534105868,14.903499465894132
1.987,7.3794851264388335,-5.392485126438833
1.859,6.239569440138329,-4.380569440138329
4.679,10.40527462067655,-5.72627462067655
5.321,22.809127638876227,-17.48812763887623
5.577,9.652725592006139,-4.075725592006139
4.167,8.8971487032603,-4.7301487032603
11.603,7.261634466861977,4.341365533138022
6.346,11.089952566550938,-4.743952566550938
6.603,5.602819689935927,1.0001803100640725
3.782,8.701752441019252,-4.919752441019252
4.551,8.21166344845901,-3.66066344845901
5.449,11.595203317678184,-6.146203317678184
5.064,7.221741395254156,-2.157741395254156
4.808,15.862116046131039,-11.054116046131039
35.192,16.02456790291692,19.16743209708308
60.449,56.214364485261214,4.234635514738784
72.885,45.79632199656817,27.088678003431838
14.808,39.51265450373043,-24.70465450373043
61.731,32.35492787652411,29.376072123475893
53.782,51.50080593273351,2.281194067266483
15.064,37.6762859239459,-22.612285923945898
13.013,23.72484714181664,-10.711847141816639
10.833,12.359192542034588,-1.5261925420345879
12.885,10.59833160170037,2.2866683982996303
12.372,14.933420668030234,-2.561420668030234
10.962,25.331714006314726,-14.369714006314727
11.346,12.346000751054174,-1.0000007510541735
11.859,13.487834018701797,-1.628834018701797
14.423,14.847823136555252,-0.4248231365552524
30.192,22.847561362181644,7.344438637818357
9.808,17.866616830905507,-8.058616830905507
10.705,12.86214631575102,-2.157146315751019
9.936,8.597755702833854,1.3382442971661455
3.397,9.857500228046831,-6.460500228046831
54.423,39.50446791111406,14.91853208888594
11.474,17.614183854784052,-6.140183854784052
5.833,10.007003282070716,-4.174003282070716
6.603,6.469567756234682,0.13343224376531815
3.91,12.333766842793136,-8.423766842793135
5.192,23.00162957906999,-17.80962957906999
5.962,10.157977151948067,-4.1959771519480675
8.526,7.910443056614589,0.6155569433854104
9.038,12.115265281917992,-3.0772652819179918
34.679,8.972753182643878,25.706246817356124
7.5,8.920340998981715,-1.4203409989817146
9.936,32.01934783736548,-22.08334783736548
7.5,8.28354915761226,-0.78354915761226
9.679,14.439343452252828,-4.760343452252828
10.064,9.064193842189013,0.9998061578109869
10.064,16.686828944727488,-6.6228289447274875
33.782,45.11379965490035,-11.331799654900351
17.244,14.028614698264466,3.215385301735534
34.295,35.29536447889024,-1.0003644788902406
16.859,12.576586598636293,4.2824134013637085
13.654,12.654252226587282,0.999747773412718
8.269,17.435194365396242,-9.166194365396242
9.038,9.27014919587878,-0.23214919587877958
7.885,13.086164173146138,-5.201164173146138
18.91,10.505775830866494,8.404224169133506
6.474,9.799573756573984,-3.3255737565739842
26.731,11.351687683211345,15.379312316788656
6.987,7.986883598155899,-0.9998835981558987
58.141,24.917048572567744,33.223951427432254
70.705,14.05511208897116,56.64988791102884
9.808,13.847950840702563,-4.039950840702563
21.218,12.408679211242323,8.809320788757677
20.192,9.707813093703443,10.484186906296557
8.91,9.909829546100358,-0.9998295461003579
7.885,8.404743097588899,-0.5197430975888988
8.013,6.43466851565913,1.57833148434087
39.551,7.688941462552577,31.862058537447425
26.987,13.355684470241208,13.63131552975879
10.705,8.25458516987867,2.45041483012133
11.346,10.075621846011547,1.270378153988453
64.038,14.715379866999609,49.322620133000385
90.833,42.23412250116476,48.598877498835236
72.244,33.09705132720334,39.14694867279666
9.423,8.909285103873966,0.513714896126034
19.808,7.5190397048295665,12.288960295170433
10.705,9.704777783160758,1.0002222168392425
