Actual,Predicted,Error
-0.71512076,-0.2983694849034979,-0.4167512750965021
1.432596355,0.053100922383753496,1.3794954326162465
-0.668541793,-0.2718073325677137,-0.39673446043228633
-0.674398213,-0.3347407290937747,-0.3396574839062253
-0.761699727,-0.07728636439785544,-0.6844133626021446
-0.947924797,-0.3570666065359225,-0.5908581904640775
-1.000314785,0.3829980233083585,-1.3833128083083586
-0.901391229,-0.32801656457667683,-0.5733746644233232
-0.191266279,-0.1462771186219727,-0.044989160378027304
-0.883912766,-0.4204809857851277,-0.4634317802148723
-0.878101745,-0.3784376741558857,-0.49966407084411435
-0.959592238,-0.28350313535928473,-0.6760891026407153
-0.819900736,0.1656946968879329,-0.9855954328879329
-0.831522778,-0.19029473349366868,-0.6412280445063313
0.076449283,0.0857988733475796,-0.009349590347579595
0.099738767,-0.20083311247929594,0.300571879479296
1.671211412,1.171418983958684,0.49979242804131596
1.717790379,-0.2648619827241241,1.982652361724124
1.007710828,-0.5028356514553731,1.5105464794553731
-0.831522778,-0.38443065230900464,-0.4470921256909953
0.064827241,-0.29120087865231925,0.35602811965231923
-0.90720225,-0.40717897170650064,-0.5000232782934994
-0.802422274,-0.3708452072793449,-0.4315770667206551
-0.767510748,-0.3803041500648652,-0.3872065979351348
-0.20293372,-0.3653493092436251,0.16241558924362506
1.822524957,-0.19535665444737174,2.017881611447372
-0.761699727,-0.2839266914134848,-0.4777730355865152
-0.895534809,-0.34734761749615206,-0.548187191503848
0.542057356,-0.333093754858389,0.875151110858389
-1.070137836,-0.5701766386338251,-0.49996119736617495
-0.703498718,-0.3813092701315597,-0.3221894478684403
0.69922732,-0.025396141208332806,0.7246234612083328
1.356916883,-0.2810153337540595,1.6379322167540595
-1.017793247,-0.3060986024287189,-0.7116946445712811
-0.767510748,-0.07934183596800273,-0.6881689120319973
-0.109821185,-0.2275768198547339,0.1177556348547339
-0.796611253,-0.29635440809610936,-0.5002568449038907
0.37912177,0.03595222583539656,0.34316954416460344
-0.767510748,0.19569583545516564,-0.9632065834551656
2.113575401,-0.31427816184671276,2.4278535628467126
1.156118862,-0.3086287853244287,1.4647476473244287
1.65958937,0.2741925400092131,1.3853968299907868
-0.010852231,0.0050965408577345606,-0.01594877185773456
-0.982836323,-0.2982807276567656,-0.6845555953432344
0.454755843,-0.005053074609004532,0.45980891760900455
-0.750032286,-0.014738093214135467,-0.7352941927858646
1.857481881,0.5482021685953713,1.3092797124046287
-0.90720225,-0.37515216941092566,-0.5320500805890743
1.156118862,0.2892078943785923,0.8669109676214077
-0.005041209,-0.29646816877673343,0.29142695977673344
-0.005041209,-0.42578380112580627,0.4207425921258063
-0.982836323,-0.4273096044299809,-0.5555267185700191
-1.029415289,-0.5290688284842447,-0.5003464605157552
-1.000314785,-0.42114760287048125,-0.5791671821295188
-0.977025301,-0.5287906136441812,-0.44823468735581873
0.937842378,-0.3767198497881066,1.3145622277881066
-1.023604268,-0.5239152450921349,-0.499689022907865
-1.029415289,-0.7624055450152585,-0.2670097439847414
-0.901391229,-0.40136035667769043,-0.5000308723223096
-0.872245325,-0.3094527505015856,-0.5627925744984144
-0.860623283,-0.26967906212851567,-0.5909442208714843
-0.924635313,-0.23211802506054638,-0.6925172879394537
-0.587051301,-0.08709092422591805,-0.499960376774082
-0.825711757,-0.12903105228743608,-0.6966807047125639
-0.814044316,-0.48948771061431184,-0.3245566053856882
-0.942113776,-0.4420805599162809,-0.5000332160837191
-0.90720225,-0.40302494759727825,-0.5041773024027217
-0.866434304,-0.5393834778334696,-0.32705082616653036
-0.883912766,-0.1054298561680467,-0.7784829098319533
-0.895534809,0.036373832783254095,-0.9319086417832542
0.483856347,0.3452452698274948,0.1386110771725052
