Actual,Predicted,Error
8.782,14.254055749261475,-5.472055749261475
56.09,20.844122562139518,35.245877437860486
9.808,13.129975507116821,-3.3219755071168215
9.679,19.679284023944177,-10.000284023944177
7.756,20.605334719725413,-12.849334719725412
3.654,14.077992280675748,-10.423992280675748
2.5,18.47453316210637,-15.974533162106368
4.679,13.633627081149886,-8.954627081149885
20.321,17.542716119984796,2.7782838800152057
5.064,14.649336251143112,-9.585336251143111
5.192,14.660160796690771,-9.468160796690771
3.397,15.020695704770677,-11.623695704770677
6.474,17.14576225148549,-10.67176225148549
6.218,15.667043402791649,-9.449043402791649
26.218,29.102651420305556,-2.8846514203055555
26.731,15.307994236197853,11.423005763802148
61.346,50.17267178838708,11.173328211612919
62.372,35.80789710233196,26.564102897668043
46.731,16.24967141752016,30.48132858247984
6.218,12.09703659134157,-5.8790365913415705
25.962,14.396674141695488,11.565325858304512
4.551,13.157131519051692,-8.606131519051692
6.859,15.79352931665354,-8.93452931665354
7.628,13.963585207403145,-6.335585207403145
20.064,12.670350385107898,7.393649614892102
64.679,15.183523824055793,49.495476175944205
7.756,17.75599106665335,-9.999991066653351
4.808,12.956660853228946,-8.148660853228947
36.474,13.759373976415475,22.714626023584522
0.962,12.229213819790012,-11.267213819790012
9.038,12.69019671862674,-3.6521967186267403
39.936,14.315166155019647,25.620833844980353
54.423,13.275937766578533,41.147062233421465
2.115,13.34579193232182,-11.23079193232182
7.628,17.90101820781627,-10.273018207816271
22.115,18.952231382889707,3.1627686171102916
6.987,12.932762370998272,-5.945762370998272
32.885,23.409015242415308,9.47598475758469
7.628,15.807545085591492,-8.179545085591492
71.09,49.908901542834556,21.181098457165447
50.0,24.927535056629047,25.072464943370953
61.09,51.08970613271242,10.000293867287581
24.295,23.319625682918335,0.9753743170816662
2.885,16.966954352125047,-14.081954352125047
34.551,21.461761098356675,13.089238901643327
8.013,20.80038383568342,-12.78738383568342
65.449,46.627047375176495,18.821952624823503
4.551,15.871187748310302,-11.320187748310302
50.0,26.480096056869698,23.519903943130302
24.423,24.018069096774468,0.40493090322553016
24.423,33.19045445982838,-8.767454459828382
2.885,10.983832831500543,-8.098832831500543
1.859,14.996576214463865,-13.137576214463865
2.5,12.516385409721785,-10.016385409721785
3.013,12.661034961940256,-9.648034961940256
45.192,35.191723157096874,10.000276842903126
1.987,10.987808819514989,-9.000808819514988
1.859,11.858807294264054,-9.999807294264054
4.679,16.027330917887184,-11.348330917887184
5.321,28.18446568382904,-22.86346568382904
5.577,14.253092322374652,-8.676092322374652
4.167,14.16683369238666,-9.99983369238666
11.603,12.75620391218639,-1.15320391218639
6.346,16.69611318944854,-10.350113189448539
6.603,11.659556784587505,-5.056556784587505
3.782,13.207382805834435,-9.425382805834435
4.551,12.028028067113052,-7.477028067113052
5.449,15.350311810733714,-9.901311810733715
5.064,13.355444132047449,-8.291444132047449
4.808,18.519327329667696,-13.711327329667697
35.192,25.192244740854278,9.999755259145722
60.449,50.449260062988714,9.999739937011284
72.885,48.46969268134765,24.415307318652353
14.808,37.680415925194076,-22.872415925194076
61.731,40.61566284559197,21.11533715440803
53.782,43.781976776617356,10.000023223382641
15.064,42.91241874032749,-27.84841874032749
13.013,22.74820729471778,-9.73520729471778
10.833,20.832841022111353,-9.999841022111353
12.885,16.927791553744157,-4.042791553744157
12.372,18.60129186331659,-6.22929186331659
10.962,27.188082101178505,-16.226082101178505
11.346,19.929619039175734,-8.583619039175733
11.859,16.92369474818845,-5.064694748188449
14.423,20.585251607117453,-6.162251607117453
30.192,22.85281621602137,7.33918378397863
9.808,19.8076495451544,-9.999649545154401
10.705,22.455307337253608,-11.750307337253608
9.936,13.70178419422091,-3.7657841942209096
3.397,15.780734791745601,-12.383734791745601
54.423,36.729988139158706,17.693011860841295
11.474,32.73385084534239,-21.25985084534239
5.833,27.13754177761551,-21.304541777615512
6.603,13.186305161295657,-6.583305161295657
3.91,23.88142697062248,-19.97142697062248
5.192,20.775272891712483,-15.583272891712483
5.962,13.74606535147587,-7.784065351475871
8.526,13.373475789294243,-4.8474757892942435
9.038,14.419180731107001,-5.381180731107001
34.679,14.601031716873024,20.077968283126978
7.5,17.50028748283578,-10.00028748283578
9.936,41.643521201475686,-31.707521201475686
7.5,14.008669519011505,-6.508669519011505
9.679,28.29722195536396,-18.618221955363957
10.064,17.388487909208674,-7.324487909208674
