gb,"{'Interest': 0.017674418604651177, ""readers'_vocabulary"": 0.0, 'Average_duration_of_fixations': 0.0, 'Minimum_duration_of_fixations': 0.0, 'Maximum_duration_of_fixations': 0.0, 'Duration_of_first_fixation': 0.0009302325581395543, 'Average_pupil_diameter': 0.0, 'Average_duration_of_Visit_per_characters': 0.0, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': 0.007906976744186056, 'Number_of_Visits': 0.0018604651162791087, 'Number_of_Visits_per_characters': 0.0, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'Time_to_exit_saccade': 0.0, 'Peak_velocity_of_entry_saccade': 0.0, 'Peak_velocity_of_exit_saccade': 0.0013953488372093314, 'First-pass_first_fixation_duration_per_characters': 0.0, 'First-pass_duration': 0.0, 'First-pass_duration_per_characters': 0.0, 'Selective_regression-path_duration': 0.0, 'Regression-path_duration': 0.0, 'Re-reading_duration_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun': 0.0, 'Percentage_of_katakana_noun_numerator': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_kanzi': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_high_difficulty_kanzi_words': 0.0, 'Number_of_high_difficulty_kanzi_words': 0.0, 'Percentage_of_low_difficulty_kanzis': 0.0, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.0, 'Number_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_Chinese_words_noun': 0.0, 'Average_length_of_compund_nouns': 0.0, 'Number_of_characters_of_adnominal_modification': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Percentage_of_frequent_words': 0.00046511627906977717, 'Cossim_model6': 0.0, 'Norm_model6': 0.0009302325581395543, 'Avecossim_model6': 0.0}",2025-01-23_21-36-26
svm,"{'Interest': 0.026046511627906988, ""readers'_vocabulary"": 0.005116279069767438, 'Average_duration_of_fixations': 0.00046511627906977717, 'Minimum_duration_of_fixations': 0.0018604651162791087, 'Maximum_duration_of_fixations': 0.0, 'Duration_of_first_fixation': 0.006046511627906992, 'Average_pupil_diameter': 0.0023255813953488636, 'Average_duration_of_Visit_per_characters': 0.0023255813953488857, 'Minimum_duration_of_Visit': 0.0037209302325581506, 'Maximum_duration_of_Visit': 0.00046511627906977717, 'Number_of_Visits': 0.007906976744186056, 'Number_of_Visits_per_characters': 0.0027906976744186407, 'Number_of_saccades_in_AOI': 0.0023255813953488636, 'Time_to_entry_saccade': 0.0013953488372093314, 'Time_to_exit_saccade': 0.0013953488372093314, 'Peak_velocity_of_entry_saccade': 0.0013953488372093314, 'Peak_velocity_of_exit_saccade': 0.0018604651162791087, 'First-pass_first_fixation_duration_per_characters': 0.0, 'First-pass_duration': 0.0009302325581395543, 'First-pass_duration_per_characters': 0.0, 'Selective_regression-path_duration': 0.0027906976744186186, 'Regression-path_duration': 0.0, 'Re-reading_duration_per_characters': 0.00046511627906977717, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0027906976744186407, 'Percentage_of_katakana_noun': 0.006046511627906992, 'Percentage_of_katakana_noun_numerator': 0.00046511627906977717, 'Number_of_easy_words': 0.012093023255813939, 'Percentage_of_easy_words': 0.004186046511627928, 'Percentage_of_kanzi': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0009302325581395543, 'Number_of_low_difficulty_kanzi_words': 0.007441860465116301, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906977717, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_high_difficulty_kanzi_words': 0.0027906976744186186, 'Number_of_high_difficulty_kanzi_words': 0.006511627906976747, 'Percentage_of_low_difficulty_kanzis': 0.0009302325581395543, 'Percentage_of_extra_difficulty_kanzis': 0.0027906976744186407, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.0023255813953488857, 'Number_of_regular_difficulty_kanzis': 0.0013953488372093093, 'Percentage_of_Chinese_words_verb': 0.0023255813953488857, 'Percentage_of_Chinese_words_noun': 0.0013953488372093314, 'Average_length_of_compund_nouns': 0.0037209302325581727, 'Number_of_characters_of_adnominal_modification': 0.008372093023255811, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0032558139534883956, 'Number_of_adnominal_modification_out_of_total_nouns': 0.004651162790697705, 'Percentage_of_frequent_words': 0.0023255813953488636, 'Cossim_model6': 0.0027906976744186407, 'Norm_model6': 0.0013953488372093093, 'Avecossim_model6': 0.0027906976744186407}",2025-01-23_21-36-26
knn,"{'Interest': 2.2204460492503132e-17, ""readers'_vocabulary"": 0.0023255813953488636, 'Average_duration_of_fixations': -0.0013953488372092648, 'Minimum_duration_of_fixations': -0.0009302325581395099, 'Maximum_duration_of_fixations': -0.0046511627906976605, 'Duration_of_first_fixation': 0.0013953488372093093, 'Average_pupil_diameter': 0.0023255813953488636, 'Average_duration_of_Visit_per_characters': 2.2204460492503132e-17, 'Minimum_duration_of_Visit': 0.005581395348837215, 'Maximum_duration_of_Visit': 0.004651162790697683, 'Number_of_Visits': 0.00046511627906979934, 'Number_of_Visits_per_characters': 0.0009302325581395543, 'Number_of_saccades_in_AOI': -0.003255813953488329, 'Time_to_entry_saccade': -0.003255813953488329, 'Time_to_exit_saccade': -0.002790697674418552, 'Peak_velocity_of_entry_saccade': -0.003255813953488329, 'Peak_velocity_of_exit_saccade': 2.2204460492503132e-17, 'First-pass_first_fixation_duration_per_characters': 0.00046511627906979934, 'First-pass_duration': 0.005116279069767438, 'First-pass_duration_per_characters': 0.004186046511627928, 'Selective_regression-path_duration': 0.0013953488372093314, 'Regression-path_duration': -0.0013953488372092648, 'Re-reading_duration_per_characters': -0.007906976744186011, 'Number_of_regression': 0.0027906976744186186, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun': 0.0018604651162790864, 'Percentage_of_katakana_noun_numerator': 0.0013953488372093093, 'Number_of_easy_words': 0.00046511627906979934, 'Percentage_of_easy_words': 0.0041860465116279055, 'Percentage_of_kanzi': 0.0023255813953488415, 'Percentage_of_low_difficulty_kanzi_words': -0.002790697674418574, 'Number_of_low_difficulty_kanzi_words': -0.002325581395348797, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Number_of_regular_difficulty_kanzi_words': 0.0018604651162790864, 'Percentage_of_high_difficulty_kanzi_words': -0.002325581395348819, 'Number_of_high_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_low_difficulty_kanzis': -0.004186046511627883, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzis': -0.0018604651162790198, 'Number_of_regular_difficulty_kanzis': 0.00046511627906977717, 'Percentage_of_Chinese_words_verb': 0.0013953488372093537, 'Percentage_of_Chinese_words_noun': -0.002790697674418574, 'Average_length_of_compund_nouns': 0.006046511627906992, 'Number_of_characters_of_adnominal_modification': -0.00046511627906971055, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.00046511627906975495, 'Number_of_adnominal_modification_out_of_total_nouns': -0.0004651162790697327, 'Percentage_of_frequent_words': -0.0004651162790697327, 'Cossim_model6': 0.0013953488372093093, 'Norm_model6': 4.4408920985006264e-17, 'Avecossim_model6': 0.0009302325581395543}",2025-01-23_21-36-26
mlp,"{'Interest': 0.060930232558139605, ""readers'_vocabulary"": 0.04232558139534888, 'Average_duration_of_fixations': 0.004651162790697749, 'Minimum_duration_of_fixations': 0.00930232558139541, 'Maximum_duration_of_fixations': 0.012558139534883783, 'Duration_of_first_fixation': 0.019534883720930284, 'Average_pupil_diameter': 0.02000000000000004, 'Average_duration_of_Visit_per_characters': 0.009302325581395387, 'Minimum_duration_of_Visit': 0.015813953488372133, 'Maximum_duration_of_Visit': 0.038139534883720995, 'Number_of_Visits': 0.05116279069767449, 'Number_of_Visits_per_characters': 0.01906976744186053, 'Number_of_saccades_in_AOI': 0.011162790697674474, 'Time_to_entry_saccade': 0.012558139534883783, 'Time_to_exit_saccade': 0.019069767441860508, 'Peak_velocity_of_entry_saccade': 0.019534883720930308, 'Peak_velocity_of_exit_saccade': 0.03116279069767445, 'First-pass_first_fixation_duration_per_characters': 0.010697674418604697, 'First-pass_duration': 0.01395348837209307, 'First-pass_duration_per_characters': 0.018139534883720977, 'Selective_regression-path_duration': 0.01906976744186053, 'Regression-path_duration': 0.01302325581395356, 'Re-reading_duration_per_characters': 0.006976744186046546, 'Number_of_regression': 0.013953488372093047, 'Percentage_of_katakana_verb_numerator': 0.002790697674418663, 'Percentage_of_katakana_noun': 0.018139534883720998, 'Percentage_of_katakana_noun_numerator': 0.01162790697674423, 'Number_of_easy_words': 0.04465116279069772, 'Percentage_of_easy_words': 0.03302325581395353, 'Percentage_of_kanzi': 0.011162790697674474, 'Percentage_of_low_difficulty_kanzi_words': 0.016279069767441912, 'Number_of_low_difficulty_kanzi_words': 0.016744186046511688, 'Percentage_of_extra_difficulty_kanzi_words': 0.006046511627907014, 'Number_of_extra_difficulty_kanzi_words': 0.0013953488372093093, 'Percentage_of_regular_difficulty_kanzi_words': 0.010697674418604697, 'Number_of_regular_difficulty_kanzi_words': 0.00930232558139541, 'Percentage_of_high_difficulty_kanzi_words': 0.032558139534883755, 'Number_of_high_difficulty_kanzi_words': 0.015813953488372112, 'Percentage_of_low_difficulty_kanzis': 0.02744186046511634, 'Percentage_of_extra_difficulty_kanzis': 0.005581395348837281, 'Number_of_extra_difficulty_kanzis': 0.002790697674418663, 'Percentage_of_regular_difficulty_kanzis': 0.006511627906976814, 'Number_of_regular_difficulty_kanzis': 0.012093023255814028, 'Percentage_of_Chinese_words_verb': 0.018604651162790753, 'Percentage_of_Chinese_words_noun': 0.018139534883720977, 'Average_length_of_compund_nouns': 0.007441860465116324, 'Number_of_characters_of_adnominal_modification': 0.018604651162790753, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.014418604651162847, 'Number_of_adnominal_modification_out_of_total_nouns': 0.039069767441860526, 'Percentage_of_frequent_words': 0.01302325581395356, 'Cossim_model6': 0.01906976744186053, 'Norm_model6': 0.020930232558139618, 'Avecossim_model6': 0.017674418604651198}",2025-01-23_21-36-26
nb,"{'Interest': 0.0013953488372092982, ""readers'_vocabulary"": -0.0032558139534883622, 'Average_duration_of_fixations': -0.00046511627906976606, 'Minimum_duration_of_fixations': 0.0009302325581395321, 'Maximum_duration_of_fixations': -0.0018604651162790642, 'Duration_of_first_fixation': 0.0018604651162790642, 'Average_pupil_diameter': 0.0009302325581395321, 'Average_duration_of_Visit_per_characters': 0.0009302325581395321, 'Minimum_duration_of_Visit': 0.0009302325581395321, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits': 0.0032558139534883622, 'Number_of_Visits_per_characters': 0.0018604651162790642, 'Number_of_saccades_in_AOI': 0.0013953488372092982, 'Time_to_entry_saccade': 0.0009302325581395321, 'Time_to_exit_saccade': 0.00046511627906976606, 'Peak_velocity_of_entry_saccade': 0.0018604651162790642, 'Peak_velocity_of_exit_saccade': -0.00046511627906976606, 'First-pass_first_fixation_duration_per_characters': 0.0037209302325581285, 'First-pass_duration': 0.0027906976744185965, 'First-pass_duration_per_characters': 0.0027906976744185965, 'Selective_regression-path_duration': 0.0027906976744185965, 'Regression-path_duration': 0.0018604651162790642, 'Re-reading_duration_per_characters': 0.0009302325581395321, 'Number_of_regression': 0.0032558139534883622, 'Percentage_of_katakana_verb_numerator': 0.0009302325581395321, 'Percentage_of_katakana_noun': -0.0046511627906976605, 'Percentage_of_katakana_noun_numerator': -0.0023255813953488302, 'Number_of_easy_words': 0.00046511627906976606, 'Percentage_of_easy_words': -0.0023255813953488302, 'Percentage_of_kanzi': 0.0009302325581395321, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': -0.012093023255813939, 'Number_of_extra_difficulty_kanzi_words': -0.014418604651162802, 'Percentage_of_regular_difficulty_kanzi_words': 0.004186046511627894, 'Number_of_regular_difficulty_kanzi_words': 0.0037209302325581285, 'Percentage_of_high_difficulty_kanzi_words': -0.0013953488372092982, 'Number_of_high_difficulty_kanzi_words': -0.00046511627906976606, 'Percentage_of_low_difficulty_kanzis': -0.00046511627906976606, 'Percentage_of_extra_difficulty_kanzis': -0.02930232558139534, 'Number_of_extra_difficulty_kanzis': -0.03441860465116279, 'Percentage_of_regular_difficulty_kanzis': 0.00046511627906976606, 'Number_of_regular_difficulty_kanzis': 0.0023255813953488302, 'Percentage_of_Chinese_words_verb': -0.0009302325581395321, 'Percentage_of_Chinese_words_noun': 0.00046511627906976606, 'Average_length_of_compund_nouns': -0.0009302325581395321, 'Number_of_characters_of_adnominal_modification': -0.00046511627906976606, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0032558139534883622, 'Number_of_adnominal_modification_out_of_total_nouns': -0.0023255813953488302, 'Percentage_of_frequent_words': -0.0023255813953488302, 'Cossim_model6': -0.0009302325581395321, 'Norm_model6': -0.0032558139534883622, 'Avecossim_model6': 0.0}",2025-01-23_21-36-26
model,PFI,SHAP,Date
log,"{'Maximum_duration_of_Visit': 0.05488372093023262, 'Number_of_Visits_per_character': 0.006976744186046524, 'Time_to_entry_saccade': 0.005581395348837259, 'Number_of_regression': -0.0013953488372092648, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.005116279069767504, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0023255813953488636, 'Cossim_model6': 0.012093023255814007, 'Norm_model6': 0.013488372093023292}","{'Maximum_duration_of_Visit': 1.1501367929750299e-18, 'Number_of_Visits_per_character': 1.9892115702132666e-18, 'Time_to_entry_saccade': 6.838315635875002e-18, 'Number_of_regression': 1.8466334689680453e-17, 'extra_difficult_kanzi_words': -1.2873009747964519e-17, 'Percentage_of_regular_difficulty_kanzi_words': 2.872347819461234e-19, 'Percentage_of_adnominal_modification_out_of_total_nouns': 3.752497785109114e-18, 'Cossim_model6': 4.225945866054873e-18, 'Norm_model6': 3.1608275428554147e-18}",2025-02-02_16-52-12
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}","{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-02_16-52-12
gb,"{'Maximum_duration_of_Visit': 0.1251162790697674, 'Number_of_Visits_per_character': 0.09069767441860462, 'Time_to_entry_saccade': 0.053953488372092996, 'Number_of_regression': 0.015348837209302291, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.030697674418604604, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.03441860465116273, 'Cossim_model6': 0.09720930232558134, 'Norm_model6': 0.10093023255813949}","{'Maximum_duration_of_Visit': -1.060753148755004e-18, 'Number_of_Visits_per_character': -9.102885798176261e-18, 'Time_to_entry_saccade': -5.343446282587789e-18, 'Number_of_regression': -2.1067462559430858e-17, 'extra_difficult_kanzi_words': 3.220836872402287e-18, 'Percentage_of_regular_difficulty_kanzi_words': -3.158189527685733e-17, 'Percentage_of_adnominal_modification_out_of_total_nouns': -9.101688132985726e-18, 'Cossim_model6': -9.752146401467e-19, 'Norm_model6': -7.519824556327368e-18}",2025-02-02_16-52-12
svm,"{'Maximum_duration_of_Visit': 0.0553488372093023, 'Number_of_Visits_per_character': 0.023255813953488347, 'Time_to_entry_saccade': 0.007441860465116279, 'Number_of_regression': 0.010697674418604652, 'extra_difficult_kanzi_words': 0.0037209302325581064, 'Percentage_of_regular_difficulty_kanzi_words': 0.005116279069767415, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.016279069767441846, 'Cossim_model6': 0.010232558139534876, 'Norm_model6': 0.008837209302325566}","{'Maximum_duration_of_Visit': 6.323859341217754e-19, 'Number_of_Visits_per_character': -6.613077263674687e-18, 'Time_to_entry_saccade': -2.284145487681119e-18, 'Number_of_regression': 5.875151270555534e-18, 'extra_difficult_kanzi_words': -4.602734929963013e-18, 'Percentage_of_regular_difficulty_kanzi_words': 1.4450260934748467e-17, 'Percentage_of_adnominal_modification_out_of_total_nouns': -3.351000228422449e-18, 'Cossim_model6': -3.7064585896597476e-19, 'Norm_model6': -1.3191966898707347e-18}",2025-02-02_16-52-12
knn,"{'Maximum_duration_of_Visit': 0.05395348837209306, 'Number_of_Visits_per_character': 0.025581395348837254, 'Time_to_entry_saccade': 0.020930232558139594, 'Number_of_regression': 0.03581395348837213, 'extra_difficult_kanzi_words': -0.0004651162790697327, 'Percentage_of_regular_difficulty_kanzi_words': 0.02883720930232563, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.03116279069767447, 'Cossim_model6': 0.02837209302325585, 'Norm_model6': 0.003720930232558195}","{'Maximum_duration_of_Visit': -1.3166169820853295e-17, 'Number_of_Visits_per_character': -1.857651200783354e-17, 'Time_to_entry_saccade': -1.9999933147097822e-17, 'Number_of_regression': -6.389016575059192e-17, 'extra_difficult_kanzi_words': -1.6780900454873186e-16, 'Percentage_of_regular_difficulty_kanzi_words': -1.0045301746730025e-16, 'Percentage_of_adnominal_modification_out_of_total_nouns': -7.132706073365767e-17, 'Cossim_model6': -4.718567621175969e-17, 'Norm_model6': -7.747355728525257e-17}",2025-02-02_16-52-12
mlp,"{'Maximum_duration_of_Visit': 0.06790697674418608, 'Number_of_Visits_per_character': 0.02511627906976748, 'Time_to_entry_saccade': 0.019534883720930263, 'Number_of_regression': 0.008372093023255856, 'extra_difficult_kanzi_words': 0.0009302325581395543, 'Percentage_of_regular_difficulty_kanzi_words': 0.008837209302325611, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.020465116279069818, 'Cossim_model6': 0.01162790697674423, 'Norm_model6': 0.019534883720930263}","{'Maximum_duration_of_Visit': -6.989596705176652e-18, 'Number_of_Visits_per_character': -3.907035991569566e-18, 'Time_to_entry_saccade': 2.873214550849122e-18, 'Number_of_regression': 2.5721130516188204e-18, 'extra_difficult_kanzi_words': -5.40354228527345e-18, 'Percentage_of_regular_difficulty_kanzi_words': 3.45501193465715e-18, 'Percentage_of_adnominal_modification_out_of_total_nouns': -1.334306969712126e-17, 'Cossim_model6': -5.726068793459127e-18, 'Norm_model6': -1.894075981328165e-18}",2025-02-02_16-52-12
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}","{'Maximum_duration_of_Visit': -6.860226211392001e-18, 'Number_of_Visits_per_character': -8.278261796986996e-18, 'Time_to_entry_saccade': -8.285495064387735e-18, 'Number_of_regression': -1.8493967662201577e-17, 'extra_difficult_kanzi_words': 4.4985565256744484e-17, 'Percentage_of_regular_difficulty_kanzi_words': -2.5021116880604425e-18, 'Percentage_of_adnominal_modification_out_of_total_nouns': -1.2841744382990518e-17, 'Cossim_model6': 3.5287628963901756e-18, 'Norm_model6': 6.398305657905154e-18}",2025-02-02_16-52-12
model,PFI,SHAP,Date
log,"{'Average_duration_of_fixations': 0.023076923076923106, 'Number_of_fixations': 0.05769230769230773, 'Peak_velocity_of_exit_saccade': 0.030769230769230816, 'Norm_model6': 0.11153846153846159, 'Avecossim_model6': 0.030769230769230837}","{'Average_duration_of_fixations': -1.2020049085344102e-17, 'Number_of_fixations': -1.81603863891322e-17, 'Peak_velocity_of_exit_saccade': -1.6317242695906842e-17, 'Norm_model6': -1.6529913122048228e-17, 'Avecossim_model6': -2.288500585615557e-17}",2025-02-04_13-19-55
rf,"{'Average_duration_of_fixations': 0.0, 'Number_of_fixations': 0.0, 'Peak_velocity_of_exit_saccade': 0.0, 'Norm_model6': 0.0, 'Avecossim_model6': 0.0}","{'Average_duration_of_fixations': 0.0, 'Number_of_fixations': 0.0, 'Peak_velocity_of_exit_saccade': 0.0, 'Norm_model6': 0.0, 'Avecossim_model6': 0.0}",2025-02-04_13-19-55
gb,"{'Average_duration_of_fixations': 0.03076923076923077, 'Number_of_fixations': 0.0769230769230769, 'Peak_velocity_of_exit_saccade': 0.17692307692307693, 'Norm_model6': 0.049999999999999975, 'Avecossim_model6': 0.019230769230769253}","{'Average_duration_of_fixations': 9.570169176362434e-18, 'Number_of_fixations': 7.497675023572835e-18, 'Peak_velocity_of_exit_saccade': 1.0333280705458e-17, 'Norm_model6': 1.5612511283791264e-17, 'Avecossim_model6': 1.6012832085939759e-18}",2025-02-04_13-19-55
svm,"{'Average_duration_of_fixations': 0.015384615384615353, 'Number_of_fixations': 0.0692307692307692, 'Peak_velocity_of_exit_saccade': 0.05769230769230767, 'Norm_model6': 0.11923076923076921, 'Avecossim_model6': 0.011538461538461497}","{'Average_duration_of_fixations': -2.7874388275576467e-18, 'Number_of_fixations': -8.075221180839151e-18, 'Peak_velocity_of_exit_saccade': -1.0758621557740775e-18, 'Norm_model6': -1.3014596078181766e-17, 'Avecossim_model6': -7.222454472095745e-18}",2025-02-04_13-19-55
knn,"{'Average_duration_of_fixations': 0.007692307692307665, 'Number_of_fixations': 0.02307692307692304, 'Peak_velocity_of_exit_saccade': 0.02307692307692304, 'Norm_model6': 0.06923076923076918, 'Avecossim_model6': -4.4408920985006264e-17}","{'Average_duration_of_fixations': -1.0021051329823953e-18, 'Number_of_fixations': 2.7889015883011744e-17, 'Peak_velocity_of_exit_saccade': 1.228901462428762e-17, 'Norm_model6': 6.070698164247682e-17, 'Avecossim_model6': 3.2926385976713626e-17}",2025-02-04_13-19-55
mlp,"{'Average_duration_of_fixations': 0.034615384615384624, 'Number_of_fixations': 0.10769230769230773, 'Peak_velocity_of_exit_saccade': 0.07692307692307691, 'Norm_model6': 0.10769230769230768, 'Avecossim_model6': 0.011538461538461586}","{'Average_duration_of_fixations': -3.2838815801243643e-19, 'Number_of_fixations': 4.691259400177663e-18, 'Peak_velocity_of_exit_saccade': -2.0016040107424698e-19, 'Norm_model6': -4.778829575647647e-18, 'Avecossim_model6': 4.003208021484939e-18}",2025-02-04_13-19-55
nb,"{'Average_duration_of_fixations': -2.2204460492503132e-17, 'Number_of_fixations': 0.019230769230769183, 'Peak_velocity_of_exit_saccade': -0.0038461538461538767, 'Norm_model6': 0.06153846153846152, 'Avecossim_model6': 0.007692307692307665}","{'Average_duration_of_fixations': -6.06840465965204e-18, 'Number_of_fixations': -4.4348038863012844e-18, 'Peak_velocity_of_exit_saccade': -1.2993746036403199e-17, 'Norm_model6': -1.6396472854665397e-17, 'Avecossim_model6': -1.814787636406506e-17}",2025-02-04_13-19-55
model,PFI,SHAP,Date
log,"{'Duration_of_first_fixation': 0.014814814814814791, 'Maximum_duration_of_Visit': 0.15925925925925918, 'Selective_regression-path_duration': 0.02222222222222221, 'Re-reading_duration': 0.0, 'Percentage_of_Chinese_words_verb': -0.0018518518518518823, 'Number_of_adnominal_modification_out_of_total_nouns': 0.04629629629629626, 'Norm_model6': 0.014814814814814814}","{'Duration_of_first_fixation': -4.174931282244529e-18, 'Maximum_duration_of_Visit': -5.630322115171252e-18, 'Selective_regression-path_duration': 8.683656288888531e-19, 'Re-reading_duration': 2.12183557153664e-17, 'Percentage_of_Chinese_words_verb': 3.936256220662651e-18, 'Number_of_adnominal_modification_out_of_total_nouns': 9.814037442794714e-18, 'Norm_model6': 6.649773324577761e-18}",2025-02-04_15-22-40
rf,"{'Duration_of_first_fixation': 0.042592592592592585, 'Maximum_duration_of_Visit': 0.13518518518518513, 'Selective_regression-path_duration': -0.0018518518518518823, 'Re-reading_duration': -2.2204460492503132e-17, 'Percentage_of_Chinese_words_verb': -0.011111111111111138, 'Number_of_adnominal_modification_out_of_total_nouns': 0.020370370370370327, 'Norm_model6': 0.07962962962962958}","{'Duration_of_first_fixation': -1.836116456922211e-18, 'Maximum_duration_of_Visit': -8.081321748618806e-18, 'Selective_regression-path_duration': -2.249518729727332e-17, 'Re-reading_duration': 2.875143538887486e-18, 'Percentage_of_Chinese_words_verb': -8.071282839614311e-19, 'Number_of_adnominal_modification_out_of_total_nouns': 1.5805258336677575e-17, 'Norm_model6': -1.4713025036988474e-17}",2025-02-04_15-22-40
gb,"{'Duration_of_first_fixation': 0.13148148148148145, 'Maximum_duration_of_Visit': 0.12037037037037039, 'Selective_regression-path_duration': 0.02222222222222221, 'Re-reading_duration': 0.05740740740740739, 'Percentage_of_Chinese_words_verb': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Norm_model6': 0.15925925925925927}","{'Duration_of_first_fixation': 3.0684803776778116e-17, 'Maximum_duration_of_Visit': 1.3813162331098018e-17, 'Selective_regression-path_duration': 2.388231354896947e-17, 'Re-reading_duration': 3.266962157332942e-17, 'Percentage_of_Chinese_words_verb': 1.413007813973368e-17, 'Number_of_adnominal_modification_out_of_total_nouns': 6.494170235008081e-18, 'Norm_model6': 1.7732728865540693e-17}",2025-02-04_15-22-40
svm,"{'Duration_of_first_fixation': 0.2425925925925926, 'Maximum_duration_of_Visit': 0.22037037037037038, 'Selective_regression-path_duration': 0.22592592592592595, 'Re-reading_duration': 0.10370370370370371, 'Percentage_of_Chinese_words_verb': 0.2018518518518518, 'Number_of_adnominal_modification_out_of_total_nouns': 0.13888888888888887, 'Norm_model6': 0.1222222222222222}","{'Duration_of_first_fixation': -1.3779908445020627e-17, 'Maximum_duration_of_Visit': -6.0243492935976966e-18, 'Selective_regression-path_duration': -6.723857335871873e-18, 'Re-reading_duration': 1.0378977047022693e-18, 'Percentage_of_Chinese_words_verb': -3.6258657028799086e-18, 'Number_of_adnominal_modification_out_of_total_nouns': -1.4982318771034064e-17, 'Norm_model6': -1.301845719702965e-17}",2025-02-04_15-22-40
