rf,"{'Duration_of_first_fixation': 0.0, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun_numerator': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Number_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-01-21_16-36-11,
gb,"{'Duration_of_first_fixation': 0.01488372093023258, 'Minimum_duration_of_Visit': 0.009767441860465142, 'Maximum_duration_of_Visit': 0.04604651162790698, 'Number_of_Visits_per_characters': 0.02604651162790701, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun_numerator': 0.007441860465116279, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Number_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0023255813953488857, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.05720930232558139, 'Norm_model6': 0.041860465116279076}",2025-01-21_16-36-11,
svm,"{'Duration_of_first_fixation': 0.032558139534883714, 'Minimum_duration_of_Visit': 0.019069767441860442, 'Maximum_duration_of_Visit': 0.05953488372093026, 'Number_of_Visits_per_characters': 0.03534883720930233, 'Number_of_regression': 0.03488372093023258, 'Percentage_of_katakana_verb_numerator': 0.0027906976744186407, 'Percentage_of_katakana_noun_numerator': 0.036279069767441864, 'Percentage_of_extra_difficulty_kanzi_words': 0.0032558139534883956, 'Percentage_of_regular_difficulty_kanzi_words': 0.012558139534883717, 'Percentage_of_extra_difficulty_kanzis': 0.005581395348837215, 'Number_of_extra_difficulty_kanzis': 0.005116279069767438, 'Number_of_regular_difficulty_kanzis': 0.018139534883720932, 'Percentage_of_Chinese_words_verb': 0.016744186046511622, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.025581395348837188, 'Number_of_adnominal_modification_out_of_total_nouns': 0.01581395348837209, 'Cossim_model6': 0.022790697674418593, 'Norm_model6': 0.015348837209302335}",2025-01-21_16-36-11,
knn,"{'Duration_of_first_fixation': 0.002325581395348819, 'Minimum_duration_of_Visit': 0.001860465116279042, 'Maximum_duration_of_Visit': 0.004186046511627883, 'Number_of_Visits_per_characters': -0.005116279069767438, 'Number_of_regression': -0.011627906976744184, 'Percentage_of_katakana_verb_numerator': 0.002790697674418552, 'Percentage_of_katakana_noun_numerator': -0.008372093023255811, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': -0.0009302325581395543, 'Percentage_of_extra_difficulty_kanzis': -2.2204460492503132e-17, 'Number_of_extra_difficulty_kanzis': -2.2204460492503132e-17, 'Number_of_regular_difficulty_kanzis': -0.013953488372093027, 'Percentage_of_Chinese_words_verb': 0.001860465116279042, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.0037209302325581506, 'Number_of_adnominal_modification_out_of_total_nouns': -0.006976744186046524, 'Cossim_model6': -0.0032558139534883956, 'Norm_model6': -0.013488372093023249}",2025-01-21_16-36-11,
mlp,"{'Duration_of_first_fixation': 0.08744186046511626, 'Minimum_duration_of_Visit': 0.05674418604651159, 'Maximum_duration_of_Visit': 0.12279069767441857, 'Number_of_Visits_per_characters': 0.10186046511627904, 'Number_of_regression': 0.11209302325581391, 'Percentage_of_katakana_verb_numerator': 0.002790697674418552, 'Percentage_of_katakana_noun_numerator': 0.08465116279069765, 'Percentage_of_extra_difficulty_kanzi_words': 0.008837209302325543, 'Percentage_of_regular_difficulty_kanzi_words': 0.053953488372092975, 'Percentage_of_extra_difficulty_kanzis': 0.005116279069767415, 'Number_of_extra_difficulty_kanzis': 0.010232558139534876, 'Number_of_regular_difficulty_kanzis': 0.07255813953488369, 'Percentage_of_Chinese_words_verb': 0.06139534883720925, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.08790697674418602, 'Number_of_adnominal_modification_out_of_total_nouns': 0.09860465116279067, 'Cossim_model6': 0.11767441860465115, 'Norm_model6': 0.07023255813953484}",2025-01-21_16-36-11,
nb,"{'Duration_of_first_fixation': 0.0, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0009302325581395321, 'Percentage_of_katakana_noun_numerator': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': -0.013023255813953504, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': -0.023720930232558158, 'Number_of_extra_difficulty_kanzis': -0.027906976744186063, 'Number_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0032558139534883622}",2025-01-21_16-36-11,
model,PFI,Date,
log,"{'Duration_of_first_fixation': -0.0018604651162790642, 'Minimum_duration_of_Visit': 0.0018604651162790198, 'Maximum_duration_of_Visit': 0.05906976744186045, 'Number_of_Visits_per_characters': 0.014883720930232536, 'Number_of_saccades_in_AOI': 0.0009302325581395099, 'Time_to_entry_saccade': 0.0009302325581395099, 'Time_to_exit_saccade': 0.010232558139534853, 'First-pass_duration': 0.008837209302325543, 'Re-reading_duration_per_characters': 0.0013953488372092648, 'Number_of_regression': 0.006976744186046458, 'Percentage_of_katakana_verb_numerator': 0.00046511627906975495, 'Percentage_of_extra_difficulty_kanzi_words': 0.002790697674418552, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Number_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_extra_difficulty_kanzis': 0.001860465116279042, 'Number_of_extra_difficulty_kanzis': 0.009302325581395344, 'Percentage_of_regular_difficulty_kanzis': 0.0069767441860464794, 'Percentage_of_Chinese_words_verb': -0.0018604651162791087, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.007906976744186011, 'Norm_model6': 0.024186046511627857, 'Avecossim_model6': 0.017209302325581356}",2025-01-21_16-54-44,
rf,"{'Duration_of_first_fixation': 0.0, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'Time_to_exit_saccade': 0.0, 'First-pass_duration': 0.0, 'Re-reading_duration_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Norm_model6': 0.0, 'Avecossim_model6': 0.0}",2025-01-21_16-54-44,
gb,"{'Duration_of_first_fixation': 0.013488372093023249, 'Minimum_duration_of_Visit': 0.004651162790697683, 'Maximum_duration_of_Visit': 0.036279069767441864, 'Number_of_Visits_per_characters': 0.019069767441860442, 'Number_of_saccades_in_AOI': 0.00511627906976746, 'Time_to_entry_saccade': 0.0, 'Time_to_exit_saccade': 0.0, 'First-pass_duration': 0.0, 'Re-reading_duration_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0023255813953488857, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.00046511627906977717, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.009302325581395344, 'Norm_model6': 0.019069767441860508, 'Avecossim_model6': 0.008837209302325589}",2025-01-21_16-54-44,
