rf,"{'Interest': 0.05441860465116277, ""readers'_vocabulary"": 0.18372093023255812, 'Average_duration_of_Visit': 0.08511627906976742, 'Regression-path_duration': 0.03116279069767438, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.03116279069767438, 'Percentage_of_easy_words': 0.044651162790697654, 'Percentage_of_low_difficulty_kanzi_words': 0.020930232558139483, 'Number_of_low_difficulty_kanzi_words': 0.004651162790697638, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.018604651162790663, 'Norm_model1': 0.05255813953488371, 'Norm_model3': 0.05395348837209302, 'Avecossim_model4': 0.06279069767441854, 'Avecossim_model5': 0.04511627906976741}","{'Interest': -1.6278223448607185e-08, ""readers'_vocabulary"": -2.258578976270252e-09, 'Average_duration_of_Visit': -3.77270327656348e-09, 'Regression-path_duration': -4.8799986922004286e-08, 'Percentage_of_katakana_verb': 4.9873499373690816e-08, 'Number_of_easy_words': 6.129720723279955e-07, 'Percentage_of_easy_words': -2.2126832451013426e-09, 'Percentage_of_low_difficulty_kanzi_words': -4.9930307983711924e-08, 'Number_of_low_difficulty_kanzi_words': -6.675462685021624e-08, 'Percentage_of_extra_difficulty_kanzi_words': -1.0790975618407524e-08, 'Number_of_low_difficulty_kanzis': -4.604268781143952e-08, 'Norm_model1': -7.689287010205314e-08, 'Norm_model3': 2.7908701412335638e-08, 'Avecossim_model4': -1.3253481784685072e-07, 'Avecossim_model5': -2.344858111305384e-07}",2025-01-18_09-48-43
gb,"{'Interest': 0.03953488372093026, ""readers'_vocabulary"": 0.005116279069767438, 'Average_duration_of_Visit': 0.0730232558139535, 'Regression-path_duration': 0.021395348837209328, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.04511627906976747, 'Percentage_of_easy_words': 0.02744186046511632, 'Percentage_of_low_difficulty_kanzi_words': 0.00511627906976746, 'Number_of_low_difficulty_kanzi_words': 0.007441860465116301, 'Percentage_of_extra_difficulty_kanzi_words': 0.0023255813953488636, 'Number_of_low_difficulty_kanzis': 0.009302325581395344, 'Norm_model1': 0.059069767441860474, 'Norm_model3': 0.032558139534883755, 'Avecossim_model4': 0.027906976744186074, 'Avecossim_model5': 0.07116279069767448}","{'Interest': 0.0, ""readers'_vocabulary"": 0.0, 'Average_duration_of_Visit': 0.0, 'Regression-path_duration': 0.0, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
svm,"{'Interest': 0.6139534883720931, ""readers'_vocabulary"": 0.5925581395348838, 'Average_duration_of_Visit': 0.7172093023255814, 'Regression-path_duration': 0.6293023255813953, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.5344186046511628, 'Percentage_of_easy_words': 0.569767441860465, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.15534883720930232, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.4423255813953489, 'Norm_model1': 0.01255813953488374, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 0.0, ""readers'_vocabulary"": 0.0, 'Average_duration_of_Visit': 0.0, 'Regression-path_duration': 0.0, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
knn,"{'Interest': 0.0, ""readers'_vocabulary"": 0.16604651162790693, 'Average_duration_of_Visit': 0.11767441860465115, 'Regression-path_duration': 0.14232558139534884, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 0.0, ""readers'_vocabulary"": 0.0, 'Average_duration_of_Visit': 0.0, 'Regression-path_duration': 0.0, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
mlp,"{'Interest': -0.0013953488372093065, ""readers'_vocabulary"": 0.007906976744186039, 'Average_duration_of_Visit': 0.02093023255813953, 'Regression-path_duration': 0.0227906976744186, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': -2.7755575615628915e-18, 'Percentage_of_easy_words': -0.0004651162790697688, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': -0.0004651162790697688, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': -0.0004651162790697688, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 1.7934471840873197e-07, ""readers'_vocabulary"": -2.187268909854069e-08, 'Average_duration_of_Visit': -5.2501097933414065e-08, 'Regression-path_duration': 9.785174916984728e-08, 'Percentage_of_katakana_verb': -1.2670914440570428e-06, 'Number_of_easy_words': 7.006878674476552e-08, 'Percentage_of_easy_words': -2.862212815450697e-08, 'Percentage_of_low_difficulty_kanzi_words': 3.383834582438893e-08, 'Number_of_low_difficulty_kanzi_words': 6.643460953038942e-08, 'Percentage_of_extra_difficulty_kanzi_words': 4.379534267798835e-07, 'Number_of_low_difficulty_kanzis': 5.205380970047693e-08, 'Norm_model1': 1.2251395242744514e-07, 'Norm_model3': 2.6104831566039845e-07, 'Avecossim_model4': -6.840819852674757e-08, 'Avecossim_model5': 1.173878435444183e-07}",2025-01-18_09-48-43
nb,"{'Interest': 0.05209302325581394, ""readers'_vocabulary"": 0.04837209302325579, 'Average_duration_of_Visit': 0.03813953488372092, 'Regression-path_duration': 0.017209302325581398, 'Percentage_of_katakana_verb': 0.0023255813953488302, 'Number_of_easy_words': 0.015348837209302324, 'Percentage_of_easy_words': 0.02930232558139534, 'Percentage_of_low_difficulty_kanzi_words': 0.016279069767441867, 'Number_of_low_difficulty_kanzi_words': -0.004651162790697672, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': -0.006511627906976747, 'Norm_model1': 0.023720930232558123, 'Norm_model3': 0.02790697674418604, 'Avecossim_model4': -0.00046511627906976606, 'Avecossim_model5': 0.0}","{'Interest': 1.7202770400553123e-07, ""readers'_vocabulary"": 1.7544551742887303e-08, 'Average_duration_of_Visit': 5.7556377594153696e-08, 'Regression-path_duration': 8.112294080308735e-09, 'Percentage_of_katakana_verb': -8.39375358573362e-07, 'Number_of_easy_words': 3.999713896224268e-08, 'Percentage_of_easy_words': 1.9678407036830023e-07, 'Percentage_of_low_difficulty_kanzi_words': 1.5894387622659815e-07, 'Number_of_low_difficulty_kanzi_words': 2.4071193613550982e-08, 'Percentage_of_extra_difficulty_kanzi_words': -7.862215976812581e-07, 'Number_of_low_difficulty_kanzis': 3.2016528868087046e-08, 'Norm_model1': 2.3478429601006924e-07, 'Norm_model3': 2.44423907574867e-07, 'Avecossim_model4': 1.9771965813598434e-07, 'Avecossim_model5': 2.4161535906887703e-07}",2025-01-18_09-48-43
model,PFI,SHAP,Date
"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': 0.0, ""readers'_vocabulary"": 0.001860465116279042, 'Average_duration_of_Visit': 0.007906976744186023, 'Regression-path_duration': 0.005116279069767427, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 0.0, ""readers'_vocabulary"": 1.1177309303764953e-08, 'Average_duration_of_Visit': 2.0793416046409094e-08, 'Regression-path_duration': -8.46909931761963e-08, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 5.9704779212078744e-09, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': 0.05441860465116277, ""readers'_vocabulary"": 0.18372093023255812, 'Average_duration_of_Visit': 0.08511627906976742, 'Regression-path_duration': 0.03116279069767438, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.03116279069767438, 'Percentage_of_easy_words': 0.044651162790697654, 'Percentage_of_low_difficulty_kanzi_words': 0.020930232558139483, 'Number_of_low_difficulty_kanzi_words': 0.004651162790697638, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.018604651162790663, 'Norm_model1': 0.05255813953488371, 'Norm_model3': 0.05395348837209302, 'Avecossim_model4': 0.06279069767441854, 'Avecossim_model5': 0.04511627906976741}","{'Interest': -1.6278223448607185e-08, ""readers'_vocabulary"": -2.258578976270252e-09, 'Average_duration_of_Visit': -3.77270327656348e-09, 'Regression-path_duration': -4.8799986922004286e-08, 'Percentage_of_katakana_verb': 4.9873499373690816e-08, 'Number_of_easy_words': 6.129720723279955e-07, 'Percentage_of_easy_words': -2.2126832451013426e-09, 'Percentage_of_low_difficulty_kanzi_words': -4.9930307983711924e-08, 'Number_of_low_difficulty_kanzi_words': -6.675462685021624e-08, 'Percentage_of_extra_difficulty_kanzi_words': -1.0790975618407524e-08, 'Number_of_low_difficulty_kanzis': -4.604268781143952e-08, 'Norm_model1': -7.689287010205314e-08, 'Norm_model3': 2.7908701412335638e-08, 'Avecossim_model4': -1.3253481784685072e-07, 'Avecossim_model5': -2.344858111305384e-07}",2025-01-18_09-48-43
"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': 0.03953488372093026, ""readers'_vocabulary"": 0.005116279069767438, 'Average_duration_of_Visit': 0.0730232558139535, 'Regression-path_duration': 0.021395348837209328, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.04511627906976747, 'Percentage_of_easy_words': 0.02744186046511632, 'Percentage_of_low_difficulty_kanzi_words': 0.00511627906976746, 'Number_of_low_difficulty_kanzi_words': 0.007441860465116301, 'Percentage_of_extra_difficulty_kanzi_words': 0.0023255813953488636, 'Number_of_low_difficulty_kanzis': 0.009302325581395344, 'Norm_model1': 0.059069767441860474, 'Norm_model3': 0.032558139534883755, 'Avecossim_model4': 0.027906976744186074, 'Avecossim_model5': 0.07116279069767448}","{'Interest': 0.0, ""readers'_vocabulary"": 0.0, 'Average_duration_of_Visit': 0.0, 'Regression-path_duration': 0.0, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
