"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': 0.6139534883720931, ""readers'_vocabulary"": 0.5925581395348838, 'Average_duration_of_Visit': 0.7172093023255814, 'Regression-path_duration': 0.6293023255813953, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.5344186046511628, 'Percentage_of_easy_words': 0.569767441860465, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.15534883720930232, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.4423255813953489, 'Norm_model1': 0.01255813953488374, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 0.0, ""readers'_vocabulary"": 0.0, 'Average_duration_of_Visit': 0.0, 'Regression-path_duration': 0.0, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': 0.0, ""readers'_vocabulary"": 0.16604651162790693, 'Average_duration_of_Visit': 0.11767441860465115, 'Regression-path_duration': 0.14232558139534884, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 0.0, ""readers'_vocabulary"": 0.0, 'Average_duration_of_Visit': 0.0, 'Regression-path_duration': 0.0, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': -0.0013953488372093065, ""readers'_vocabulary"": 0.007906976744186039, 'Average_duration_of_Visit': 0.02093023255813953, 'Regression-path_duration': 0.0227906976744186, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': -2.7755575615628915e-18, 'Percentage_of_easy_words': -0.0004651162790697688, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': -0.0004651162790697688, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': -0.0004651162790697688, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 1.7934471840873197e-07, ""readers'_vocabulary"": -2.187268909854069e-08, 'Average_duration_of_Visit': -5.2501097933414065e-08, 'Regression-path_duration': 9.785174916984728e-08, 'Percentage_of_katakana_verb': -1.2670914440570428e-06, 'Number_of_easy_words': 7.006878674476552e-08, 'Percentage_of_easy_words': -2.862212815450697e-08, 'Percentage_of_low_difficulty_kanzi_words': 3.383834582438893e-08, 'Number_of_low_difficulty_kanzi_words': 6.643460953038942e-08, 'Percentage_of_extra_difficulty_kanzi_words': 4.379534267798835e-07, 'Number_of_low_difficulty_kanzis': 5.205380970047693e-08, 'Norm_model1': 1.2251395242744514e-07, 'Norm_model3': 2.6104831566039845e-07, 'Avecossim_model4': -6.840819852674757e-08, 'Avecossim_model5': 1.173878435444183e-07}",2025-01-18_09-48-43
"StackingClassifier(cv=5,
                   estimators=[('log',
                                LogisticRegression(C=2, max_iter=58,
                                                   random_state=42,
                                                   solver='sag')),
                               ('rf',
                                RandomForestClassifier(criterion='log_loss',
                                                       max_depth=39,
                                                       min_samples_split=5,
                                                       n_estimators=99,
                                                       random_state=42)),
                               ('gb',
                                GradientBoostingClassifier(learning_rate=0.1922634555704315,
                                                           max_depth=7,
                                                           n_estimators=216,
                                                           random_state=42,
                                                           subsample=0.5132649611598665)),
                               ('svm',
                                SVC(C=66.2622284353982, gamma='auto',
                                    probability=True, random_state=42)),
                               ('knn',
                                KNeighborsClassifier(leaf_size=34,
                                                     n_neighbors=6)),
                               ('mlp',
                                MLPClassifier(alpha=0.00240893825622149,
                                              hidden_layer_sizes=(100, 50),
                                              max_iter=654, random_state=42)),
                               ('nb', GaussianNB(var_smoothing=1e-10))],
                   final_estimator=LogisticRegression(random_state=42))","{'Interest': 0.05209302325581394, ""readers'_vocabulary"": 0.04837209302325579, 'Average_duration_of_Visit': 0.03813953488372092, 'Regression-path_duration': 0.017209302325581398, 'Percentage_of_katakana_verb': 0.0023255813953488302, 'Number_of_easy_words': 0.015348837209302324, 'Percentage_of_easy_words': 0.02930232558139534, 'Percentage_of_low_difficulty_kanzi_words': 0.016279069767441867, 'Number_of_low_difficulty_kanzi_words': -0.004651162790697672, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': -0.006511627906976747, 'Norm_model1': 0.023720930232558123, 'Norm_model3': 0.02790697674418604, 'Avecossim_model4': -0.00046511627906976606, 'Avecossim_model5': 0.0}","{'Interest': 1.7202770400553123e-07, ""readers'_vocabulary"": 1.7544551742887303e-08, 'Average_duration_of_Visit': 5.7556377594153696e-08, 'Regression-path_duration': 8.112294080308735e-09, 'Percentage_of_katakana_verb': -8.39375358573362e-07, 'Number_of_easy_words': 3.999713896224268e-08, 'Percentage_of_easy_words': 1.9678407036830023e-07, 'Percentage_of_low_difficulty_kanzi_words': 1.5894387622659815e-07, 'Number_of_low_difficulty_kanzi_words': 2.4071193613550982e-08, 'Percentage_of_extra_difficulty_kanzi_words': -7.862215976812581e-07, 'Number_of_low_difficulty_kanzis': 3.2016528868087046e-08, 'Norm_model1': 2.3478429601006924e-07, 'Norm_model3': 2.44423907574867e-07, 'Avecossim_model4': 1.9771965813598434e-07, 'Avecossim_model5': 2.4161535906887703e-07}",2025-01-18_09-48-43
model,PFI,Date
log,"{'Interest': 0.028837209302325563, ""readers'_vocabulary"": 0.031162790697674404, 'Average_duration_of_fixations': -0.0023255813953488415, 'Minimum_duration_of_fixations': 0.011162790697674386, 'Maximum_duration_of_fixations': -0.0037209302325581285, 'Duration_of_first_fixation': 0.007906976744186034, 'Average_pupil_diameter': 0.006976744186046502, 'Average_duration_of_Visit_per_characters': -2.2204460492503132e-17, 'Minimum_duration_of_Visit': 0.012093023255813939, 'Maximum_duration_of_Visit': 0.028372093023255808, 'Number_of_Visits': 0.019999999999999952, 'Number_of_Visits_per_characters': -0.00046511627906977717, 'Number_of_saccades_in_AOI': -4.4408920985006264e-17, 'Time_to_entry_saccade': -2.2204460492503132e-17, 'Time_to_exit_saccade': 0.005116279069767393, 'Peak_velocity_of_entry_saccade': 0.001860465116279042, 'Peak_velocity_of_exit_saccade': 0.024186046511627878, 'First-pass_first_fixation_duration_per_characters': 0.005116279069767393, 'First-pass_duration': -0.00046511627906977717, 'First-pass_duration_per_characters': 0.0060465116279069695, 'Selective_regression-path_duration': 0.010697674418604608, 'Regression-path_duration': 0.008372093023255766, 'Re-reading_duration_per_characters': 0.002325581395348797, 'Number_of_regression': 0.010697674418604631, 'Percentage_of_katakana_verb_numerator': 0.00046511627906975495, 'Percentage_of_katakana_noun': 0.005116279069767438, 'Percentage_of_katakana_noun_numerator': 0.006046511627906925, 'Number_of_easy_words': 0.017674418604651153, 'Percentage_of_easy_words': 0.027441860465116253, 'Percentage_of_kanzi': 0.007441860465116234, 'Percentage_of_low_difficulty_kanzi_words': 0.017209302325581356, 'Number_of_low_difficulty_kanzi_words': 0.004186046511627861, 'Percentage_of_extra_difficulty_kanzi_words': 0.002790697674418552, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': -0.00046511627906979934, 'Number_of_regular_difficulty_kanzi_words': -2.2204460492503132e-17, 'Percentage_of_high_difficulty_kanzi_words': 0.03581395348837211, 'Number_of_high_difficulty_kanzi_words': 0.023720930232558123, 'Percentage_of_low_difficulty_kanzis': 0.0032558139534883514, 'Percentage_of_extra_difficulty_kanzis': -0.0009302325581395543, 'Number_of_extra_difficulty_kanzis': 0.004186046511627861, 'Percentage_of_regular_difficulty_kanzis': -0.0018604651162791087, 'Number_of_regular_difficulty_kanzis': 0.013953488372092981, 'Percentage_of_Chinese_words_verb': 0.004651162790697616, 'Percentage_of_Chinese_words_noun': -0.0013953488372093314, 'Average_length_of_compund_nouns': 0.004186046511627839, 'Number_of_characters_of_adnominal_modification': 0.015813953488372067, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.00046511627906977717, 'Number_of_adnominal_modification_out_of_total_nouns': 0.022790697674418593, 'Percentage_of_frequent_words': 0.0065116279069767245, 'Cossim_model6': 0.011162790697674386, 'Norm_model6': 0.020930232558139507, 'Avecossim_model6': -0.00046511627906979934}",2025-01-20_14-13-50
rf,"{'Interest': 0.023255813953488393, ""readers'_vocabulary"": 0.006976744186046524, 'Average_duration_of_fixations': 0.011162790697674452, 'Minimum_duration_of_fixations': 0.014418604651162802, 'Maximum_duration_of_fixations': 0.01395348837209307, 'Duration_of_first_fixation': 0.008372093023255811, 'Average_pupil_diameter': 0.0018604651162791087, 'Average_duration_of_Visit_per_characters': 0.0032558139534883735, 'Minimum_duration_of_Visit': 0.0023255813953488857, 'Maximum_duration_of_Visit': 0.005581395348837215, 'Number_of_Visits': 0.0013953488372093314, 'Number_of_Visits_per_characters': 0.012093023255813962, 'Number_of_saccades_in_AOI': 0.0037209302325581727, 'Time_to_entry_saccade': 0.0037209302325581727, 'Time_to_exit_saccade': 0.0, 'Peak_velocity_of_entry_saccade': 0.0013953488372093314, 'Peak_velocity_of_exit_saccade': 0.0037209302325581506, 'First-pass_first_fixation_duration_per_characters': 0.00046511627906977717, 'First-pass_duration': 0.0, 'First-pass_duration_per_characters': 0.00046511627906977717, 'Selective_regression-path_duration': 0.00046511627906977717, 'Regression-path_duration': 0.0027906976744186186, 'Re-reading_duration_per_characters': -0.00046511627906975495, 'Number_of_regression': 2.2204460492503132e-17, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun': 0.006976744186046502, 'Percentage_of_katakana_noun_numerator': -0.00046511627906975495, 'Number_of_easy_words': 0.0023255813953488857, 'Percentage_of_easy_words': 0.0032558139534883956, 'Percentage_of_kanzi': -0.0009302325581395099, 'Percentage_of_low_difficulty_kanzi_words': 0.0009302325581395543, 'Number_of_low_difficulty_kanzi_words': 0.0013953488372093537, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162791087, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_high_difficulty_kanzi_words': 0.004651162790697683, 'Number_of_high_difficulty_kanzi_words': 0.0, 'Percentage_of_low_difficulty_kanzis': 0.0009302325581395543, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.00511627906976746, 'Number_of_regular_difficulty_kanzis': 0.0009302325581395543, 'Percentage_of_Chinese_words_verb': 0.0018604651162791087, 'Percentage_of_Chinese_words_noun': 0.0009302325581395543, 'Average_length_of_compund_nouns': 0.0, 'Number_of_characters_of_adnominal_modification': 0.0037209302325581727, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0018604651162790864, 'Number_of_adnominal_modification_out_of_total_nouns': -0.00046511627906975495, 'Percentage_of_frequent_words': 0.004651162790697683, 'Cossim_model6': 0.014418604651162847, 'Norm_model6': 0.01395348837209307, 'Avecossim_model6': 0.016279069767441888}",2025-01-20_14-13-50
gb,"{'Interest': 0.010697674418604652, ""readers'_vocabulary"": 0.0, 'Average_duration_of_fixations': 0.0, 'Minimum_duration_of_fixations': 0.0, 'Maximum_duration_of_fixations': 0.0013953488372093314, 'Duration_of_first_fixation': 0.0, 'Average_pupil_diameter': 0.0, 'Average_duration_of_Visit_per_characters': 0.0, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': 0.0023255813953488857, 'Number_of_Visits': 0.0, 'Number_of_Visits_per_characters': 0.0013953488372093093, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'Time_to_exit_saccade': 0.0, 'Peak_velocity_of_entry_saccade': 0.0, 'Peak_velocity_of_exit_saccade': 0.0, 'First-pass_first_fixation_duration_per_characters': 0.0, 'First-pass_duration': 0.0, 'First-pass_duration_per_characters': 0.0, 'Selective_regression-path_duration': 0.0, 'Regression-path_duration': 0.0, 'Re-reading_duration_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun': 0.0, 'Percentage_of_katakana_noun_numerator': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_kanzi': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_high_difficulty_kanzi_words': 0.0, 'Number_of_high_difficulty_kanzi_words': 0.0, 'Percentage_of_low_difficulty_kanzis': 0.0, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.0, 'Number_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_Chinese_words_noun': 0.0, 'Average_length_of_compund_nouns': 0.0, 'Number_of_characters_of_adnominal_modification': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Percentage_of_frequent_words': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0, 'Avecossim_model6': 0.0}",2025-01-20_14-13-50
svm,"{'Interest': 0.036279069767441885, ""readers'_vocabulary"": 0.007441860465116301, 'Average_duration_of_fixations': 0.0009302325581395543, 'Minimum_duration_of_fixations': 0.0023255813953488857, 'Maximum_duration_of_fixations': 0.0013953488372093314, 'Duration_of_first_fixation': 0.006976744186046546, 'Average_pupil_diameter': 0.0037209302325581285, 'Average_duration_of_Visit_per_characters': 0.0023255813953488857, 'Minimum_duration_of_Visit': 0.004651162790697683, 'Maximum_duration_of_Visit': 0.006511627906976747, 'Number_of_Visits': 0.012093023255813939, 'Number_of_Visits_per_characters': 0.006976744186046502, 'Number_of_saccades_in_AOI': 0.0037209302325581506, 'Time_to_entry_saccade': 0.004186046511627928, 'Time_to_exit_saccade': 0.0032558139534883956, 'Peak_velocity_of_entry_saccade': 0.0018604651162790864, 'Peak_velocity_of_exit_saccade': 0.0027906976744186186, 'First-pass_first_fixation_duration_per_characters': 0.0013953488372093314, 'First-pass_duration': 0.007441860465116301, 'First-pass_duration_per_characters': 0.00046511627906977717, 'Selective_regression-path_duration': 0.007441860465116279, 'Regression-path_duration': 0.008837209302325589, 'Re-reading_duration_per_characters': 0.0032558139534883956, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0023255813953488857, 'Percentage_of_katakana_noun': 0.014418604651162759, 'Percentage_of_katakana_noun_numerator': 0.0023255813953488636, 'Number_of_easy_words': 0.033953488372093, 'Percentage_of_easy_words': 0.013488372093023272, 'Percentage_of_kanzi': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0023255813953488636, 'Number_of_low_difficulty_kanzi_words': 0.012093023255813962, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.007441860465116279, 'Number_of_regular_difficulty_kanzi_words': 0.006046511627906992, 'Percentage_of_high_difficulty_kanzi_words': 0.0032558139534883956, 'Number_of_high_difficulty_kanzi_words': 0.006511627906976747, 'Percentage_of_low_difficulty_kanzis': 0.0027906976744186407, 'Percentage_of_extra_difficulty_kanzis': 0.0023255813953488857, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.004186046511627928, 'Number_of_regular_difficulty_kanzis': 0.004651162790697705, 'Percentage_of_Chinese_words_verb': 0.005116279069767438, 'Percentage_of_Chinese_words_noun': 0.0018604651162790864, 'Average_length_of_compund_nouns': 0.004651162790697683, 'Number_of_characters_of_adnominal_modification': 0.018139534883720932, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00511627906976746, 'Number_of_adnominal_modification_out_of_total_nouns': 0.017674418604651153, 'Percentage_of_frequent_words': 0.0037209302325581727, 'Cossim_model6': 0.006511627906976769, 'Norm_model6': 0.00511627906976746, 'Avecossim_model6': 0.0023255813953488857}",2025-01-20_14-13-50
knn,"{'Interest': 2.2204460492503132e-17, ""readers'_vocabulary"": 0.0023255813953488636, 'Average_duration_of_fixations': -0.0013953488372092648, 'Minimum_duration_of_fixations': -0.0009302325581395099, 'Maximum_duration_of_fixations': -0.0046511627906976605, 'Duration_of_first_fixation': 0.0013953488372093093, 'Average_pupil_diameter': 0.0023255813953488636, 'Average_duration_of_Visit_per_characters': 2.2204460492503132e-17, 'Minimum_duration_of_Visit': 0.005581395348837215, 'Maximum_duration_of_Visit': 0.004651162790697683, 'Number_of_Visits': 0.00046511627906979934, 'Number_of_Visits_per_characters': 0.0009302325581395543, 'Number_of_saccades_in_AOI': -0.003255813953488329, 'Time_to_entry_saccade': -0.003255813953488329, 'Time_to_exit_saccade': -0.002790697674418552, 'Peak_velocity_of_entry_saccade': -0.003255813953488329, 'Peak_velocity_of_exit_saccade': 2.2204460492503132e-17, 'First-pass_first_fixation_duration_per_characters': 0.00046511627906979934, 'First-pass_duration': 0.005116279069767438, 'First-pass_duration_per_characters': 0.004186046511627928, 'Selective_regression-path_duration': 0.0013953488372093314, 'Regression-path_duration': -0.0013953488372092648, 'Re-reading_duration_per_characters': -0.007906976744186011, 'Number_of_regression': 0.0027906976744186186, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun': 0.0018604651162790864, 'Percentage_of_katakana_noun_numerator': 0.0013953488372093093, 'Number_of_easy_words': 0.00046511627906979934, 'Percentage_of_easy_words': 0.0041860465116279055, 'Percentage_of_kanzi': 0.0023255813953488415, 'Percentage_of_low_difficulty_kanzi_words': -0.002790697674418574, 'Number_of_low_difficulty_kanzi_words': -0.002325581395348797, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Number_of_regular_difficulty_kanzi_words': 0.0018604651162790864, 'Percentage_of_high_difficulty_kanzi_words': -0.002325581395348819, 'Number_of_high_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_low_difficulty_kanzis': -0.004186046511627883, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzis': -0.0018604651162790198, 'Number_of_regular_difficulty_kanzis': 0.00046511627906977717, 'Percentage_of_Chinese_words_verb': 0.0013953488372093537, 'Percentage_of_Chinese_words_noun': -0.002790697674418574, 'Average_length_of_compund_nouns': 0.006046511627906992, 'Number_of_characters_of_adnominal_modification': -0.00046511627906971055, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.00046511627906975495, 'Number_of_adnominal_modification_out_of_total_nouns': -0.0004651162790697327, 'Percentage_of_frequent_words': -0.0004651162790697327, 'Cossim_model6': 0.0013953488372093093, 'Norm_model6': 4.4408920985006264e-17, 'Avecossim_model6': 0.0009302325581395543}",2025-01-20_14-13-50
mlp,"{'Interest': 0.040000000000000015, ""readers'_vocabulary"": 0.024186046511627878, 'Average_duration_of_fixations': 0.0032558139534883735, 'Minimum_duration_of_fixations': 0.006511627906976769, 'Maximum_duration_of_fixations': 0.0032558139534883956, 'Duration_of_first_fixation': 0.009302325581395344, 'Average_pupil_diameter': 0.01255813953488374, 'Average_duration_of_Visit_per_characters': 0.006976744186046546, 'Minimum_duration_of_Visit': 0.0009302325581395543, 'Maximum_duration_of_Visit': 0.006511627906976747, 'Number_of_Visits': 0.012093023255813939, 'Number_of_Visits_per_characters': 0.007906976744186056, 'Number_of_saccades_in_AOI': 0.007441860465116279, 'Time_to_entry_saccade': 0.0037209302325581285, 'Time_to_exit_saccade': 0.006511627906976747, 'Peak_velocity_of_entry_saccade': 0.008372093023255811, 'Peak_velocity_of_exit_saccade': 0.017209302325581398, 'First-pass_first_fixation_duration_per_characters': 0.007441860465116257, 'First-pass_duration': 0.00046511627906977717, 'First-pass_duration_per_characters': 0.006976744186046524, 'Selective_regression-path_duration': 0.009302325581395366, 'Regression-path_duration': 0.011627906976744184, 'Re-reading_duration_per_characters': 0.006511627906976747, 'Number_of_regression': 0.00046511627906977717, 'Percentage_of_katakana_verb_numerator': 0.0023255813953488857, 'Percentage_of_katakana_noun': 0.020465116279069773, 'Percentage_of_katakana_noun_numerator': 0.00511627906976746, 'Number_of_easy_words': 0.025116279069767454, 'Percentage_of_easy_words': 0.014883720930232557, 'Percentage_of_kanzi': 0.0013953488372093314, 'Percentage_of_low_difficulty_kanzi_words': 0.0032558139534883956, 'Number_of_low_difficulty_kanzi_words': 0.006976744186046546, 'Percentage_of_extra_difficulty_kanzi_words': 0.005581395348837215, 'Number_of_extra_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_regular_difficulty_kanzi_words': 0.0032558139534883956, 'Number_of_regular_difficulty_kanzi_words': 0.006511627906976769, 'Percentage_of_high_difficulty_kanzi_words': 0.013953488372093004, 'Number_of_high_difficulty_kanzi_words': 0.012558139534883717, 'Percentage_of_low_difficulty_kanzis': 0.013023255813953494, 'Percentage_of_extra_difficulty_kanzis': 0.0032558139534884178, 'Number_of_extra_difficulty_kanzis': 0.0037209302325581285, 'Percentage_of_regular_difficulty_kanzis': 0.007441860465116301, 'Number_of_regular_difficulty_kanzis': 0.0037209302325581506, 'Percentage_of_Chinese_words_verb': 0.009767441860465121, 'Percentage_of_Chinese_words_noun': 0.00511627906976746, 'Average_length_of_compund_nouns': 0.009767441860465121, 'Number_of_characters_of_adnominal_modification': 0.016744186046511622, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255811, 'Number_of_adnominal_modification_out_of_total_nouns': 0.031162790697674404, 'Percentage_of_frequent_words': 0.0046511627906976605, 'Cossim_model6': 0.012093023255813939, 'Norm_model6': 0.006976744186046524, 'Avecossim_model6': 0.0037209302325581727}",2025-01-20_14-13-50
