文章,主観難易度,興味度,読者の語彙量,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration,Number_of_regression,カタカナ語使用率（動詞のみ）,カタカナ語使用率（動詞のみ）（分子）,カタカナ語使用率（名詞のみ）,カタカナ語使用率（名詞のみ）（分子）,初級語彙の数,初級語彙の比率（％）,延べ語数,文の長さの平均（文字数）,文の長さの平均（語数）,漢字使用率,漢字使用率（分子）,漢字語彙難易度（低）,漢字語彙難易度（低）（分子）,漢字語彙難易度（外）,漢字語彙難易度（外）（分子）,漢字語彙難易度（常）,漢字語彙難易度（常）（分子）,漢字語彙難易度（高）,漢字語彙難易度（高）（分子）,漢字難易度（低）,漢字難易度（低）（分子）,漢字難易度（外）,漢字難易度（外）（分子）,漢字難易度（常）,漢字難易度（常）（分子）,漢字難易度（高）,漢字難易度（高）（分子）,漢語使用率（動詞のみ）,漢語使用率（動詞のみ）（分子）,漢語使用率（名詞のみ）,漢語使用率（名詞のみ）（分子）,漢語使用率（名詞＋動詞）,漢語使用率（名詞＋動詞）（分子）,総名詞数,総文字数,複合名詞句の長さの平均,連体修飾句の長さ（文字数）,連体修飾句の長さ（語数）,連体修飾率,連体修飾率（分子）,高頻度語使用率（延べ語）,高頻度語使用率（延べ語）（分子）,Cossim_model1,Cossim_model2,Cossim_model3,Cossim_model4,Cossim_model5,Cossim_model6,Norm_model1,Norm_model2,Norm_model3,Norm_model4,Norm_model5,Norm_model6,Avecossim_model1,Avecossim_model2,Avecossim_model3,Avecossim_model4,Avecossim_model5,Avecossim_model6
21,12.5,67.115,59315,6332,226.0,104.0,693.0,28,635.0,139.0,2.98429,6332,226.0,104.0,693.0,28,635.0,139.0,2.98429,7065,1009.0,139.0,3747.0,7,635.0,139.0,20,594.0,774.0,94.03,67.92,1,0.0,0.0,0.0,1.002435474566432,6332.0,0.0,0.0,0,0.0,0,0.0,0,5,71.43,9,16.0,9.0,0.12,2,0.0,0,0.0,0,0.5,1,0.0,0,0.5,1,0.0,0,0.5,1,0.0,0,0.5,1,1.0,1,0.67,2,1,16,0.0,0,0,0.0,0,0.56,5,0.6590532,0.85124105,0.8985912,0.9194666,0.8957447,0.89101416,16.298367,11.443123,12.826773,7.321125,14.7708435,10.014658,0.6952081,0.9312948,0.9469237,0.9670054,0.9322952,0.9451356
21,74.167,67.115,59315,5757,230.0,111.0,618.0,25,10954.0,132.0,3.08259,4992,238.0,117.0,618.0,21,11101.0,165.0,3.09405,6652,2217.0,224.0,5536.0,3,10954.0,892.0,17,20572.0,11846.0,41.77,195.38,1,0.0,0.0,0.0,0.9987740235137825,5757.0,0.0,0.0,0,0.0,0,0.25,1,9,81.82,14,27.0,14.0,0.15,4,0.5,1,0.0,0,0.0,0,0.5,1,0.75,3,0.0,0,0.0,0,0.25,1,0.0,0,0.5,2,0.5,2,4,27,8.0,3,2,0.33,1,0.64,9,0.48943174,0.8713727,0.9158977,0.9130947,0.88583815,0.88964534,15.598964,11.468504,13.137579,7.1215444,15.278626,10.468022,0.6960519,0.95315987,0.96445704,0.9583644,0.95165026,0.95060766
21,9.679,67.115,59315,1341,192.0,122.0,233.0,7,27165.0,222.0,3.02557,1341,192.0,122.0,233.0,7,27165.0,222.0,3.02557,1458,1458.0,1458.0,1458.0,1,27165.0,1458.0,6,27139.0,28624.0,134.3,263.93,1,0.0,0.0,0.0,0.9969232087748846,1341.0,0.0,0.0,0,0.0,0,0.14,1,22,81.48,29,41.0,29.0,0.34,14,0.29,2,0.0,0,0.14,1,0.29,2,0.71,10,0.0,0,0.07,1,0.21,3,0.29,2,0.71,5,0.5,7,7,41,4.5,25,17,0.2,1,0.86,25,0.4329248,0.90398145,0.92830515,0.9292969,0.9167252,0.891853,16.86498,11.600159,13.244851,7.3408904,13.369412,9.7256975,0.479953,0.9311828,0.9486653,0.96117246,0.9498569,0.9355318
21,18.141,67.115,59315,1861,266.0,100.0,520.0,7,331.0,262.0,3.00681,1861,266.0,100.0,520.0,7,331.0,262.0,3.00681,1949,650.0,262.0,1334.0,3,331.0,262.0,4,28624.0,594.0,263.93,94.03,1,262.0,262.0,1536.0,1.0,1861.0,25691.0,25429.0,1,0.0,0,0.06,1,24,72.73,34,58.0,34.0,0.47,27,0.33,5,0.0,0,0.07,1,0.47,7,0.63,17,0.0,0,0.04,1,0.33,9,0.67,2,0.81,13,0.79,15,16,58,5.25,38,21,0.2,2,0.82,28,0.34138438,0.8377161,0.8701438,0.91928244,0.90250593,0.87106663,17.502596,12.07807,13.894379,7.3267765,14.052189,9.658216,0.50925684,0.8617988,0.91131103,0.9401695,0.9149059,0.8918697
21,17.885,67.115,59315,1203,1203.0,1203.0,1203.0,1,30021.0,1203.0,3.02548,0,258.4175081185708,102.3829474631722,531.172063459283,0,17709.18555057184,191.64882937886344,2.7132633386834737,1203,1203.0,1203.0,1203.0,1,30021.0,1203.0,0,29995.0,18657.01914462005,160.56,153.40879151941823,1,1203.0,1203.0,1203.0,1.0,1203.0,1528.0,325.0,1,0.0,0,0.0,0,16,61.54,26,41.0,26.0,0.46,19,0.12,1,0.0,0,0.0,0,0.88,7,0.53,10,0.0,0,0.0,0,0.47,9,0.0,0,0.8,8,0.62,8,10,41,4.5,33,21,0.14,1,0.77,20,0.20090346,0.7449902,0.82182896,0.7970139,0.81814057,0.8074192,19.61205,12.278995,14.163926,8.630742,15.134328,10.386901,0.4591392,0.87934333,0.89182144,0.87360656,0.8851113,0.88407254
21,15.064,67.115,59315,797,199.0,148.0,250.0,4,31638.0,170.0,3.04133,797,199.0,148.0,250.0,4,31638.0,170.0,3.04133,855,855.0,855.0,855.0,1,31638.0,855.0,3,31605.0,32493.0,109.25,231.23,1,170.0,797.0,797.0,0.0,797.0,797.0,0.0,0,0.0,0,0.0,0,9,81.82,14,23.0,14.0,0.17,4,0.0,0,0.0,0,0.5,1,0.5,1,0.5,2,0.0,0,0.25,1,0.25,1,0.0,0,0.5,2,0.5,2,4,23,0.0,4,3,0.25,1,0.64,9,0.22433652,0.80836046,0.84188503,0.86779577,0.8498527,0.8523782,19.310204,11.953996,13.692013,7.9355717,16.539127,10.134316,0.3361765,0.8992257,0.9139045,0.91899014,0.90547997,0.9144308
21,11.859,67.115,59315,2446,204.0,63.0,315.0,12,32533.0,265.0,3.01546,1816,202.0,63.0,315.0,9,32533.0,265.0,2.99889,2700,2700.0,2700.0,2700.0,1,32533.0,2700.0,8,32493.0,18694.118414375218,231.23,155.1408183556692,1,265.0,2446.0,2446.0,0.9876251163115182,2446.0,2446.0,0.0,1,0.0,0,0.15,2,26,72.22,39,64.0,39.0,0.23,15,0.33,3,0.0,0,0.11,1,0.44,4,0.53,8,0.0,0,0.07,1,0.4,6,0.2,1,0.62,8,0.5,9,13,64,6.5,58,35,0.11,1,0.77,30,0.23595527,0.83935267,0.8504449,0.87258446,0.84917456,0.866434,18.354105,11.6995325,13.349733,7.3967113,13.725666,10.104869,0.4632338,0.9430731,0.95065796,0.964873,0.9526801,0.95736516
21,72.244,67.115,59315,3139,196.0,111.0,263.0,16,313.0,111.0,3.08711,3028,202.0,116.0,263.0,15,455.0,214.0,3.08441,3571,893.0,317.0,1509.0,4,313.0,826.0,11,1325.0,1139.0,233.23,157.66,1,0.0,0.0,0.0,1.0022029052590251,3139.0,0.0,0.0,0,0.0,0,0.0,0,17,89.47,20,35.0,20.0,0.2,7,0.0,0,0.0,0,0.0,0,1.0,2,0.43,3,0.0,0,0.0,0,0.57,4,0.0,0,0.67,2,0.33,2,3,35,0.0,2,1,0.33,1,0.85,17,0.23315564,0.8730807,0.8966944,0.92007816,0.8852742,0.90162456,14.863426,11.342583,12.989175,7.0653377,13.391526,10.01282,0.577856,0.93885297,0.9433747,0.95026284,0.9303507,0.93957597
21,18.526,67.115,59315,3256,250.0,143.0,647.0,13,2060.0,196.0,3.08878,3256,250.0,143.0,647.0,13,2060.0,196.0,3.08878,3427,857.0,196.0,1492.0,4,2060.0,196.0,9,2031.0,2255.0,147.87,53.09,1,0.0,0.0,0.0,1.000849560579429,3256.0,0.0,0.0,0,0.0,0,0.1,2,39,79.59,55,92.0,55.0,0.23,21,0.21,3,0.0,0,0.0,0,0.5,7,0.67,14,0.0,0,0.0,0,0.33,7,0.5,3,0.55,11,0.54,14,20,92,4.67,50,29,0.12,2,0.76,42,0.30301356,0.80477583,0.8504831,0.83712924,0.8396023,0.8590521,17.70916,12.021323,13.962812,8.044878,15.200736,10.4582405,0.42238283,0.8819571,0.92145467,0.91567904,0.917022,0.9134798
21,30.962,67.115,59315,1991,221.0,102.0,295.0,9,9445.0,262.0,2.9442,1991,221.0,102.0,295.0,9,9445.0,262.0,2.9442,2148,716.0,218.0,1552.0,3,9445.0,1552.0,6,9415.0,11747.0,123.67,99.99,1,0.0,0.0,0.0,1.0065091587652,1991.0,0.0,0.0,0,0.0,0,0.0,0,8,80.0,13,21.0,13.0,0.29,6,0.33,1,0.0,0,0.0,0,0.33,1,0.83,5,0.0,0,0.0,0,0.17,1,0.0,0,1.0,3,0.5,3,3,21,6.0,2,1,0.5,1,0.62,8,0.034846153,0.7724527,0.8585536,0.8486731,0.86122835,0.82732725,17.298208,11.783417,13.583801,7.240047,14.724698,10.329809,0.47815648,0.89672285,0.93656874,0.9525229,0.92774934,0.92842704
21,17.5,67.115,59315,1770,197.0,125.0,248.0,9,11290.0,213.0,2.90175,1557,195.0,125.0,248.0,8,11771.0,211.0,2.89006,1904,635.0,211.0,1480.0,3,11290.0,213.0,6,11747.0,11503.0,99.99,138.58,1,0.0,0.0,0.0,0.9963036235567352,1770.0,0.0,0.0,0,0.0,0,0.0,0,14,77.78,20,33.0,20.0,0.21,7,0.0,0,0.0,0,0.5,1,0.5,1,0.29,2,0.0,0,0.29,2,0.43,3,0.0,0,0.5,2,0.25,2,4,33,0.0,14,7,0.67,2,0.85,17,0.38215193,0.7799573,0.87285703,0.9038079,0.8710554,0.88369906,15.627329,12.063062,13.212066,7.291628,13.482087,9.828966,0.62662756,0.9036011,0.9459791,0.95831066,0.9408401,0.9485125
21,15.192,67.115,59315,7909,220.0,63.0,509.0,36,13949.0,190.0,2.99293,6980,225.0,63.0,509.0,31,13949.0,190.0,2.99493,9596,9596.0,9596.0,9596.0,1,13949.0,9596.0,28,13896.0,18712.41556942809,396.09,155.5909649044503,1,0.0,0.0,0.0,0.9971854508123489,7909.0,0.0,0.0,0,0.0,0,0.2,1,11,73.33,18,34.0,18.0,0.32,11,0.75,3,0.0,0,0.0,0,0.25,1,0.73,8,0.0,0,0.0,0,0.27,3,0.0,0,0.8,4,0.5,4,5,34,5.5,12,5,0.33,1,0.83,15,0.382452,0.87498504,0.9252393,0.93225294,0.9170091,0.9150359,17.446562,11.645817,13.241436,7.0962586,13.775601,9.824441,0.5668175,0.9447605,0.9583786,0.9511211,0.947462,0.93789613
21,14.936,67.115,59315,2694,299.0,191.0,397.0,9,23596.0,361.0,3.06203,2694,299.0,191.0,397.0,9,23596.0,361.0,3.06203,2872,2872.0,2872.0,2872.0,1,23596.0,2872.0,8,18329.84410048579,26468.0,205.30410483700803,253.99,1,0.0,0.0,0.0,0.9974678854257402,2694.0,0.0,0.0,0,0.0,0,0.25,2,26,89.66,32,56.0,32.0,0.16,9,0.14,1,0.0,0,0.14,1,0.29,2,0.56,5,0.0,0,0.11,1,0.33,3,0.29,2,0.62,5,0.47,7,8,56,8.0,15,6,0.14,1,0.78,25,0.66894186,0.9256962,0.93939054,0.9461407,0.9236378,0.9286852,17.673271,11.518585,13.246151,7.0747533,13.375357,10.002138,0.6512894,0.9285127,0.94810385,0.945883,0.9269243,0.931416
21,17.244,67.115,59315,2351,336.0,162.0,567.0,7,26514.0,162.0,3.23108,2175,362.0,162.0,567.0,6,26514.0,162.0,3.23439,2542,2542.0,2542.0,2542.0,1,26514.0,2542.0,5,26468.0,18678.31955374881,253.99,153.63156623058063,1,0.0,0.0,0.0,1.0044733776942554,2351.0,0.0,0.0,0,0.0,0,0.0,0,12,92.31,15,24.0,15.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4,24,0.0,9,5,0.5,2,0.8,12,0.45837998,0.887209,0.9112378,0.89055,0.85624075,0.88304704,18.479797,11.582064,13.624937,7.775202,14.018655,9.961725,0.62057406,0.94211006,0.9546081,0.9496346,0.9305815,0.9507505
21,20.321,67.115,59315,4990,227.0,75.0,1130.0,22,0.0,152.0,3.05197,2881,320.0,169.0,1130.0,9,29493.0,306.0,3.08353,5869,2934.0,152.0,5717.0,2,0.0,152.0,7,18800.74220588011,35056.0,203.33840927323408,260.22,1,152.0,152.0,4990.0,1.0,4990.0,28099.0,27947.0,3,0.0,0,0.0,0,4,80.0,6,11.0,6.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,11,0.0,0,0,0.0,0,0.67,4,0.27321416,0.8953319,0.91773206,0.89307946,0.88896453,0.9048045,15.169993,11.221377,12.94669,7.052987,12.994845,9.793257,0.6726831,0.95757353,0.9660034,0.96527964,0.9676297,0.96281564
21,19.038,67.115,59315,2684,192.0,68.0,315.0,14,35089.0,199.0,3.09237,791,198.0,68.0,300.0,4,35339.0,300.0,3.0533,3789,3789.0,3789.0,3789.0,1,35089.0,3789.0,3,35056.0,18809.4926692896,260.22,153.71250453582246,1,199.0,2684.0,2684.0,0.9944357216524402,2684.0,2684.0,0.0,1,0.0,0,0.0,0,41,85.42,52,87.0,52.0,0.24,21,0.4,4,0.0,0,0.0,0,0.4,4,0.67,14,0.0,0,0.0,0,0.33,7,0.0,0,0.77,10,0.43,10,13,87,3.5,81,49,0.09,1,0.83,43,0.22864833,0.8648976,0.89214754,0.92199653,0.86300534,0.8794307,16.84825,12.146509,13.44252,7.444921,13.547714,10.303416,0.4979148,0.91821253,0.9287818,0.95592576,0.90940213,0.91721624
21,50.321,67.115,59315,4591,242.0,98.0,502.0,19,410.0,153.0,2.99476,3722,266.0,162.0,502.0,14,584.0,194.0,2.99199,5153,1288.0,249.0,2729.0,4,410.0,2729.0,11,4574.0,4859.0,127.46,53.77,1,0.0,0.0,0.0,0.9981105706606178,4591.0,0.0,0.0,0,0.0,0,0.0,0,17,89.47,19,36.0,19.0,0.08,3,1.0,1,0.0,0,0.0,0,0.0,0,1.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.33,1,0.17,1,3,36,0.0,20,9,0.33,1,0.79,15,0.2522004,0.8898149,0.8919473,0.9119292,0.85852385,0.8690952,14.454561,11.418216,12.939611,7.032415,13.414114,10.213534,0.71536815,0.96842074,0.96260065,0.95707905,0.95322144,0.953263
21,18.782,67.115,59315,6556,234.0,85.0,693.0,28,224.0,125.0,2.97576,6310,234.0,85.0,693.0,27,224.0,125.0,2.97399,7032,1406.0,125.0,4910.0,5,224.0,125.0,20,4859.0,4574.0,53.77,127.46,1,125.0,125.0,6556.0,1.0,6556.0,11147.0,11022.0,3,0.0,0,0.0,0,23,85.19,28,47.0,28.0,0.23,11,0.4,2,0.0,0,0.0,0,0.6,3,0.36,4,0.0,0,0.09,1,0.55,6,0.0,0,1.0,5,0.62,5,5,47,3.0,22,14,0.5,1,0.82,23,0.2594143,0.90506256,0.91542906,0.906466,0.89161944,0.8698569,17.568455,11.590253,13.106054,7.138149,14.814083,9.64193,0.49416724,0.9402662,0.9590338,0.96067643,0.9405646,0.93832344
21,19.295,67.115,59315,2587,185.0,93.0,299.0,14,13804.0,193.0,2.93593,2247,187.0,93.0,299.0,12,13804.0,193.0,2.9216,3537,3537.0,3537.0,3537.0,1,13804.0,3537.0,9,13760.0,17341.0,311.52,265.79,1,193.0,2587.0,2587.0,0.0,2587.0,2587.0,0.0,1,0.0,0,0.0,0,19,70.37,30,51.0,30.0,0.27,14,0.4,2,0.0,0,0.0,0,0.6,3,0.64,9,0.0,0,0.0,0,0.36,5,0.0,0,0.62,5,0.38,5,8,51,0.0,29,15,0.29,2,0.87,26,0.2118113,0.8378752,0.8635005,0.89712113,0.84490746,0.862758,16.326712,11.90596,13.428687,7.3522315,14.279961,10.125264,0.43060523,0.9079464,0.91419554,0.9459386,0.90947586,0.9380293
21,28.91,67.115,59315,2747,275.0,97.0,1077.0,10,17377.0,174.0,3.00164,2457,307.0,166.0,1077.0,8,17377.0,174.0,2.99842,2936,2936.0,2936.0,2936.0,1,17377.0,2936.0,8,17341.0,20313.0,265.79,337.11,1,174.0,2747.0,2747.0,0.0,2747.0,2747.0,0.0,1,0.0,0,0.14,1,22,78.57,30,59.0,30.0,0.17,10,0.5,2,0.0,0,0.0,0,0.25,1,0.6,6,0.1,1,0.1,1,0.2,2,0.0,0,0.57,4,0.29,4,7,59,0.0,34,15,0.14,1,0.8,24,0.47708368,0.86274874,0.9020462,0.9410545,0.8833273,0.9274974,15.742019,11.460145,12.976285,7.058217,13.801842,10.1334095,0.64530545,0.9414581,0.9621568,0.9610034,0.9488092,0.9490719
21,15.577,67.115,59315,1084,217.0,156.0,287.0,5,20358.0,179.0,2.90358,635,212.0,156.0,287.0,3,20563.0,287.0,2.90056,1169,1169.0,1169.0,1169.0,1,20358.0,1169.0,2,20313.0,21527.0,337.11,139.53,1,179.0,1084.0,1084.0,0.0,1084.0,1084.0,0.0,1,0.0,0,0.0,0,15,88.24,20,31.0,20.0,0.19,6,1.0,1,0.0,0,0.0,0,0.0,0,1.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.33,1,0.12,1,3,31,0.0,0,0,0.0,0,0.75,15,0.33880866,0.84355307,0.9078109,0.9080964,0.86325294,0.8782379,16.4883,12.306779,13.669748,7.490138,12.785549,10.137654,0.48349607,0.92202955,0.95432454,0.9679536,0.9171909,0.95105636
21,14.295,67.115,59315,1179,590.0,217.0,962.0,2,21552.0,217.0,2.97952,1179,590.0,217.0,962.0,2,21552.0,217.0,2.97952,1197,1197.0,1197.0,1197.0,1,21552.0,1197.0,1,21527.0,18628.07459968678,139.53,154.23594175181535,1,217.0,1179.0,1179.0,0.0,1179.0,1179.0,0.0,0,0.0,0,0.0,0,4,57.14,9,17.0,9.0,0.18,3,0.0,0,0.0,0,0.0,0,1.0,1,0.33,1,0.0,0,0.0,0,0.67,2,0.0,0,0.5,1,0.33,1,2,17,0.0,3,2,0.5,1,0.67,6,0.40136003,0.8244934,0.8878038,0.8598774,0.84828204,0.89814764,19.483551,12.571956,13.979006,8.839871,15.2197895,9.94839,0.47139972,0.8849922,0.91588616,0.85631984,0.8761455,0.8866344
21,70.962,67.115,59315,8014,250.0,101.0,1124.0,32,22804.0,173.0,2.95359,2505,209.0,101.0,362.0,12,22804.0,173.0,2.97911,9296,9296.0,9296.0,9296.0,1,22804.0,9296.0,12,18363.95769839541,18584.557517708417,205.57341277102398,154.65823791319053,1,173.0,8014.0,8014.0,0.9868351593139795,8014.0,8014.0,0.0,4,0.0,0,0.0,0,5,71.43,7,13.0,7.0,0.15,2,0.0,0,0.0,0,1.0,1,0.0,0,0.5,1,0.0,0,0.5,1,0.0,0,0.0,0,1.0,1,0.33,1,1,13,0.0,0,0,0.0,0,0.71,5,0.1246372,0.80595934,0.8253967,0.73030657,0.77251977,0.7471671,15.564586,11.234197,12.704797,7.0521555,13.744751,10.603023,0.676839,0.95687413,0.9475824,0.9503366,0.94231,0.9367469
21,16.603,67.115,59315,447,149.0,84.0,204.0,3,293.0,204.0,3.06924,447,149.0,84.0,204.0,3,293.0,204.0,3.06924,469,235.0,159.0,310.0,2,293.0,310.0,1,270.0,603.0,114.52,117.86,1,0.0,0.0,0.0,0.9852995043686332,447.0,0.0,0.0,0,0.0,0,0.33,2,17,85.0,24,42.0,24.0,0.12,5,1.0,1,0.0,0,0.0,0,0.0,0,1.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.17,1,0.14,1,6,42,3.0,23,13,0.2,1,0.75,18,0.22938658,0.88120145,0.8940147,0.9220884,0.8765802,0.8800158,17.869312,11.5920105,13.254069,7.271693,13.7170105,10.578931,0.40173993,0.92137855,0.9437463,0.9618695,0.92789644,0.93516
21,22.756,67.115,59315,2392,217.0,71.0,344.0,11,199.0,71.0,3.0254,1344,224.0,184.0,276.0,6,626.0,184.0,3.03282,3076,615.0,71.0,992.0,5,199.0,71.0,3,603.0,270.0,117.86,114.52,1,0.0,0.0,0.0,1.003427201937493,2392.0,0.0,0.0,0,0.67,2,0.4,2,20,86.96,20,36.0,20.0,0.08,3,0.0,0,0.0,0,0.0,0,1.0,1,0.33,1,0.0,0,0.0,0,0.67,2,0.0,0,0.2,1,0.12,1,5,36,0.0,19,10,0.2,1,0.8,16,0.5740006,0.9229912,0.92270726,0.94031835,0.90281343,0.91667986,17.059664,11.6289015,12.866742,7.071168,13.419059,10.144403,0.597085,0.9401041,0.9425453,0.96207225,0.93740284,0.9438029
21,22.115,67.115,59315,4237,249.0,136.0,507.0,17,2507.0,217.0,2.98935,3367,259.0,136.0,507.0,13,2747.0,193.0,2.98221,4488,1122.0,433.0,1532.0,4,2507.0,433.0,10,2485.0,2940.0,106.62,165.62,1,0.0,0.0,0.0,1.0001336936679202,4237.0,0.0,0.0,0,0.0,0,0.0,0,19,79.17,27,45.0,27.0,0.27,12,0.67,4,0.0,0,0.17,1,0.17,1,0.75,9,0.0,0,0.17,2,0.08,1,0.0,0,0.75,6,0.55,6,8,45,4.0,16,9,0.4,2,0.74,20,0.45963562,0.88849163,0.92378557,0.9457203,0.89905167,0.92163706,15.401469,11.613165,12.911703,7.079352,12.983643,9.659089,0.45049986,0.9382947,0.9432813,0.9644001,0.92978233,0.94144607
21,20.833,67.115,59315,3426,245.0,168.0,370.0,14,0.0,170.0,2.94586,2135,237.0,168.0,325.0,9,7435.0,194.0,2.91546,3714,929.0,170.0,2800.0,4,0.0,170.0,8,7415.0,7875.0,65.71,133.54,1,170.0,170.0,3122.0,1.0,3426.0,10199.0,10028.0,3,0.0,0,0.0,0,12,92.31,13,23.0,13.0,0.17,4,1.0,1,0.0,0,0.0,0,0.0,0,1.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.5,1,0.33,1,2,23,0.0,0,0,0.0,0,0.77,10,0.53865135,0.92693543,0.93486947,0.94888544,0.90928215,0.92441404,14.914711,11.420221,13.050747,7.0623503,14.539298,10.689372,0.5712416,0.95074266,0.95391107,0.95106447,0.9345246,0.9272721
21,78.91,67.115,59315,1734,217.0,108.0,317.0,8,11907.0,283.0,2.88595,1287,214.0,108.0,317.0,6,11907.0,283.0,2.8659,2205,2205.0,2205.0,2205.0,1,11907.0,2205.0,5,18217.65039288716,14112.0,205.829674506591,81.29,1,283.0,1734.0,1734.0,0.0,1734.0,1734.0,0.0,2,0.0,0,0.0,0,20,76.92,29,48.0,29.0,0.27,13,0.67,4,0.0,0,0.17,1,0.17,1,0.85,11,0.0,0,0.08,1,0.08,1,0.0,0,0.86,6,0.5,6,7,48,4.0,40,24,0.2,1,0.79,23,0.36054292,0.8806521,0.8715601,0.86248046,0.7326446,0.8364633,19.42111,11.699167,13.639301,7.7317567,12.6186075,11.206026,0.51898646,0.92123467,0.9126436,0.9307601,0.804061,0.90190417
21,21.731,67.115,59315,384,192.0,130.0,254.0,2,14144.0,254.0,3.01353,384,192.0,130.0,254.0,2,14144.0,254.0,3.01353,404,404.0,404.0,404.0,1,14144.0,404.0,1,14112.0,18511.32156031838,81.29,153.0075436386045,1,254.0,384.0,384.0,0.0,384.0,384.0,0.0,0,0.0,0,0.0,0,9,60.0,16,27.0,16.0,0.52,14,0.6,3,0.0,0,0.2,1,0.2,1,0.86,12,0.0,0,0.07,1,0.07,1,0.0,0,0.83,5,0.71,5,6,27,4.0,12,7,0.4,2,0.75,12,0.5665854,0.82236284,0.86267465,0.8546758,0.79003805,0.88464534,19.488749,12.793039,14.091225,8.972821,14.501693,10.90688,0.45707473,0.8603732,0.89250016,0.8306414,0.91792613,0.88645464
21,26.859,67.115,59315,2297,191.0,60.0,367.0,12,14591.0,196.0,2.98654,1379,172.0,60.0,256.0,8,15206.0,181.0,2.99933,3020,3020.0,3020.0,3020.0,1,14591.0,3020.0,6,18204.59290521193,17611.0,211.48093041432202,294.99,1,196.0,2297.0,2297.0,0.0,2297.0,2297.0,0.0,1,0.0,0,0.25,1,7,70.0,12,20.0,12.0,0.3,6,0.5,1,0.0,0,0.0,0,0.5,1,0.5,3,0.0,0,0.0,0,0.5,3,0.0,0,0.5,2,0.33,2,4,20,0.0,17,10,0.25,1,0.75,9,0.25871032,0.8149105,0.8737836,0.7964723,0.87702495,0.85482365,16.268862,11.911826,13.639392,7.242655,13.886559,9.597925,0.52447104,0.9161067,0.94263643,0.96886,0.9529662,0.9567321
21,31.987,67.115,59315,1607,268.0,155.0,472.0,6,17651.0,217.0,2.89996,1136,227.0,155.0,404.0,5,17651.0,217.0,2.9212,1751,1751.0,1751.0,1751.0,1,17651.0,1751.0,4,17611.0,18629.863371069518,294.99,153.8034651980858,1,217.0,1607.0,1607.0,0.0,1607.0,1607.0,0.0,1,0.0,0,0.0,0,3,75.0,5,10.0,5.0,0.2,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,10,0.0,2,1,1.0,1,0.6,3,0.4043938,0.8571877,0.903175,0.92379886,0.87666494,0.89077914,15.650419,11.842356,13.201869,7.2806516,12.856994,10.50112,0.5614068,0.93221074,0.95180136,0.9556487,0.9093702,0.93918544
21,15.705,67.115,59315,1368,228.0,154.0,311.0,6,19514.0,252.0,2.86798,543,272.0,232.0,311.0,2,19985.0,232.0,2.86047,1526,1526.0,1526.0,1526.0,1,19514.0,1526.0,1,18341.261280140403,18564.635935048085,206.2586226733498,153.93210443564777,1,252.0,1368.0,1368.0,0.0,1368.0,1368.0,0.0,0,0.0,0,0.0,0,4,57.14,9,16.0,9.0,0.38,6,0.33,1,0.0,0,0.0,0,0.67,2,0.5,3,0.0,0,0.0,0,0.5,3,0.0,0,0.75,3,0.75,3,4,16,5.0,11,6,0.5,1,0.56,5,0.32160893,0.87068564,0.9113378,0.91576314,0.8616559,0.88486123,16.461536,11.517415,13.268306,7.1200237,13.665207,9.921673,0.58509487,0.93733394,0.9538777,0.9618523,0.9411818,0.94163793
