文章,主観難易度,興味度,読者の語彙量,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration,Number_of_regression,カタカナ語使用率（動詞のみ）,カタカナ語使用率（動詞のみ）（分子）,カタカナ語使用率（名詞のみ）,カタカナ語使用率（名詞のみ）（分子）,初級語彙の数,初級語彙の比率（％）,延べ語数,文の長さの平均（文字数）,文の長さの平均（語数）,漢字使用率,漢字使用率（分子）,漢字語彙難易度（低）,漢字語彙難易度（低）（分子）,漢字語彙難易度（外）,漢字語彙難易度（外）（分子）,漢字語彙難易度（常）,漢字語彙難易度（常）（分子）,漢字語彙難易度（高）,漢字語彙難易度（高）（分子）,漢字難易度（低）,漢字難易度（低）（分子）,漢字難易度（外）,漢字難易度（外）（分子）,漢字難易度（常）,漢字難易度（常）（分子）,漢字難易度（高）,漢字難易度（高）（分子）,漢語使用率（動詞のみ）,漢語使用率（動詞のみ）（分子）,漢語使用率（名詞のみ）,漢語使用率（名詞のみ）（分子）,漢語使用率（名詞＋動詞）,漢語使用率（名詞＋動詞）（分子）,総名詞数,総文字数,複合名詞句の長さの平均,連体修飾句の長さ（文字数）,連体修飾句の長さ（語数）,連体修飾率,連体修飾率（分子）,高頻度語使用率（延べ語）,高頻度語使用率（延べ語）（分子）,Cossim_model1,Cossim_model2,Cossim_model3,Cossim_model4,Cossim_model5,Cossim_model6,Norm_model1,Norm_model2,Norm_model3,Norm_model4,Norm_model5,Norm_model6,Avecossim_model1,Avecossim_model2,Avecossim_model3,Avecossim_model4,Avecossim_model5,Avecossim_model6
6,5.192,60.321,67528,3942,263.0,128.0,484.0,15,23984.0,171.0,2.54834,3942,263.0,128.0,484.0,15,23984.0,171.0,2.54834,4257,4257.0,4257.0,4257.0,1,23984.0,4257.0,14,23942.0,18948.967627131857,258.6,158.3576419541371,1,171.0,3942.0,3942.0,0.0,3942.0,3942.0,0.0,3,0.0,0,0.0,0,20,60.61,33,55.0,33.0,0.42,23,0.17,2,0.0,0,0.0,0,0.75,9,0.39,9,0.0,0,0.0,0,0.61,14,0.33,1,0.79,11,0.71,12,14,55,4.0,42,25,0.08,1,0.76,25,0.81539434,0.92210364,0.9489368,0.96254677,0.9452887,0.94968605,17.89844,11.871826,13.672522,7.522073,13.769936,10.118233,0.729261,0.94976693,0.9659849,0.96121955,0.96321553,0.96413743
6,3.397,60.321,67528,3855,257.0,160.0,373.0,15,28427.0,272.0,2.56671,3855,257.0,160.0,373.0,15,28427.0,272.0,2.56671,4162,4162.0,4162.0,4162.0,1,28427.0,4162.0,14,20875.225303022187,32589.0,210.45938735828426,313.67,1,272.0,3855.0,3855.0,0.9130322572325947,3855.0,3855.0,0.0,3,0.0,0,0.0,0,13,56.52,24,36.0,24.0,0.44,16,0.2,2,0.0,0,0.0,0,0.7,7,0.31,5,0.0,0,0.0,0,0.69,11,0.33,1,1.0,9,0.83,10,9,36,5.0,21,14,0.14,1,0.71,17,0.6894967,0.9242532,0.95380247,0.9569484,0.9379359,0.94461995,16.638138,11.872619,13.750331,7.308643,13.404269,10.426894,0.8798114,0.9604073,0.9769845,0.9829984,0.96864325,0.97410697
6,6.474,60.321,67528,7422,256.0,88.0,648.0,29,172.0,165.0,2.52628,7422,256.0,88.0,648.0,29,172.0,165.0,2.52628,8038,8038.0,8038.0,8038.0,1,172.0,8038.0,28,141.0,8210.0,146.61,440.79,1,0.0,0.0,0.0,0.9983760875033543,7422.0,0.0,0.0,0,0.0,0,0.0,0,26,56.52,44,77.0,44.0,0.47,36,0.5,9,0.0,0,0.0,0,0.44,8,0.58,21,0.0,0,0.03,1,0.39,14,0.2,1,0.94,17,0.78,18,18,77,4.25,68,38,0.08,1,0.77,34,0.6510114,0.916886,0.94522214,0.9434408,0.9191147,0.90533584,16.424309,11.420503,13.090288,7.007455,13.620832,9.773528,0.8059809,0.95918256,0.9704285,0.9686362,0.95331883,0.941844
6,6.218,60.321,67528,7094,222.0,37.0,310.0,32,8279.0,167.0,2.53404,7057,228.0,142.0,310.0,31,8279.0,167.0,2.53383,7838,1960.0,297.0,4393.0,4,8279.0,4393.0,28,8210.0,12672.0,440.79,402.03,1,0.0,0.0,0.0,1.0029745600137774,7094.0,0.0,0.0,0,0.0,0,0.0,0,11,52.38,23,36.0,23.0,0.44,16,0.22,2,0.0,0,0.11,1,0.56,5,0.44,7,0.0,0,0.06,1,0.5,8,0.33,1,0.89,8,0.75,9,9,36,5.5,30,19,0.17,1,0.61,14,0.72131586,0.9338014,0.95412153,0.94994694,0.92476994,0.90311635,17.589417,11.6468315,13.276996,7.085911,14.049141,10.562635,0.8798411,0.97005343,0.9829683,0.9795841,0.974983,0.97204465
6,26.218,60.321,67528,11567,246.0,124.0,584.0,47,0.0,141.0,2.52995,11426,248.0,124.0,584.0,46,12739.0,125.0,2.53026,12690,3173.0,127.0,11761.0,4,0.0,141.0,41,12672.0,141.0,402.03,146.61,1,141.0,141.0,11439.0,1.0,11567.0,23185.0,23044.0,6,0.0,0,0.13,2,25,65.79,34,69.0,34.0,0.38,26,0.17,2,0.0,0,0.25,3,0.5,6,0.42,11,0.0,0,0.12,3,0.46,12,0.33,1,0.73,11,0.67,12,15,69,4.67,40,17,0.27,3,0.71,24,0.82862175,0.9435743,0.9657735,0.9702241,0.9464726,0.95488703,16.664782,11.726865,13.241144,7.1512623,12.884947,10.12612,0.8684887,0.9628278,0.9732708,0.9749415,0.9692997,0.9686894
6,26.731,60.321,67528,3978,234.0,123.0,662.0,17,25628.0,129.0,2.54902,3978,234.0,123.0,662.0,17,25628.0,129.0,2.54902,4472,2236.0,123.0,4349.0,2,25628.0,4349.0,14,25569.0,29978.0,395.08,241.39,1,129.0,3855.0,3855.0,0.0,3978.0,3855.0,0.0,3,0.0,0,0.0,0,9,56.25,18,28.0,18.0,0.5,14,0.29,2,0.0,0,0.0,0,0.71,5,0.5,7,0.0,0,0.0,0,0.5,7,0.0,0,0.88,7,0.78,7,8,28,6.0,22,14,0.17,1,0.67,12,0.71213794,0.9017992,0.94649005,0.95974827,0.9365377,0.9306831,16.7428,11.76864,13.449037,7.174895,13.759005,10.543456,0.7274819,0.94398713,0.96591306,0.9780131,0.9621142,0.9656934
6,61.346,60.321,67528,18604,258.0,131.0,565.0,72,30023.0,132.0,2.51762,18604,258.0,131.0,565.0,72,30023.0,132.0,2.51762,20466,10233.0,7542.0,12923.0,2,30023.0,7542.0,68,29978.0,19321.177016476417,241.39,150.98279562332644,2,132.0,6841.0,18604.0,1.0,18604.0,21626.0,14785.0,14,0.0,0,0.25,2,10,55.56,21,43.0,21.0,0.3,13,0.29,2,0.0,0,0.0,0,0.57,4,0.54,7,0.0,0,0.0,0,0.46,6,0.5,1,0.75,6,0.7,7,8,43,7.5,31,15,0.33,2,0.76,16,0.6438246,0.9122868,0.9379568,0.9629549,0.92242163,0.9403264,16.63303,11.396565,12.913154,6.974182,14.118747,10.226427,0.84218,0.96466863,0.97126776,0.9709486,0.9557239,0.9659504
1,62.372,44.808,67528,8640,288.0,95.0,1223.0,30,455.0,138.0,2.41044,8640,288.0,95.0,1223.0,30,455.0,138.0,2.41044,9075,1815.0,311.0,6579.0,5,455.0,311.0,25,1001.0,766.0,56.97,85.09,1,0.0,0.0,0.0,0.9974561313349838,8640.0,0.0,0.0,0,0.0,0,0.0,0,7,63.64,12,24.0,12.0,0.29,7,0.0,0,0.0,0,0.0,0,0.67,2,0.57,4,0.0,0,0.0,0,0.43,3,0.0,0,1.0,3,0.43,3,3,24,4.0,0,0,0.0,0,0.83,10,0.450592168,0.866136782,0.893713746,0.912994317,0.884514337,0.898154316,17.073288,11.1277075,13.4834795,7.4590807,13.185075,9.694256,0.64656943,0.93413323,0.92899936,0.9421142,0.93364865,0.9229496
1,46.731,44.808,67528,3408,227.0,98.0,339.0,15,7703.0,275.0,2.54336,3408,227.0,98.0,339.0,15,7703.0,275.0,2.54336,3677,3677.0,3677.0,3677.0,1,7703.0,3677.0,14,17778.932933095868,11380.0,202.69428310348414,42.45,1,0.0,0.0,0.0,1.0036973304778818,3408.0,0.0,0.0,0,0.0,0,0.0,0,12,60.0,19,35.0,19.0,0.4,14,0.5,3,0.0,0,0.0,0,0.5,3,0.71,10,0.0,0,0.0,0,0.29,4,0.0,0,0.75,6,0.67,6,8,35,3.0,23,10,0.33,2,0.74,14,0.32283765,0.79680353,0.8176321,0.8789838,0.8294289,0.8469355,18.267061,12.337872,14.0065155,7.6908,15.399348,10.231447,0.5982668,0.89956766,0.9287586,0.9460038,0.92509246,0.938809
1,6.218,44.808,67528,1308,218.0,169.0,269.0,6,12303.0,189.0,2.50668,1060,212.0,169.0,269.0,5,12303.0,189.0,2.50707,1384,461.0,169.0,967.0,3,12303.0,967.0,3,12278.0,13270.0,99.48,227.79,1,0.0,0.0,0.0,1.009791373819111,1308.0,0.0,0.0,0,0.0,0,0.0,0,13,72.22,24,36.0,24.0,0.25,9,0.33,2,0.0,0,0.0,0,0.5,3,0.67,6,0.0,0,0.0,0,0.33,3,0.5,1,0.71,5,0.67,6,7,36,3.0,30,20,0.17,1,0.67,16,0.18337288,0.77827746,0.8356498,0.88788474,0.8058947,0.8337062,18.157696,11.957851,13.505405,7.8491125,13.869121,10.117442,0.5307469,0.890854,0.9277294,0.9319289,0.9134265,0.9243366
